"credit_type","horizon","method","coef","se","p_value","ci_lower","ci_upper","n_obs"
"Cred_Real_Total",1,"2SLS_improved",-10.1777265403816,6.93608864243451,0.143295706387735,-21.5865771007469,1.23112401998369,323
"Cred_Real_Total",1,"OLS",-0.674262611608876,0.920257994213079,0.464303749631481,-2.18795231112135,0.839427087903594,323
"Cred_Real_Total",2,"2SLS_improved",-19.9167478481833,10.6500808613895,0.062417948854978,-37.4345719803664,-2.39892371600031,322
"Cred_Real_Total",2,"OLS",-0.759818574070023,1.0652336069039,0.476207523831537,-2.5119719359365,0.992334787796458,322
"Cred_Real_Total",3,"2SLS_improved",-31.0866276802496,14.2871806527257,0.0303295797938471,-54.5869485957964,-7.5863067647029,321
"Cred_Real_Total",3,"OLS",-1.962909350804,1.33884362481859,0.143638299222252,-4.16511114300771,0.239292441399704,321
"Cred_Real_Total",4,"2SLS_improved",-46.5945674045064,17.934445425445,0.00982910359872097,-76.0941050099128,-17.0950297991,320
"Cred_Real_Total",4,"OLS",-3.62983273002832,1.37654006390818,0.0087932574634835,-5.8940396467917,-1.36562581326495,320
"Cred_Real_Total",5,"2SLS_improved",-64.9588053621256,22.3773398326623,0.00396704604530922,-101.766253947406,-28.1513567768453,319
"Cred_Real_Total",5,"OLS",-4.2304294428957,1.59068642154638,0.00823914876621444,-6.84687577271872,-1.61398311307267,319
"Cred_Real_Total",6,"2SLS_improved",-77.3472101432404,25.6175447558289,0.00274828746536225,-119.484321548457,-35.2100987380236,318
"Cred_Real_Total",6,"OLS",-4.04499831453546,1.81840537504021,0.0268505481977576,-7.03600899093841,-1.05398763813252,318
"Cred_Real_Total",7,"2SLS_improved",-91.4539940389701,29.4409749352764,0.00207347133833344,-139.880088442247,-43.0278996356934,317
"Cred_Real_Total",7,"OLS",-4.70340138392966,1.81556984862426,0.0100444258616576,-7.68974803442301,-1.71705473343631,317
"Cred_Real_Total",8,"2SLS_improved",-105.892698612355,32.8313056673776,0.0013961325514137,-159.895390816893,-51.8900064078163,316
"Cred_Real_Total",8,"OLS",-5.40973735574849,1.92750938543447,0.00533225045272933,-8.58020815936338,-2.23926655213361,316
"Cred_Real_Total",9,"2SLS_improved",-121.410936382202,36.1031578738155,0.00087104671082169,-180.795346555349,-62.026526209055,315
"Cred_Real_Total",9,"OLS",-4.94833776709987,1.92079401699498,0.0104661010180961,-8.10776277258076,-1.78891276161899,315
"Cred_Real_Total",10,"2SLS_improved",-136.903275485695,39.516059277373,0.000608656379434225,-201.901408910912,-71.905142060479,314
"Cred_Real_Total",10,"OLS",-5.96687264728811,2.11437154960606,0.00509034486923491,-9.44470435938064,-2.48904093519559,314
"Cred_Real_Total",11,"2SLS_improved",-149.582313425886,42.802057221864,0.000546336336625496,-219.985432488253,-79.1791943635188,313
"Cred_Real_Total",11,"OLS",-6.70043513860957,2.24314004350498,0.00304978760772209,-10.3900721749288,-3.01079810229033,313
