"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","fci_type","credit_type","fci_label","credit_label"
1,0.113042952252391,1.07407275465184,0.916243171070927,-1.65364951384644,1.87973541835122,-1.3728199595756,1.12184618367534,0.221924928239659,-3.21809272367564,0.472452804524444,0.452340099753906,345,"FCI_COMP","Total","Comprehensive","Real Total Credit"
2,-0.349261024968902,1.1591270323829,0.763363813430007,-2.25585532828141,1.5573332783436,-2.18667687256879,1.37092108199058,0.111654275686105,-4.44164138654523,0.0682876414076561,0.383510986221408,344,"FCI_COMP","Total","Comprehensive","Real Total Credit"
3,-1.81281531089811,1.37877004077863,0.18948527962478,-4.08069021320486,0.455059591408648,-1.98806189852693,1.61226894152898,0.218419686301483,-4.64000831462208,0.663884517568226,0.939368259764711,343,"FCI_COMP","Total","Comprehensive","Real Total Credit"
4,-4.25508582092815,1.61604520838414,0.00886102269558874,-6.91324364325634,-1.59692799859995,-0.0490105754258043,1.81299309099252,0.97844978287798,-3.03111883678282,2.93309768593121,0.0858235976149598,342,"FCI_COMP","Total","Comprehensive","Real Total Credit"
5,-4.95418499820324,1.79252811489031,0.00603505205461657,-7.90263136939305,-2.00573862701343,0.237575740949325,2.19844832185307,0.914009852146017,-3.37854995491607,3.85370143681472,0.0629939054283944,341,"FCI_COMP","Total","Comprehensive","Real Total Credit"
6,-5.49704085489016,2.12889049708204,0.0102528796340094,-8.99875411039806,-1.99532759938225,0.00379685925433797,2.65456710578326,0.998859646010119,-4.36257747267934,4.37017119118801,0.117441851317427,340,"FCI_COMP","Total","Comprehensive","Real Total Credit"
7,-6.70185876157205,2.08101809264063,0.00140837462929674,-10.1248289190036,-3.27888860414047,0.629131404225885,3.02605627141297,0.835432782369461,-4.34828822916698,5.60655103761875,0.0426120625659059,339,"FCI_COMP","Total","Comprehensive","Real Total Credit"
8,-8.36112350526775,2.10209158444847,8.58348105286065e-05,-11.818756472132,-4.90349053840352,2.01206617563842,3.29736491820756,0.542151622907895,-3.41161646945782,7.43574882073467,0.00626956713624682,338,"FCI_COMP","Total","Comprehensive","Real Total Credit"
9,-8.23796934785253,2.20108751149613,0.000215233552848291,-11.8584361243745,-4.61750257133054,2.0278039910078,3.47734854285884,0.560199031952815,-3.69192537188797,7.74753335390357,0.00936745432952502,337,"FCI_COMP","Total","Comprehensive","Real Total Credit"
10,-8.5664127903928,2.4993927662539,0.000688005801312922,-12.6775480471418,-4.4552775336438,2.86077428651025,3.75587852471764,0.446805593554408,-3.3170961272607,9.0386447002812,0.0112572617580547,336,"FCI_COMP","Total","Comprehensive","Real Total Credit"
