"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","credit_type","fci_label","credit_label"
1,0.632230892281841,0.985222395309699,0.521499114968684,-0.988315737997134,2.25277752256082,345,"FCI_COMP","Total","Comprehensive","Real Total Credit"
2,0.695913520987755,1.04102971923102,0.504286689559853,-1.01642798845366,2.40825503042917,344,"FCI_COMP","Total","Comprehensive","Real Total Credit"
3,-0.245538929167265,1.16906503860236,0.833772957342255,-2.16847979805452,1.67740193971999,343,"FCI_COMP","Total","Comprehensive","Real Total Credit"
4,-2.48161857406135,1.22890643081268,0.0442542455463934,-4.50298977396758,-0.46024737415512,342,"FCI_COMP","Total","Comprehensive","Real Total Credit"
5,-3.01555763461931,1.39329863944425,0.0311558675171167,-5.30732995513573,-0.723785314102895,341,"FCI_COMP","Total","Comprehensive","Real Total Credit"
6,-3.23940612126516,1.71866693416456,0.0603331327016109,-6.0663616614473,-0.412450581083017,340,"FCI_COMP","Total","Comprehensive","Real Total Credit"
7,-4.19826897028935,1.75722414203241,0.0174521510622525,-7.08864547367805,-1.30789246690064,339,"FCI_COMP","Total","Comprehensive","Real Total Credit"
8,-5.74198219306852,1.85143693010761,0.00209398410607712,-8.78732494262792,-2.69663944350913,338,"FCI_COMP","Total","Comprehensive","Real Total Credit"
9,-5.71522151462667,1.94840978724331,0.00359164911842401,-8.92007041996158,-2.51037260929175,337,"FCI_COMP","Total","Comprehensive","Real Total Credit"
10,-6.25038292010198,2.22902769428874,0.00534939836633736,-9.91680720762808,-2.58395863257587,336,"FCI_COMP","Total","Comprehensive","Real Total Credit"
11,-7.40519796608836,2.54796117756312,0.00390890188859103,-11.5962211503346,-3.21417478184211,335,"FCI_COMP","Total","Comprehensive","Real Total Credit"
12,-7.65628048038672,2.74502470347948,0.00559825152330819,-12.1714443199763,-3.1411166407971,334,"FCI_COMP","Total","Comprehensive","Real Total Credit"
13,-7.97473739828041,2.90221607837489,0.00633752809707336,-12.7484580409922,-3.2010167555686,333,"FCI_COMP","Total","Comprehensive","Real Total Credit"
14,-7.9717016516556,2.90925482288089,0.00648531712720251,-12.7569999987973,-3.18640330451391,332,"FCI_COMP","Total","Comprehensive","Real Total Credit"
15,-7.40133279660075,2.75508840436102,0.00759922505161275,-11.9330499510859,-2.86961564211558,331,"FCI_COMP","Total","Comprehensive","Real Total Credit"
16,-6.10013547399513,2.69181155025633,0.0241098495536442,-10.5277714655041,-1.67249948248614,330,"FCI_COMP","Total","Comprehensive","Real Total Credit"
17,-5.10677349376023,2.64292148595488,0.054217182555163,-9.45399248568108,-0.759554501839378,329,"FCI_COMP","Total","Comprehensive","Real Total Credit"
18,-4.28019524327448,2.57334561856574,0.09724460672417,-8.51297211737201,-0.0474183691769525,328,"FCI_COMP","Total","Comprehensive","Real Total Credit"
19,-3.54790071812134,2.37833853706991,0.136760737946203,-7.45991948693923,0.364118050696556,327,"FCI_COMP","Total","Comprehensive","Real Total Credit"
20,-2.99921766486709,2.46562045505725,0.224737563730222,-7.05480241305374,1.05636708331956,326,"FCI_COMP","Total","Comprehensive","Real Total Credit"
21,-2.1243696669872,2.35218545393334,0.367140101021262,-5.99337044215194,1.74463110817755,325,"FCI_COMP","Total","Comprehensive","Real Total Credit"
22,-1.04228156277425,2.38685544040029,0.662647696971032,-4.96830939092552,2.88374626537702,324,"FCI_COMP","Total","Comprehensive","Real Total Credit"
