"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","variable"
1,-1.91510453775889,1.39654336503207,0.171199321129981,-4.21221395692691,0.382004881409125,2.87797925927308,1.5173524843334,0.0587312429573379,0.38215652205347,5.37380199649269,0.0848434833636326,345,"IMAEP"
2,-2.10859539396189,1.43278282834123,0.14205500752102,-4.46531342579276,0.248122637868976,3.69396462679072,1.66110636388627,0.0268344785281714,0.961687799400214,6.42624145418122,0.0483711612926415,344,"IMAEP"
3,-1.39446658421971,1.3592532997505,0.305684869771153,-3.63023930426008,0.841306135820664,3.44276604097048,1.50505610363118,0.0227990485334819,0.967169050147276,5.91836303179367,0.0691173685204182,343,"IMAEP"
4,-0.338926400034614,1.45547099722617,0.816011588953268,-2.73296314874475,2.05511034867552,2.55649736537695,1.35242084225959,0.0595922631043824,0.33196303782149,4.7810316929324,0.262113472919595,342,"IMAEP"
5,-0.903240512607375,1.44789182951571,0.533170541747884,-3.2848106398197,1.47832961460495,3.17497767495496,1.3953827733049,0.0235280137704812,0.879777259298783,5.47017809061113,0.116117810187427,341,"IMAEP"
6,-0.438465772670104,1.31819661679427,0.739629498057763,-2.60670625883931,1.7297747134991,2.89220675900044,1.4526488602092,0.0473115070157089,0.502812012598413,5.28160150540247,0.178937335418036,340,"IMAEP"
7,-0.211997217399463,1.46401196983893,0.884953523287183,-2.62008261588939,2.19608818109047,2.75651144039904,1.58553335723629,0.0830571201112535,0.148541147096382,5.3644817337017,0.281325725312365,339,"IMAEP"
8,0.436656843728251,1.18072054961984,0.711754991778319,-1.50545563473007,2.37876932218657,1.91409205945341,1.4593420592475,0.190573681636609,-0.486312019662669,4.31449613856948,0.519492938744453,338,"IMAEP"
9,-0.410374227775807,1.23386312367616,0.739655957183033,-2.43989846191622,1.6191500063646,2.69367906166614,1.66401078284738,0.106463080681932,-0.043375109786727,5.43073323311901,0.234714645180254,337,"IMAEP"
10,0.0162788747799422,1.16895510551997,0.988897585735939,-1.90648117027802,1.9390389198379,2.51491137472367,1.60791760096826,0.118774997468697,-0.129877723068088,5.15970047251543,0.30764742769218,336,"IMAEP"
11,0.121929981868414,1.25048534542094,0.922384945649702,-1.93493537399689,2.17879533773372,2.74534488881855,1.67074401108778,0.101317286169169,-0.00278445752663714,5.49347423516374,0.302582543425827,335,"IMAEP"
12,1.49637314113007,1.18711138839007,0.208395852116627,-0.456251331658736,3.44899761391887,1.14391193362308,1.77557091273836,0.519871848099898,-1.77664232210415,4.06446618935031,0.891570306732241,334,"IMAEP"
13,2.46554388009145,1.76025684253029,0.162277848906172,-0.429820971710636,5.36090873189354,-0.360187532318464,1.91479644081265,0.850911254996586,-3.50974740286291,2.78937233822598,0.398209129438106,333,"IMAEP"
14,3.50086828468287,1.91055557684794,0.0678236281611811,0.358284014612183,6.64345255475356,-1.94632084423137,2.08022336588047,0.350168889858837,-5.36798379246907,1.47534210400632,0.138294418360646,332,"IMAEP"
15,4.80311095108938,1.37799979790905,0.00055985806971282,2.53650298556028,7.06971891661848,-3.92331943470104,2.15985842991563,0.0702366460819341,-7.47597040684948,-0.370668462552598,0.00710263840926273,331,"IMAEP"
16,2.53072987218625,1.28124057417168,0.0491078694757247,0.423276666762573,4.63818307760992,-2.06638225051501,2.25000445654264,0.3591106161379,-5.76731024151614,1.63454574048613,0.154784762911034,330,"IMAEP"
17,0.916519561178573,1.17049268913823,0.434199753009893,-1.00876958387063,2.84180870622778,-0.51961540904829,2.12709009915364,0.807168424059093,-4.01836727349372,2.97913645539714,0.626828544973295,329,"IMAEP"
18,2.51358031866257,0.966235655569596,0.00972085040957793,0.924264096109085,4.10289654121605,-2.01982608693965,1.98297923364278,0.309180859400009,-5.28153667156642,1.24188449768713,0.0778644037404538,328,"IMAEP"
19,0.970109990480994,1.42768758273755,0.497321762674445,-1.37822710813845,3.31844708910044,-0.466681008016401,2.09318377003621,0.823716810034584,-3.90966192403641,2.97629990800361,0.640543091508372,327,"IMAEP"
20,1.4637800807184,1.21660114488712,0.229816244061288,-0.537350725002494,3.4649108864393,-1.00824128627925,1.86769970037637,0.589696545677149,-4.0803339124995,2.06385133994101,0.341195076475264,326,"IMAEP"
21,2.28677850087097,1.4753487638748,0.122153975008253,-0.139954264406861,4.7135112661488,-2.49248092887298,1.98800285375193,0.210864418713733,-5.76245463325672,0.777492775510756,0.111601139740366,325,"IMAEP"
22,1.32223793174804,1.49038460175973,0.375665893210645,-1.12922658600908,3.77370244950517,-2.63010295829441,1.97656495307498,0.18427807290986,-5.88126299026495,0.621057073676133,0.170643707067894,324,"IMAEP"
23,0.948051280894053,0.920713126985649,0.303954569045884,-0.566387045410123,2.46248960719823,-2.71649192961421,1.72502627635542,0.116329937025426,-5.55390765686402,0.120923797635591,0.0487080644862267,323,"IMAEP"
24,0.766671474753222,1.04390099558054,0.46324229088445,-0.950392864005687,2.48373581351213,-2.35041188699455,1.66305528044497,0.158568042168624,-5.08589439685527,0.385070622866156,0.131294893293865,322,"IMAEP"
1,0.37766541935159,0.386272681319585,0.328923991411527,-0.2576966015092,1.01302744021238,0.541902428551683,0.517379261375061,0.295675300665363,-0.309110726030559,1.39291558313393,0.838345532435321,345,"IPC"
2,0.787370887680095,0.543806408282916,0.148591976434796,-0.107111055343513,1.6818528307037,0.692001570618804,0.703437363461842,0.325958250336975,-0.465049928004587,1.84905306924219,0.930207460119482,344,"IPC"
