"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","fci_type","fci_label"
1,0.0122219754550164,0.0030894143122911,9.31316768203556e-05,0.00714034111828858,0.0173036097917442,-0.0167831077210733,0.00336888453195928,1.01402868455335e-06,-0.0223244296622472,-0.0112417857798994,3.7125582622588e-06,345,"FCI_COMP","Comprehensive"
2,0.0100197908324469,0.00288371313187223,0.000579462966585065,0.00527650482839928,0.0147630768364945,-0.0173337001916789,0.00391904357909754,1.32145014045678e-05,-0.0237799532369384,-0.0108874471464195,2.24197186512454e-05,344,"FCI_COMP","Comprehensive"
3,0.0120045551098459,0.00333839276725954,0.000372505320225611,0.00651338765843052,0.0174957225612614,-0.0213885403254787,0.00455339245189802,3.87025270566199e-06,-0.0288782044149167,-0.0138988762360408,5.2235095577835e-06,343,"FCI_COMP","Comprehensive"
4,0.011063251289228,0.00374214582811621,0.00333683770756432,0.00490796915126977,0.0172185334271863,-0.0221478182172076,0.00514725843861006,2.22472581308333e-05,-0.0306143049288119,-0.0136813315056033,4.87396965072051e-05,342,"FCI_COMP","Comprehensive"
5,0.00949178527140136,0.00384439045230614,0.0140567943721361,0.003168325692508,0.0158152448502947,-0.0214921041267119,0.00534718095992191,7.23996722406691e-05,-0.0302874341226053,-0.0126967741308185,0.000177183479567744,341,"FCI_COMP","Comprehensive"
6,0.0120388598800078,0.00460833983049906,0.00940440098675506,0.00445881539558651,0.0196189043644291,-0.0250617475188979,0.00573012784339826,1.64305535878685e-05,-0.0344869690850071,-0.0156365259527886,6.12671544594212e-05,340,"FCI_COMP","Comprehensive"
7,0.0111241827353064,0.00510088832857361,0.0299080556485826,0.00273396806737762,0.0195143974032351,-0.0252728471644694,0.00597139930625895,3.00829414291402e-05,-0.035094924971345,-0.0154507693575939,0.000214516091381234,339,"FCI_COMP","Comprehensive"
8,0.00889914234307929,0.00517273313455479,0.0863096625752022,0.00039075348545479,0.0174075312007038,-0.0236986411173683,0.00594290758745318,8.23950447582137e-05,-0.0334738542172281,-0.0139234280175085,0.000625386025400521,338,"FCI_COMP","Comprehensive"
9,0.00974173911393883,0.00528337448812765,0.0661154517195101,0.0010513614245992,0.0184321168032785,-0.0250074180988992,0.00609581833501639,5.17414595177932e-05,-0.0350341469964882,-0.0149806892013102,0.000186287156936804,337,"FCI_COMP","Comprehensive"
10,0.00890620522582793,0.00563501720690187,0.114965652340539,-0.000362573264878553,0.0181749837165344,-0.0244875741014505,0.00638977297666609,0.000152476348338689,-0.0349978153575162,-0.0139773328453848,0.000359486776706386,336,"FCI_COMP","Comprehensive"
11,0.00845673305285644,0.00626921167889426,0.178304087594465,-0.00185520251529932,0.0187686686210122,-0.0238453580744754,0.00680551961561107,0.000523326947557808,-0.0350394416975027,-0.0126512744514482,0.00116338628340407,335,"FCI_COMP","Comprehensive"
12,0.0132494820936444,0.00737368295807706,0.0732947503687098,0.00112085293606105,0.0253781112512277,-0.0294691233600485,0.00797352441543306,0.000257459524268842,-0.0425844039143597,-0.0163538428057374,0.000413015886098322,334,"FCI_COMP","Comprehensive"
13,0.0146818519335334,0.00805890216913344,0.0694131226822213,0.00142613747138716,0.0279375663956796,-0.0324380921364157,0.00894627471126342,0.000334802173596744,-0.0471534045429415,-0.0177227797298898,0.000505717314416398,333,"FCI_COMP","Comprehensive"
14,0.014226223332135,0.00898411792827229,0.114298540393658,-0.000551335627143381,0.0290037822914135,-0.0335091286738449,0.00954782322775011,0.000513111801097357,-0.0492139003395012,-0.0178043570081886,0.00141485186859713,332,"FCI_COMP","Comprehensive"
