"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","fci_label","npl_type"
1,0.0142179013523833,0.00320800725303705,1.26782434904106e-05,0.0089411989869387,0.0194946037178279,345,"FCI_COMP","Comprehensive","Level"
2,0.0132204498677556,0.00331354248536271,8.13493182617384e-05,0.007770157492649,0.0186707422428623,344,"FCI_COMP","Comprehensive","Level"
3,0.0161128189581127,0.00385722024063392,3.774897712883e-05,0.00976825625535537,0.02245738166087,343,"FCI_COMP","Comprehensive","Level"
4,0.0159188404909698,0.00426897432923446,0.000226122901437667,0.00889700258216575,0.0229406783997738,342,"FCI_COMP","Comprehensive","Level"
5,0.0147224839062024,0.00435953244725719,0.000820141026544161,0.00755169114851876,0.021893276663886,341,"FCI_COMP","Comprehensive","Level"
6,0.0177134855082647,0.00494495010779919,0.000392253803740984,0.00957976638835715,0.0258472046281723,340,"FCI_COMP","Comprehensive","Level"
7,0.0172743252881159,0.0052202282097222,0.00103995161959356,0.00868781398384,0.0258608365923919,339,"FCI_COMP","Comprehensive","Level"
8,0.0153317986047574,0.00508928462345974,0.00279261548519383,0.00696067033327125,0.0237029268762435,338,"FCI_COMP","Comprehensive","Level"
9,0.0163547760607125,0.00498414166707206,0.00114493723736546,0.00815659256238907,0.0245529595590359,337,"FCI_COMP","Comprehensive","Level"
10,0.0156619895149331,0.00500344552034777,0.00190509489983018,0.00743205400353495,0.0238919250263312,336,"FCI_COMP","Comprehensive","Level"
11,0.0151203954531973,0.00534688300726406,0.0049771917356116,0.0063255555458138,0.0239152353605808,335,"FCI_COMP","Comprehensive","Level"
12,0.0203129072377594,0.00638646828117399,0.00161219855957928,0.00980810172205984,0.030817712753459,334,"FCI_COMP","Comprehensive","Level"
13,0.0222100131256116,0.00714703359599891,0.00205429846786257,0.0104541889932888,0.0339658372579344,333,"FCI_COMP","Comprehensive","Level"
14,0.02240076700453,0.00794383055096493,0.00510259875200912,0.00933432851088742,0.0354672054981726,332,"FCI_COMP","Comprehensive","Level"
15,0.0234474416869556,0.00811436710805505,0.0041203874697408,0.0101004955188555,0.0367943878550556,331,"FCI_COMP","Comprehensive","Level"
16,0.0226583094068203,0.00848165342316671,0.00794003344846966,0.00870723101117918,0.0366093878024614,330,"FCI_COMP","Comprehensive","Level"
17,0.0225011876181167,0.00924236468816213,0.0154592499610177,0.00729885053918502,0.0377035246970484,329,"FCI_COMP","Comprehensive","Level"
18,0.0253707099985905,0.010063277702742,0.0121884243232034,0.0088180911702155,0.0419233288269655,328,"FCI_COMP","Comprehensive","Level"
19,0.0251067578594032,0.0102238395299643,0.0145988245101602,0.00829003832717156,0.0419234773916348,327,"FCI_COMP","Comprehensive","Level"
20,0.0233113954162699,0.0102331214567708,0.0233940884931564,0.00647940847306554,0.0401433823594742,326,"FCI_COMP","Comprehensive","Level"
21,0.0234164711757069,0.0096612262378695,0.0159255370263146,0.00752516815754852,0.0393077741938652,325,"FCI_COMP","Comprehensive","Level"
22,0.0221632172629941,0.00996554935702141,0.0268628103635762,0.00577134725853352,0.0385550872674547,324,"FCI_COMP","Comprehensive","Level"
23,0.0210063047731569,0.0100945440440681,0.0382532885117114,0.00440225738985019,0.0376103521564637,323,"FCI_COMP","Comprehensive","Level"
24,0.0259263066266675,0.0106750461244189,0.0157203085232871,0.00836741829104272,0.0434851949622922,322,"FCI_COMP","Comprehensive","Level"
1,0.00995380587656428,0.00279013054576508,0.000413103222101729,0.00536444952869449,0.0145431622244341,345,"FCI_COMP","Comprehensive","YoY Change"
2,0.0107220041557534,0.00321644165229852,0.000954157457332605,0.00543142843809236,0.0160125798734144,344,"FCI_COMP","Comprehensive","YoY Change"
3,0.0141880767066298,0.00416000808941324,0.000728212195216247,0.00734547231261095,0.0210306811006486,343,"FCI_COMP","Comprehensive","YoY Change"
4,0.0149190289175177,0.00484015566354405,0.00222627462714041,0.0069576813193276,0.0228803765157079,342,"FCI_COMP","Comprehensive","YoY Change"
5,0.0158973962138078,0.00557841916458561,0.0046495832145184,0.00672171321828358,0.025073079209332,341,"FCI_COMP","Comprehensive","YoY Change"
6,0.017125025759904,0.00602824769040584,0.00478051149062122,0.00720944068217817,0.0270406108376299,340,"FCI_COMP","Comprehensive","YoY Change"
7,0.0174945891177543,0.00636306874572904,0.00630142265483738,0.00702827241280036,0.0279609058227083,339,"FCI_COMP","Comprehensive","YoY Change"
