"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","fci_type","spec"
1,-0.920945751354965,0.767358030726202,0.230931134680041,-2.1831373913653,0.341245888655366,345,"Cred_Total","FCI_RATES","Rates-only"
2,-1.33012036379888,1.01920296173489,0.192773705416355,-3.00656005200819,0.346319324410431,344,"Cred_Total","FCI_RATES","Rates-only"
3,-1.93027785189557,1.30202733002362,0.139151312994243,-4.07192222807486,0.211366524283711,343,"Cred_Total","FCI_RATES","Rates-only"
4,-2.30301441658448,1.55721248669496,0.140108980834711,-4.86440102325881,0.258372190089852,342,"Cred_Total","FCI_RATES","Rates-only"
5,-2.19014637475526,1.62232073032998,0.17793856554276,-4.85862651211709,0.478333762606564,341,"Cred_Total","FCI_RATES","Rates-only"
6,-2.42245961093673,1.69945219438821,0.154979358367334,-5.2178097167068,0.372890494833351,340,"Cred_Total","FCI_RATES","Rates-only"
7,-2.43836103209894,1.75932908331709,0.166700417948099,-5.33219985579427,0.455477791596394,339,"Cred_Total","FCI_RATES","Rates-only"
8,-3.54514386847618,1.83051902316121,0.0536447598788089,-6.55607972292655,-0.534208014025798,338,"Cred_Total","FCI_RATES","Rates-only"
9,-4.84507670557627,1.97866319885739,0.0148651615307278,-8.09968804473225,-1.59046536642029,337,"Cred_Total","FCI_RATES","Rates-only"
10,-4.93574445189043,2.10008295169857,0.0193577409524046,-8.39007351189078,-1.48141539189008,336,"Cred_Total","FCI_RATES","Rates-only"
11,-5.45772908921462,2.44885129833135,0.0265202358756532,-9.48573102913976,-1.42972714928948,335,"Cred_Total","FCI_RATES","Rates-only"
12,-5.43944476708963,2.3165706656367,0.0194743461879188,-9.24986442855155,-1.62902510562772,334,"Cred_Total","FCI_RATES","Rates-only"
13,-6.2430317726825,2.53498459057086,0.0143106435484028,-10.4127103707491,-2.07335317461593,333,"Cred_Total","FCI_RATES","Rates-only"
14,-6.55129702982315,2.61185897804877,0.0126245951595081,-10.8474227429524,-2.25517131669386,332,"Cred_Total","FCI_RATES","Rates-only"
15,-6.74502660683456,2.86244368767354,0.0190561381131648,-11.4533274884487,-2.0367257252204,331,"Cred_Total","FCI_RATES","Rates-only"
16,-7.03171838083907,2.94546615031823,0.0175545431738956,-11.8765790612528,-2.18685770042534,330,"Cred_Total","FCI_RATES","Rates-only"
17,-7.31096426901191,2.88749764526443,0.0118245305480717,-12.0604752436389,-2.56145329438489,329,"Cred_Total","FCI_RATES","Rates-only"
18,-7.16532574812613,3.01501277450331,0.0180689685843797,-12.1245804455729,-2.20607105067934,328,"Cred_Total","FCI_RATES","Rates-only"
19,-6.86154649882228,3.00148623345796,0.0229129087280053,-11.7985520161705,-1.92454098147404,327,"Cred_Total","FCI_RATES","Rates-only"
20,-6.76621693517053,3.01855660565152,0.025687130254717,-11.7313007161348,-1.80113315420631,326,"Cred_Total","FCI_RATES","Rates-only"
21,-5.46112062822062,3.10483478504968,0.0795670330128333,-10.5681193854947,-0.354121870946567,325,"Cred_Total","FCI_RATES","Rates-only"
22,-4.95237180959301,3.20935061863829,0.123815181549363,-10.2312838148191,0.326540195633127,324,"Cred_Total","FCI_RATES","Rates-only"
23,-5.34198692442429,3.0956273763642,0.0853994770563425,-10.4338408421272,-0.250133006721371,323,"Cred_Total","FCI_RATES","Rates-only"
24,-5.35874602549221,3.4587597214568,0.122320378159308,-11.0478994980841,0.330407447099673,322,"Cred_Total","FCI_RATES","Rates-only"
1,-2.41003278916211,0.704027720571046,0.000695855070769785,-3.56805533881778,-1.25201023950645,345,"Cred_Real_MN","FCI_RATES","Rates-only"
2,-3.3907527629484,0.957449038817854,0.000454660188105336,-4.96561628706914,-1.81588923882765,344,"Cred_Real_MN","FCI_RATES","Rates-only"
3,-4.69750514033902,1.27273183614608,0.000261119131307803,-6.79096271716052,-2.60404756351753,343,"Cred_Real_MN","FCI_RATES","Rates-only"
4,-5.6241973056426,1.60191103375115,0.000508445147311326,-8.25910647956176,-2.98928813172345,342,"Cred_Real_MN","FCI_RATES","Rates-only"
5,-6.22947965335185,1.7926160587395,0.000578925842065929,-9.17807067930096,-3.28088862740274,341,"Cred_Real_MN","FCI_RATES","Rates-only"
6,-6.79720586944664,1.92247785103344,0.000465110370029367,-9.95940053545287,-3.63501120344041,340,"Cred_Real_MN","FCI_RATES","Rates-only"
7,-6.98865538797172,2.04447100506251,0.000709516726166908,-10.3515109358459,-3.62579984009752,339,"Cred_Real_MN","FCI_RATES","Rates-only"
8,-8.0009017495629,2.33200788233224,0.000678735731822504,-11.8367133728965,-4.16509012622929,338,"Cred_Real_MN","FCI_RATES","Rates-only"
9,-9.2645259499721,2.51251222502244,0.000265356270821191,-13.3972407960602,-5.13181110388404,337,"Cred_Real_MN","FCI_RATES","Rates-only"
10,-9.23593887632949,2.67233674089678,0.000620792194883445,-13.6315416570292,-4.84033609562975,336,"Cred_Real_MN","FCI_RATES","Rates-only"
11,-9.94151338384071,3.03404976735744,0.00116431788269272,-14.9320811480299,-4.95094561965156,335,"Cred_Real_MN","FCI_RATES","Rates-only"
12,-10.0426738959593,2.87458819579716,0.000543010583301172,-14.7709507158081,-5.31439707611045,334,"Cred_Real_MN","FCI_RATES","Rates-only"
13,-10.3406812709417,3.191876356472,0.00132155894634924,-15.5908506726653,-5.09051186921804,333,"Cred_Real_MN","FCI_RATES","Rates-only"
14,-10.3401292607837,3.3719539661122,0.00234983115246101,-15.8864999718567,-4.79375854971064,332,"Cred_Real_MN","FCI_RATES","Rates-only"
15,-10.1090825538734,3.51475788833974,0.00429525803798678,-15.8903448143653,-4.32782029338149,331,"Cred_Real_MN","FCI_RATES","Rates-only"
16,-10.4903196340986,3.63089750307216,0.00412684381151479,-16.4626145611159,-4.51802470708134,330,"Cred_Real_MN","FCI_RATES","Rates-only"
17,-10.679622617326,3.68639986743686,0.00402839314781263,-16.743210809673,-4.6160344249791,329,"Cred_Real_MN","FCI_RATES","Rates-only"
18,-10.1886845230007,3.57038111393939,0.00460612417182902,-16.0614388478629,-4.31593019813843,328,"Cred_Real_MN","FCI_RATES","Rates-only"
19,-10.1327407804973,3.58584898396477,0.0050171414328497,-16.030937487472,-4.23454407352264,327,"Cred_Real_MN","FCI_RATES","Rates-only"
20,-9.72369998732368,3.43131321853727,0.0048964580569695,-15.3677079800412,-4.07969199460613,326,"Cred_Real_MN","FCI_RATES","Rates-only"
21,-8.27479728888559,3.52628652268245,0.0195666462431753,-14.0750224653899,-2.47457211238126,325,"Cred_Real_MN","FCI_RATES","Rates-only"
22,-7.81629555181887,3.40850526007586,0.022500669622299,-13.4227877913378,-2.20980331229993,324,"Cred_Real_MN","FCI_RATES","Rates-only"
23,-7.70085705949962,3.31012283091821,0.0206343916401283,-13.1455246035903,-2.25618951540893,323,"Cred_Real_MN","FCI_RATES","Rates-only"
24,-7.54053939398108,3.41126650057201,0.0277994729891789,-13.151573469945,-1.92950531801716,322,"Cred_Real_MN","FCI_RATES","Rates-only"
1,2.36709050265757,1.59269113601946,0.138164063782641,-0.252653289037497,4.98683429435264,345,"Cred_USD","FCI_RATES","Rates-only"
2,3.06296179323446,2.08226804141267,0.142242495940816,-0.362064346968308,6.48798793343722,344,"Cred_USD","FCI_RATES","Rates-only"
3,3.78210717101188,2.56151413978536,0.140754266338866,-0.431208652301542,7.9954229943253,343,"Cred_USD","FCI_RATES","Rates-only"
4,3.62773523111239,2.83667253935441,0.201838737889679,-1.03817588371836,8.29364634594313,342,"Cred_USD","FCI_RATES","Rates-only"
5,5.14851872879676,3.04456604022783,0.0917710690942436,0.140653235034727,10.1563842225588,341,"Cred_USD","FCI_RATES","Rates-only"
6,5.29062094176829,3.23193227235315,0.1025899687608,-0.0254345784733081,10.6066764620099,340,"Cred_USD","FCI_RATES","Rates-only"
7,6.04921243140515,3.30302052297315,0.0679449856616033,0.616227144297623,11.4821977185127,339,"Cred_USD","FCI_RATES","Rates-only"
8,4.77358301844577,3.02977691232344,0.116095113753481,-0.209956524643276,9.75712256153482,338,"Cred_USD","FCI_RATES","Rates-only"
9,3.09592990885362,3.03882144006912,0.30905673461551,-1.90248655850198,8.09434637620921,337,"Cred_USD","FCI_RATES","Rates-only"
10,2.19712223445739,3.04839358060898,0.471582942689271,-2.81703900298287,7.21128347189765,336,"Cred_USD","FCI_RATES","Rates-only"
11,1.19667337022066,3.30115505621057,0.717213711025503,-4.23324349711648,6.6265902375578,335,"Cred_USD","FCI_RATES","Rates-only"
12,0.752533351448445,3.11235774102704,0.80909722359451,-4.36683956725038,5.87190627014726,334,"Cred_USD","FCI_RATES","Rates-only"
13,-1.48895912022657,3.17232613167854,0.639130861170906,-6.70697126379094,3.7290530233378,333,"Cred_USD","FCI_RATES","Rates-only"
14,-2.38085986329033,3.19890257933274,0.457255242560187,-7.64258637317021,2.88086664658955,332,"Cred_USD","FCI_RATES","Rates-only"
15,-3.14896612542056,3.71440896032237,0.397199471838177,-9.25862517578786,2.96069292494673,331,"Cred_USD","FCI_RATES","Rates-only"
16,-3.21505115730265,3.81392814117346,0.399873291220479,-9.4884046932441,3.0583023786388,330,"Cred_USD","FCI_RATES","Rates-only"
17,-3.47834045917208,3.87084244397237,0.369545445155553,-9.84530969249773,2.88862877415357,329,"Cred_USD","FCI_RATES","Rates-only"
18,-3.63869695802724,4.18275087759997,0.384997352796915,-10.518709909682,3.24131599362752,328,"Cred_USD","FCI_RATES","Rates-only"
19,-3.46483187385796,3.89578386631976,0.374475487960118,-9.87282609619304,2.94316234847712,327,"Cred_USD","FCI_RATES","Rates-only"
20,-3.78073375262892,3.80932651916378,0.321718371458106,-10.0465182939179,2.48505078866005,326,"Cred_USD","FCI_RATES","Rates-only"
21,-2.72577026158941,3.67701653643205,0.45906594658161,-8.77392424790021,3.32238372472139,325,"Cred_USD","FCI_RATES","Rates-only"
22,-2.24881519969772,4.05217205851411,0.579314710766173,-8.91404510717607,4.41641470778063,324,"Cred_USD","FCI_RATES","Rates-only"
