"Variable","FCI_COMP_AVG","FCI_ENDO_AVG","FCI_EXO_AVG","FCI_exCredit_AVG","FCI_ENDO_exCredit_AVG"
"US_10Y",-0.154999934338813,-0.152992463132369,-0.0691719693611447,-0.124879339084163,-0.119704211718958
"SP500",-0.064800928705521,-0.0881885192841882,-0.0328346991638352,0.00521824203879459,-0.0322620681777415
"DXY",0.494996955775431,0.46094321366739,0.264679635563546,0.536804542681484,0.512451219842451
"Selic_rate",0.18673962952009,0.209960297261368,0.0569110797169746,0.174681658473502,0.206437131599375
"IPE",-0.212402038193701,-0.197612119559515,-0.21175666868185,-0.144261236308278,-0.147775238651758
"Paraguay_ToT",0.11686149806444,0.171737027067246,-0.119817348910985,0.0863334519158984,0.156062068195966
"GFC_simple",0.386417754179192,0.227326037451589,0.503433926346663,0.511357953508662,0.319980666169072
"GFC_PCA",-0.131878253312844,-0.0509026172680228,-0.101424179193693,-0.181911889532971,-0.0758134038779504
"Regional_FC",0.200990060935127,0.263609657222503,-0.203200178382151,0.257575854864467,0.324593164085091
"d_Soybean",-0.205620957980601,-0.159983936891019,-0.257436376300879,-0.250988154391177,-0.202123858826688
"d_Soybean_oil",-0.252545109845179,-0.214458316796077,-0.213817097792479,-0.277964397853563,-0.23746038833365
"d_Soybean_flour",-0.119437095896551,-0.0747313411908824,-0.255460477202968,-0.166387735371938,-0.116726752729398
"d_Cotton",-0.129714942531639,-0.0889684565783748,-0.202713032156314,-0.165359704884439,-0.118470824449383
"d_Corn",-0.293762769347074,-0.267624762783503,-0.215477052373078,-0.296133377697502,-0.27059012346822
"d_Wheat",-0.31150269815999,-0.301505357666272,-0.170624843582798,-0.30661666807311,-0.2992954175557
"d_Meat",-0.275184561325836,-0.121777422701245,-0.690740831922248,-0.282156687378644,-0.111214189783827
"d_Sugar",-0.175900790144885,-0.186555424353206,-0.0499298684772334,-0.202211075414384,-0.215174960776714
"d_Oil_Brent",-0.21029815297638,-0.190913145594579,-0.196028108106558,-0.249438399037091,-0.227411366456398
"d_ToT",0.0394186834009114,0.0656784903886316,0.0512980957064641,0.0197965551619937,0.0586686402402309
