"response","horizon","shock","contribution","block"
"FCI_ENDO",1,"FFER",0.142877727652793,"External"
"FCI_ENDO",1,"VIX",1.2599367246603,"External"
"FCI_ENDO",1,"Commodities",0.0591277165450715,"External"
"FCI_ENDO",1,"FCI_ENDO",98.5380578311418,"Domestic"
"FCI_ENDO",1,"IMAEP_yoy",0,"Domestic"
"FCI_ENDO",1,"IPC_yoy",0,"Domestic"
"FCI_ENDO",6,"FFER",0.082297727992497,"External"
"FCI_ENDO",6,"VIX",9.58425544979947,"External"
"FCI_ENDO",6,"Commodities",0.0552416835867991,"External"
"FCI_ENDO",6,"FCI_ENDO",87.0921611280064,"Domestic"
"FCI_ENDO",6,"IMAEP_yoy",2.284611698235,"Domestic"
"FCI_ENDO",6,"IPC_yoy",0.901432312379808,"Domestic"
"FCI_ENDO",12,"FFER",0.425005549110324,"External"
"FCI_ENDO",12,"VIX",14.6803723250048,"External"
"FCI_ENDO",12,"Commodities",0.046851448468273,"External"
"FCI_ENDO",12,"FCI_ENDO",79.8021811405182,"Domestic"
"FCI_ENDO",12,"IMAEP_yoy",3.39632725776774,"Domestic"
"FCI_ENDO",12,"IPC_yoy",1.64926227913069,"Domestic"
"FCI_ENDO",24,"FFER",2.0744844205896,"External"
"FCI_ENDO",24,"VIX",17.505710305222,"External"
"FCI_ENDO",24,"Commodities",0.0336308840011068,"External"
"FCI_ENDO",24,"FCI_ENDO",73.7575215598453,"Domestic"
"FCI_ENDO",24,"IMAEP_yoy",3.74384309503028,"Domestic"
"FCI_ENDO",24,"IPC_yoy",2.88480973531178,"Domestic"
"IMAEP_yoy",1,"FFER",9.84007085509044e-05,"External"
"IMAEP_yoy",1,"VIX",0.0909624815171091,"External"
"IMAEP_yoy",1,"Commodities",0.869865355502698,"External"
"IMAEP_yoy",1,"FCI_ENDO",0.035960320530776,"Domestic"
"IMAEP_yoy",1,"IMAEP_yoy",99.0031134417409,"Domestic"
"IMAEP_yoy",1,"IPC_yoy",0,"Domestic"
"IMAEP_yoy",6,"FFER",0.377983371532386,"External"
"IMAEP_yoy",6,"VIX",6.81837612195149,"External"
"IMAEP_yoy",6,"Commodities",4.09358035578405,"External"
"IMAEP_yoy",6,"FCI_ENDO",0.647656544290353,"Domestic"
"IMAEP_yoy",6,"IMAEP_yoy",87.5297274080691,"Domestic"
"IMAEP_yoy",6,"IPC_yoy",0.532676198372675,"Domestic"
"IMAEP_yoy",12,"FFER",0.385171363793341,"External"
"IMAEP_yoy",12,"VIX",8.63175619205252,"External"
"IMAEP_yoy",12,"Commodities",4.05359227007561,"External"
"IMAEP_yoy",12,"FCI_ENDO",0.843227115349895,"Domestic"
"IMAEP_yoy",12,"IMAEP_yoy",84.838918308519,"Domestic"
"IMAEP_yoy",12,"IPC_yoy",1.2473347502096,"Domestic"
"IMAEP_yoy",24,"FFER",0.468413972718253,"External"
"IMAEP_yoy",24,"VIX",8.65662453807644,"External"
"IMAEP_yoy",24,"Commodities",4.2970551865325,"External"
"IMAEP_yoy",24,"FCI_ENDO",0.871971115408917,"Domestic"
"IMAEP_yoy",24,"IMAEP_yoy",83.9789710843882,"Domestic"
"IMAEP_yoy",24,"IPC_yoy",1.72696410287567,"Domestic"
"IPC_yoy",1,"FFER",0.555518145547419,"External"
"IPC_yoy",1,"VIX",0.139218262275821,"External"
"IPC_yoy",1,"Commodities",0.898097746587962,"External"
"IPC_yoy",1,"FCI_ENDO",0.954040775711268,"Domestic"
"IPC_yoy",1,"IMAEP_yoy",0.799023760444846,"Domestic"
"IPC_yoy",1,"IPC_yoy",96.6541013094327,"Domestic"
"IPC_yoy",6,"FFER",0.25380303607272,"External"
"IPC_yoy",6,"VIX",0.602320199060414,"External"
"IPC_yoy",6,"Commodities",1.92725090773199,"External"
"IPC_yoy",6,"FCI_ENDO",1.06021810893189,"Domestic"
"IPC_yoy",6,"IMAEP_yoy",1.30841113942595,"Domestic"
"IPC_yoy",6,"IPC_yoy",94.847996608777,"Domestic"
"IPC_yoy",12,"FFER",0.603116470331625,"External"
"IPC_yoy",12,"VIX",0.840562491536938,"External"
"IPC_yoy",12,"Commodities",1.74233262345933,"External"
"IPC_yoy",12,"FCI_ENDO",0.974613286447833,"Domestic"
"IPC_yoy",12,"IMAEP_yoy",1.05385058191045,"Domestic"
"IPC_yoy",12,"IPC_yoy",94.7855245463138,"Domestic"
"IPC_yoy",24,"FFER",1.13001181507976,"External"
"IPC_yoy",24,"VIX",1.15667667153316,"External"
"IPC_yoy",24,"Commodities",5.48391092798607,"External"
"IPC_yoy",24,"FCI_ENDO",1.06071379954642,"Domestic"
"IPC_yoy",24,"IMAEP_yoy",0.98166099560156,"Domestic"
"IPC_yoy",24,"IPC_yoy",90.187025790253,"Domestic"
