"horizon","response_val","lower","upper","shock","response"
0,-0.00638948124618772,-0.017585555137344,0.0075254603530618,"FFER","FCI_ENDO"
1,-0.00408633759072775,-0.0208913543346831,0.0169781421486975,"FFER","FCI_ENDO"
2,-0.00324294106710642,-0.0256815607890415,0.0239817796109403,"FFER","FCI_ENDO"
3,-0.00358385346951358,-0.0302718714178675,0.0277948920028857,"FFER","FCI_ENDO"
4,-0.00488507343075873,-0.0343188454876305,0.0296386609589423,"FFER","FCI_ENDO"
5,-0.00678815291250714,-0.0396313213323372,0.0309961357025077,"FFER","FCI_ENDO"
6,-0.00901279401694954,-0.0442156828777258,0.0292088033854965,"FFER","FCI_ENDO"
7,-0.0113693208377634,-0.0490182786002145,0.0288522922154154,"FFER","FCI_ENDO"
8,-0.0137392672519697,-0.0501487297989403,0.0301541895477593,"FFER","FCI_ENDO"
9,-0.0160530825760667,-0.0543719187093381,0.0296244172333973,"FFER","FCI_ENDO"
10,-0.0182727671473649,-0.0570881383692439,0.0288356303479321,"FFER","FCI_ENDO"
11,-0.0203799052408212,-0.0592899819043844,0.0293966661181509,"FFER","FCI_ENDO"
12,-0.0223678486350222,-0.0626485594963418,0.0269230329620243,"FFER","FCI_ENDO"
13,-0.024236755722312,-0.0665552802756676,0.0256213329615227,"FFER","FCI_ENDO"
14,-0.0259905060852844,-0.0709221213787565,0.0253959647253993,"FFER","FCI_ENDO"
15,-0.0276348191160752,-0.0746789045829609,0.025819105219898,"FFER","FCI_ENDO"
16,-0.029176134880287,-0.0777673006186845,0.0275001615097257,"FFER","FCI_ENDO"
17,-0.0306209718779952,-0.0787394768840389,0.0274984105128715,"FFER","FCI_ENDO"
18,-0.0319755792759956,-0.07950849637834,0.028213575206902,"FFER","FCI_ENDO"
19,-0.0332457678528841,-0.0801188635816166,0.0281708641985305,"FFER","FCI_ENDO"
20,-0.0344368467487772,-0.0805291626165766,0.0279103485743601,"FFER","FCI_ENDO"
21,-0.0355536205178301,-0.0816254049742396,0.0283297080435589,"FFER","FCI_ENDO"
22,-0.0366004184343017,-0.0823697743750256,0.0286420676323059,"FFER","FCI_ENDO"
23,-0.0375811390617317,-0.0826213117712227,0.0281673367858094,"FFER","FCI_ENDO"
24,-0.0384993000570784,-0.0833691792530973,0.0288647959077706,"FFER","FCI_ENDO"
0,0.00365572002150504,-0.351876299298143,0.300710466051734,"FFER","IMAEP_yoy"
1,0.140619347820482,-0.266473493398179,0.478499656894777,"FFER","IMAEP_yoy"
2,0.173871893910734,-0.276514540493894,0.532359029297825,"FFER","IMAEP_yoy"
3,0.156112842161141,-0.264725205555624,0.518456157746762,"FFER","IMAEP_yoy"
4,0.125052324507558,-0.242268099266383,0.477830719456996,"FFER","IMAEP_yoy"
5,0.0928275704478339,-0.220502048265164,0.405339758395216,"FFER","IMAEP_yoy"
6,0.0635048893512704,-0.211197342446344,0.365331383020942,"FFER","IMAEP_yoy"
7,0.0383849232601833,-0.231612558072578,0.304155315328318,"FFER","IMAEP_yoy"
8,0.0176289786515251,-0.240929137709065,0.26043988362836,"FFER","IMAEP_yoy"
9,0.000901087530953673,-0.261048847626896,0.251243193229439,"FFER","IMAEP_yoy"
10,-0.0123255224555922,-0.25497702632416,0.228527359274283,"FFER","IMAEP_yoy"
11,-0.0226149494266439,-0.255493974625619,0.210869929706146,"FFER","IMAEP_yoy"
12,-0.0304954809107213,-0.255404961249966,0.198785691712033,"FFER","IMAEP_yoy"
13,-0.0364297219447721,-0.258766949758179,0.185774581771397,"FFER","IMAEP_yoy"
14,-0.0408073022290627,-0.260347937066723,0.170322049731073,"FFER","IMAEP_yoy"
15,-0.0439485430759883,-0.257928736866483,0.159432303104231,"FFER","IMAEP_yoy"
16,-0.0461127189772189,-0.253467384220177,0.154967334944353,"FFER","IMAEP_yoy"
17,-0.047507578471097,-0.246463601133848,0.141575887619834,"FFER","IMAEP_yoy"
