"commodity","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs"
"d_Soybean",-0.0056499714194338,0.00412384504171976,-1.37007364783949,0.171573269972744,-0.0124330928932924,0.00113315005442479,346
"d_Soybean_oil",-0.00678317150772388,0.00304969750199891,-2.22421125481392,0.0267944055828971,-0.0117994775049916,-0.00176686551045614,346
"d_Soybean_flour",-0.00222871331162158,0.00442734364732303,-0.503397406923486,0.615012793442456,-0.00951104556768143,0.00505361894443826,346
"d_Cotton",-0.00146767442913528,0.00233855651756104,-0.627598442934346,0.530690783780723,-0.00531425759887656,0.00237890874060601,346
"d_Corn",-0.00855899922016771,0.00261197074332837,-3.27683579229574,0.0011587180317583,-0.0128553087708225,-0.00426268966951291,346
"d_Wheat",-0.0112772121452958,0.00301838111634496,-3.73617900146147,0.000219265950972859,-0.0162420072720377,-0.00631241701855401,346
"d_Meat",-0.00635318964048141,0.00859858459869743,-0.738864584927598,0.460501991516575,-0.020496602704298,0.00779022342333513,346
"d_Sugar",-0.00527245702694244,0.00280571667089617,-1.87918369721144,0.0610796568664493,-0.00988745026926421,-0.000657463784620674,346
"d_Oil_Brent",-0.00459301544637732,0.00234695315683379,-1.9570119808329,0.051168911968589,-0.00845340985868058,-0.000732621034074057,346
"d_Soybean_orth_DXY",0.000264287191671745,0.00459403785456314,0.0575283008191225,0.954159392428262,-0.0072922326357588,0.00782080701910229,336
