"cause","effect","lag","F_stat","p_value","n_obs"
"d_Soybean","FCI_ENDO_AVG",3,0.585683064799844,0.624541691006163,345
"d_Soybean","FCI_ENDO_AVG",6,0.490053845598995,0.816006223607137,342
"d_Soybean","FCI_ENDO_AVG",12,1.1762019709964,0.296359394466328,336
"d_Soybean_oil","FCI_ENDO_AVG",3,0.248701633225525,0.862276531040878,345
"d_Soybean_oil","FCI_ENDO_AVG",6,0.623333336370659,0.711714060009372,342
"d_Soybean_oil","FCI_ENDO_AVG",12,1.0388414675595,0.410889967441428,336
"d_Soybean_flour","FCI_ENDO_AVG",3,0.702299095265638,0.550866461197059,345
"d_Soybean_flour","FCI_ENDO_AVG",6,0.491581074484984,0.814868181186148,342
"d_Soybean_flour","FCI_ENDO_AVG",12,0.757563851489006,0.694598073699479,336
"d_Cotton","FCI_ENDO_AVG",3,0.129463116628028,0.942594473261887,345
"d_Cotton","FCI_ENDO_AVG",6,0.365571051616451,0.900775912660075,342
"d_Cotton","FCI_ENDO_AVG",12,1.11052545874631,0.348237704563436,336
"d_Corn","FCI_ENDO_AVG",3,1.02254724756554,0.382018887136717,345
"d_Corn","FCI_ENDO_AVG",6,0.714830892822467,0.637759195234926,342
"d_Corn","FCI_ENDO_AVG",12,0.794763038646296,0.656190981140664,336
"d_Wheat","FCI_ENDO_AVG",3,0.830465357151132,0.477345055484214,345
"d_Wheat","FCI_ENDO_AVG",6,0.559527040538262,0.76265224121297,342
"d_Wheat","FCI_ENDO_AVG",12,1.23709799372473,0.253219983953842,336
"d_Meat","FCI_ENDO_AVG",3,0.153896379209178,0.927184319217335,345
"d_Meat","FCI_ENDO_AVG",6,0.193535474374665,0.978639150511852,342
"d_Meat","FCI_ENDO_AVG",12,0.524268512305412,0.899666789373696,336
"d_Sugar","FCI_ENDO_AVG",3,0.0118128165102654,0.998242564742052,345
"d_Sugar","FCI_ENDO_AVG",6,0.0889272949359738,0.997386599935139,342
"d_Sugar","FCI_ENDO_AVG",12,0.423502343530887,0.954486282108584,336
"d_Oil_Brent","FCI_ENDO_AVG",3,0.0642021700973166,0.978755667058961,345
"d_Oil_Brent","FCI_ENDO_AVG",6,0.0903787565183244,0.997265428669852,342
"d_Oil_Brent","FCI_ENDO_AVG",12,0.39557536262158,0.965317735676712,336
"d_ToT","FCI_ENDO_AVG",3,1.21869576992084,0.302020840403525,321
"d_ToT","FCI_ENDO_AVG",6,1.3532297656635,0.231425730224978,318
"d_ToT","FCI_ENDO_AVG",12,1.18226937639088,0.292087663519185,312
"Commodities_AGG","FCI_ENDO_AVG",3,0.513691743865724,0.672959557089137,357
"Commodities_AGG","FCI_ENDO_AVG",6,0.894424474946483,0.498389510250975,354
"Commodities_AGG","FCI_ENDO_AVG",12,2.5056411832221,0.00318983312907728,348
