"output_var","output_label","horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","r_squared"
"IMAEP","Aggregate GDP (IMAE-P)",0,-6.21634498607896e-17,1.14009995208893e-17,9.58761832818605e-08,-8.09180940726525e-17,-4.34088056489268e-17,348,1
"IMAEP","Aggregate GDP (IMAE-P)",1,-0.00241687137467539,0.0609969193224645,0.968417208547201,-0.10275680366013,0.0979230609107787,347,0.495260591939366
"IMAEP","Aggregate GDP (IMAE-P)",2,0.0896633856969622,0.0853270583097383,0.294094171935324,-0.0506996252225574,0.230026396616482,346,0.271739556618846
"IMAEP","Aggregate GDP (IMAE-P)",3,-0.0367458154347926,0.102020879832588,0.718939306609111,-0.2045701627594,0.131078531889814,345,0.178044100616128
"IMAEP","Aggregate GDP (IMAE-P)",4,-0.00768466419526843,0.107380358958526,0.942990882521035,-0.184325354682044,0.168956026291507,344,0.130266945686659
"IMAEP","Aggregate GDP (IMAE-P)",5,-0.0463012664788195,0.129542141852285,0.721001330618572,-0.259398089825828,0.166795556868189,343,0.0913208886291745
"IMAEP","Aggregate GDP (IMAE-P)",6,-0.0734959427621551,0.108401899893605,0.498245708136589,-0.251817068087135,0.104825182562825,342,0.0797331239540183
"IMAEP","Aggregate GDP (IMAE-P)",7,-0.0906432791003414,0.119179272997594,0.447458260941887,-0.286693183181384,0.105406624980701,341,0.0538717117747512
"IMAEP","Aggregate GDP (IMAE-P)",8,-0.0239126970900107,0.0985731550640803,0.80847456915628,-0.186065537170423,0.138240142990401,340,0.0356103982321474
"IMAEP","Aggregate GDP (IMAE-P)",9,0.0916022779660605,0.097561208493552,0.348457956143626,-0.0688859100058325,0.252090465937953,339,0.0478044514589818
"IMAEP","Aggregate GDP (IMAE-P)",10,-0.00619811203415087,0.1087761095614,0.954595355523371,-0.185134812262654,0.172738588194352,338,0.101601366400402
"IMAEP","Aggregate GDP (IMAE-P)",11,-0.0771510956355964,0.0974778077752339,0.429239741169392,-0.237502089425856,0.0831998981546634,337,0.0908094273006863
"IMAEP","Aggregate GDP (IMAE-P)",12,-0.15697086557737,0.0874860261411823,0.0736986154541393,-0.300885378579615,-0.0130563525751252,336,0.0913857005307
