"horizon","response","shock","contribution"
1,"VIX","VIX",1
1,"VIX","SP500",0
1,"VIX","DXY",0
1,"VIX","US_10Y",0
1,"VIX","FFER",0
1,"VIX","Selic_rate",0
1,"VIX","d_ToT",0
1,"VIX","FCI_ENDO_AVG",0
1,"VIX","Cred_Real_Total",0
1,"VIX","IMAEP_yoy",0
1,"VIX","IPC_yoy",0
2,"VIX","VIX",0.960526976396355
2,"VIX","SP500",0.0236303454529281
2,"VIX","DXY",0.000616596999706307
2,"VIX","US_10Y",0.000507331992444134
2,"VIX","FFER",5.69828457905623e-05
2,"VIX","Selic_rate",0.00148294887672103
2,"VIX","d_ToT",0.00063706717658581
2,"VIX","FCI_ENDO_AVG",0.0100963619647779
2,"VIX","Cred_Real_Total",0.000464348377028474
2,"VIX","IMAEP_yoy",0.00128846133620013
2,"VIX","IPC_yoy",0.000692578581462611
3,"VIX","VIX",0.946014489446912
3,"VIX","SP500",0.0306829223580303
3,"VIX","DXY",0.00171061457701243
3,"VIX","US_10Y",0.000777282870444081
3,"VIX","FFER",0.000127615745449923
3,"VIX","Selic_rate",0.00364529408659126
3,"VIX","d_ToT",0.000731287377231758
3,"VIX","FCI_ENDO_AVG",0.0113469554303241
3,"VIX","Cred_Real_Total",0.000410983836546161
3,"VIX","IMAEP_yoy",0.0037394563759731
3,"VIX","IPC_yoy",0.000813097895485277
4,"VIX","VIX",0.933711107861153
4,"VIX","SP500",0.0334513834670649
4,"VIX","DXY",0.00341323880604013
4,"VIX","US_10Y",0.00080076821641073
4,"VIX","FFER",0.000114712632013299
4,"VIX","Selic_rate",0.00477836664828361
4,"VIX","d_ToT",0.00301312432100259
4,"VIX","FCI_ENDO_AVG",0.0108654283346551
4,"VIX","Cred_Real_Total",0.00041405535242602
4,"VIX","IMAEP_yoy",0.00698503820384825
4,"VIX","IPC_yoy",0.00245277615710264
5,"VIX","VIX",0.920348457375945
5,"VIX","SP500",0.0346711728789702
5,"VIX","DXY",0.00579400643540193
5,"VIX","US_10Y",0.0017945971806958
5,"VIX","FFER",0.000288222249415487
5,"VIX","Selic_rate",0.00549759739935596
5,"VIX","d_ToT",0.00683400019087862
5,"VIX","FCI_ENDO_AVG",0.0102146284613153
5,"VIX","Cred_Real_Total",0.000404797709560852
5,"VIX","IMAEP_yoy",0.00932426968680973
5,"VIX","IPC_yoy",0.00482825043165108
6,"VIX","VIX",0.906065279650241
6,"VIX","SP500",0.0351693404017496
6,"VIX","DXY",0.0087559266773892
6,"VIX","US_10Y",0.00365425022620943
6,"VIX","FFER",0.000875998291272345
6,"VIX","Selic_rate",0.00607262913623674
6,"VIX","d_ToT",0.0115808997707048
6,"VIX","FCI_ENDO_AVG",0.00975626284077073
6,"VIX","Cred_Real_Total",0.000386460720840256
6,"VIX","IMAEP_yoy",0.0104932969555634
6,"VIX","IPC_yoy",0.00718965532902218
7,"VIX","VIX",0.891436944271494
7,"VIX","SP500",0.0351990992086399
7,"VIX","DXY",0.0120359814656879
7,"VIX","US_10Y",0.0059579120386195
7,"VIX","FFER",0.00192730205472584
7,"VIX","Selic_rate",0.00658687153889249
7,"VIX","d_ToT",0.0168478876318694
7,"VIX","FCI_ENDO_AVG",0.00959548929193624
7,"VIX","Cred_Real_Total",0.000379291658336921
7,"VIX","IMAEP_yoy",0.0108616353195057
7,"VIX","IPC_yoy",0.0091715855202921
8,"VIX","VIX",0.8769429284313
8,"VIX","SP500",0.0349658221884899
8,"VIX","DXY",0.0153621205007639
8,"VIX","US_10Y",0.00837815277483239
8,"VIX","FFER",0.0033555844428968
8,"VIX","Selic_rate",0.00708372979184279
8,"VIX","d_ToT",0.0223358243616014
8,"VIX","FCI_ENDO_AVG",0.0097297101244852
8,"VIX","Cred_Real_Total",0.000395609342756973
8,"VIX","IMAEP_yoy",0.0108189297534456
8,"VIX","IPC_yoy",0.0106315882875848
9,"VIX","VIX",0.863052649547374
9,"VIX","SP500",0.0346030935016561
9,"VIX","DXY",0.0185318805965948
9,"VIX","US_10Y",0.0107038002588692
9,"VIX","FFER",0.0050004842080428
9,"VIX","Selic_rate",0.00759679729679244
9,"VIX","d_ToT",0.0277699770850233
9,"VIX","FCI_ENDO_AVG",0.0101134714582862
9,"VIX","Cred_Real_Total",0.000439066006388954
9,"VIX","IMAEP_yoy",0.0106233782453852
9,"VIX","IPC_yoy",0.0115654017955866
10,"VIX","VIX",0.850139132467598
10,"VIX","SP500",0.0341959523263071
10,"VIX","DXY",0.0214176673221393
10,"VIX","US_10Y",0.01281112115466
10,"VIX","FFER",0.00668414327262483
10,"VIX","Selic_rate",0.00815113201762072
