"horizon","method","coef","se","p_value","ci_lower","ci_upper","first_stage_F","wu_hausman_p","AR_F","AR_p","AR_CI_lower","AR_CI_upper","n_obs"
1,"2SLS_DXY",-8.69230826917417,8.84706953446515,0.326618753201037,-23.244442680831,5.8598261424827,7.6507870569427,0.240406914654402,1.74662184482766,0.187279621761409,-28,2,323
1,"OLS",-1.04616253118769,0.8673970414785,0.228703832009523,-2.47290370087057,0.3805786384952,NA,NA,NA,NA,NA,NA,323
2,"2SLS_DXY",-19.4244279912865,13.8172887789919,0.160789696371097,-42.1518455540472,3.30298957147431,7.70155943559177,0.0289043673895602,5.39512748215135,0.0208443787008786,-53,-6,322
2,"OLS",-1.27451760353508,1.00877055665573,0.207387831410003,-2.93379751241211,0.384762305341942,NA,NA,NA,NA,NA,NA,322
3,"2SLS_DXY",-33.1657144050936,19.1862664413352,0.0848829882044987,-64.7243143487811,-1.60711446140613,7.88433837804532,0.00179032223595519,11.3765773216145,0.000839081728407923,-84,-16,321
3,"OLS",-2.59173568793131,1.31204304399441,0.0491246169537261,-4.74985444756197,-0.433616928300654,NA,NA,NA,NA,NA,NA,321
4,"2SLS_DXY",-51.3249360943498,24.7657642261977,0.0390639094115422,-92.0609932060361,-10.5888789826634,8.04059612644928,1.6101749667941e-05,22.2160762272299,3.70478298724838e-06,-123,-29,320
4,"OLS",-4.3770027763467,1.45708443888064,0.00288514540931758,-6.77369340041407,-1.98031215227932,NA,NA,NA,NA,NA,NA,320
5,"2SLS_DXY",-74.7375171583698,32.7128592038765,0.0230197827603316,-128.545382267819,-20.9296520489206,7.69077609227848,1.37721219952043e-08,37.7569516559831,2.5002603226437e-09,-184,-44,319
5,"OLS",-4.81837281874405,1.70910899386178,0.00512883248584278,-7.62960694615297,-2.00713869133513,NA,NA,NA,NA,NA,NA,319
6,"2SLS_DXY",-92.2696815332712,37.5335205187425,0.0145160866170556,-154.006828890782,-30.5325341757601,8.08961293820576,2.1489944354004e-11,52.0611423387799,4.31293145389112e-12,-220,-56,318
6,"OLS",-4.46985658700904,1.85019538006887,0.0162863902594505,-7.51315716848417,-1.4265560055339,NA,NA,NA,NA,NA,NA,318
7,"2SLS_DXY",-113.832040833928,43.5712692222017,0.00943507388804757,-185.500401044945,-42.1636806229103,8.21334569375386,4.5187638244237e-15,72.6786755249748,7.33955376431184e-16,-269,-70,317
7,"OLS",-4.92687287091227,1.84154925674822,0.00786980383435761,-7.95595184508436,-1.89779389674017,NA,NA,NA,NA,NA,NA,317
8,"2SLS_DXY",-133.912111604753,48.3997360026247,0.00601014684161135,-213.522592912164,-54.3016302973417,8.23129966186349,2.9214524905906e-19,97.811997979892,3.6628841251973e-20,-300,-83,316
8,"OLS",-5.40149613441072,1.94305053394209,0.00577867203049131,-8.59752985251537,-2.20546241630608,NA,NA,NA,NA,NA,NA,316
9,"2SLS_DXY",-152.02775004371,51.8385960468414,0.00361810861204135,-237.294652767429,-66.7608473199908,8.37118632523682,1.05726540157917e-23,125.242573134338,1.53382043305337e-24,-300,-95,315
9,"OLS",-5.09331684347462,1.88178639175363,0.00718480777552829,-8.18858001509851,-1.99805367185074,NA,NA,NA,NA,NA,NA,315
10,"2SLS_DXY",-167.813170131228,56.0031899983901,0.00295908464569035,-259.930220320932,-75.6961199415233,8.31385512052889,4.0143863329536e-27,148.795584522868,4.57926518931614e-28,-300,-105,314
10,"OLS",-5.61837447048459,2.03343468621645,0.00608110919223831,-8.96307688927665,-2.27367205169253,NA,NA,NA,NA,NA,NA,314
11,"2SLS_DXY",-180.826527535919,60.4207537827669,0.00299495488469382,-280.209823538644,-81.4432315331926,8.32554112023079,2.22976394035748e-29,164.56936844577,2.59855111294357e-30,-300,-113,313
11,"OLS",-5.74700841608188,2.18085362215196,0.00884691946735445,-9.33419340632879,-2.15982342583498,NA,NA,NA,NA,NA,NA,313
12,"2SLS_DXY",-192.496568649186,63.1918026212481,0.00252461107211288,-296.437834384347,-88.5553029140245,8.17474766756009,1.6970392570583e-31,178.236116052456,3.45294471446252e-32,-300,-120,312
12,"OLS",-4.89829048254619,2.28278671345248,0.0327005600338725,-8.65314048772513,-1.14344047736725,NA,NA,NA,NA,NA,NA,312
13,"2SLS_DXY",-200.585850512454,66.2480640574779,0.00267952046147052,-309.55421895591,-91.617482068998,8.11297477385539,3.01921990517106e-33,191.844955105762,5.35186280940875e-34,-300,-125,311
13,"OLS",-5.19656245410141,2.33421644601214,0.0267471577092278,-9.03600684141425,-1.35711806678857,NA,NA,NA,NA,NA,NA,311
14,"2SLS_DXY",-202.556958072477,65.6866880614209,0.00223740884773463,-310.601945172735,-94.5119709722186,8.14493258286356,1.54631837788705e-33,195.014454414739,2.15514558896889e-34,-300,-127,310
14,"OLS",-5.64970993919971,2.47306222236635,0.0230498430404604,-9.71753530533567,-1.58188457306376,NA,NA,NA,NA,NA,NA,310
15,"2SLS_DXY",-204.337600560215,65.817372265632,0.0020903018975829,-312.597544047755,-96.0776570726751,8.09587535048206,1.02406066166957e-33,195.937123358949,1.72334423786684e-34,-300,-127,309
15,"OLS",-5.35952058713443,2.57346492751486,0.0381482197647949,-9.59249370698965,-1.1265474672792,NA,NA,NA,NA,NA,NA,309
16,"2SLS_DXY",-204.065588995881,66.2800698395068,0.00227431517647235,-313.08660226599,-95.0445757257713,7.89589809943393,1.54548840570058e-32,185.954100092686,3.81685003328988e-33,-300,-126,308
16,"OLS",-4.74197521295323,2.48315167127527,0.0571501127032042,-8.82639624572096,-0.657554180185492,NA,NA,NA,NA,NA,NA,308
17,"2SLS_DXY",-202.894380563085,67.7965915753143,0.00300068723881199,-314.409850110688,-91.3789110154813,7.43885838354463,6.45118463667229e-30,166.666371620168,1.71446328522688e-30,-300,-124,307
17,"OLS",-4.60664485183418,2.24680036119051,0.0412234548198812,-8.30230257497428,-0.910987128694087,NA,NA,NA,NA,NA,NA,307
18,"2SLS_DXY",-196.140965391889,66.9002719894646,0.00363612014529375,-306.1821204178,-86.0998103659781,7.4632718599891,1.77865149342334e-28,156.391019435221,4.998865913909e-29,-300,-120,306
