"","FCI_COMP_AVG","FCI_ENDO_AVG","FCI_EXO_AVG","FCI_RATES_AVG","FCI_BANKING_AVG","FCI_EXTERNAL_AVG","FCI_exTPM_AVG","FCI_PURIFIED_AVG","FCI_exCredit_AVG","FCI_ENDO_exCredit_AVG","FCI_exNPL_AVG","FCI_ENDO_exCredit_exTCN_AVG"
"FCI_COMP_AVG",1,0.960208604436804,0.450953310229393,0.45091632565258,0.810694749275119,0.624238295891732,0.97226604007302,0.377734415129937,0.974658348732344,0.944710298672311,0.938860580247757,0.907239232519321
"FCI_ENDO_AVG",0.960208604436804,1,0.200302726961614,0.54628929270305,0.854790734427121,0.441413294573795,0.924165383813422,0.324708260633643,0.915173140540398,0.979411887292993,0.876753952285525,0.958285139138288
"FCI_EXO_AVG",0.450953310229393,0.200302726961614,1,-0.137146632542194,0.146941993444795,0.804728615340146,0.47771417157517,0.296858573023098,0.496698707997746,0.205516389773794,0.520935243670715,0.136962864306139
"FCI_RATES_AVG",0.45091632565258,0.54628929270305,-0.137146632542194,1,0.195384028285578,-0.0580479087063388,0.264571417958654,-0.481198678640935,0.501311035197906,0.612882125021535,0.494931305599745,0.665480549189635
"FCI_BANKING_AVG",0.810694749275119,0.854790734427121,0.146941993444795,0.195384028285578,1,0.302595538061129,0.872190468378313,0.585583417764301,0.670476458829782,0.740827433727515,0.73820957933264,0.738901835006738
"FCI_EXTERNAL_AVG",0.624238295891732,0.441413294573795,0.804728615340146,-0.0580479087063388,0.302595538061129,1,0.646112211735726,0.395609128133324,0.66009090080275,0.457363862879781,0.64207642812482,0.296356395431703
"FCI_exTPM_AVG",0.97226604007302,0.924165383813422,0.47771417157517,0.264571417958654,0.872190468378313,0.646112211735726,1,0.550547996094586,0.913482722335733,0.877543777437405,0.887069958580373,0.831113961791355
"FCI_PURIFIED_AVG",0.377734415129937,0.324708260633643,0.296858573023098,-0.481198678640935,0.585583417764301,0.395609128133324,0.550547996094586,1,0.269399042406537,0.22727806308559,0.29524666752947,0.17500982572296
"FCI_exCredit_AVG",0.974658348732344,0.915173140540398,0.496698707997746,0.501311035197906,0.670476458829782,0.66009090080275,0.913482722335733,0.269399042406537,1,0.942798005491812,0.921606711348614,0.902509263342303
"FCI_ENDO_exCredit_AVG",0.944710298672311,0.979411887292993,0.205516389773794,0.612882125021535,0.740827433727515,0.457363862879781,0.877543777437405,0.22727806308559,0.942798005491812,1,0.858280198883962,0.976363960445795
"FCI_exNPL_AVG",0.938860580247757,0.876753952285525,0.520935243670715,0.494931305599745,0.73820957933264,0.64207642812482,0.887069958580373,0.29524666752947,0.921606711348614,0.858280198883962,1,0.820377108054368
"FCI_ENDO_exCredit_exTCN_AVG",0.907239232519321,0.958285139138288,0.136962864306139,0.665480549189635,0.738901835006738,0.296356395431703,0.831113961791355,0.17500982572296,0.902509263342303,0.976363960445795,0.820377108054368,1
