"FCI","Credit","Lag","Correlation","P_Value"
"COMP","deflactados",0,-0.352822452423785,1.22425357944046e-11
"COMP","deflactados",6,-0.483436337423455,1.96898892823931e-21
"COMP","deflactados",12,-0.470219545763151,6.91587777354114e-20
"COMP","MN",0,-0.576650749338669,3.13212148851797e-32
"COMP","MN",6,-0.686272840045975,6.15975199933073e-49
"COMP","MN",12,-0.65109037955791,6.68581605165277e-42
"COMP","USD",0,-0.0468991676510775,0.383085702889532
"COMP","USD",6,-0.245268946568023,4.44302267146491e-06
"COMP","USD",12,-0.302511036505264,1.53542480835581e-08
"ENDO","deflactados",0,-0.395428642325687,1.79216556311103e-14
"ENDO","deflactados",6,-0.509266141575044,5.74641874860836e-24
"ENDO","deflactados",12,-0.488388949327763,1.52599695598849e-21
"ENDO","MN",0,-0.627109705939502,1.956497780097e-39
"ENDO","MN",6,-0.723678710917907,1.03086310505181e-56
"ENDO","MN",12,-0.669721875675639,4.43375135924632e-45
"ENDO","USD",0,-0.0733951378371229,0.171912138865446
"ENDO","USD",6,-0.252211015599725,2.315871228526e-06
"ENDO","USD",12,-0.294651084533307,3.7216689876119e-08
"EXO","deflactados",0,0.0309831851442947,0.564586381913813
"EXO","deflactados",6,-0.0946635311188687,0.0804373801443005
"EXO","deflactados",12,-0.155249284085456,0.00433801082805079
"EXO","MN",0,-0.0629584528060286,0.241433418788454
"EXO","MN",6,-0.160292338137175,0.00295176470488954
"EXO","MN",12,-0.211606712970178,9.27893622132338e-05
"EXO","USD",0,0.111563051309621,0.0375079496434592
"EXO","USD",6,-0.0487907586884499,0.368369510559039
"EXO","USD",12,-0.151096120293608,0.00551564290020261
"RATES","deflactados",0,-0.0867056124783302,0.106376784357093
"RATES","deflactados",6,-0.228473163833854,1.98739957560593e-05
"RATES","deflactados",12,-0.244863837274344,5.59835318441355e-06
"RATES","MN",0,-0.287487768970041,4.77753654626307e-08
"RATES","MN",6,-0.428723706854806,1.00761138866193e-16
"RATES","MN",12,-0.405172217406323,1.04694932415027e-14
"RATES","USD",0,0.338756547781621,8.60897189256596e-11
"RATES","USD",6,0.104688262912606,0.0530817388764366
"RATES","USD",12,-0.0954436952987926,0.080640423652994
"BANKING","deflactados",0,-0.557122063774644,9.16995915405349e-30
"BANKING","deflactados",6,-0.491594960086066,3.28627778467332e-22
"BANKING","deflactados",12,-0.350214129107393,3.94896068296348e-11
"BANKING","MN",0,-0.646731359664734,1.31087800608371e-42
"BANKING","MN",6,-0.607696434391467,6.61490716749807e-36
"BANKING","MN",12,-0.451462093225578,2.81365421962605e-18
"BANKING","USD",0,-0.411325512626719,1.21868627751872e-15
"BANKING","USD",6,-0.382511430828688,2.32658656933626e-13
"BANKING","USD",12,-0.223068351448224,3.69488215188531e-05
"EXTERNAL","deflactados",0,-0.262873289241594,6.56049470640444e-07
"EXTERNAL","deflactados",6,-0.454184647883106,8.26025922806913e-19
"EXTERNAL","deflactados",12,-0.559267756547651,4.83369278493321e-29
"EXTERNAL","MN",0,-0.416503784321325,4.91998209057777e-16
"EXTERNAL","MN",6,-0.512022524155704,2.99195370593592e-24
"EXTERNAL","MN",12,-0.566967365975605,5.72075311337086e-30
"EXTERNAL","USD",0,-0.0479748713923044,0.372257067327686
"EXTERNAL","USD",6,-0.287082076790035,6.52398216799585e-08
"EXTERNAL","USD",12,-0.448812846569514,4.66330712758454e-18
"exCredit","deflactados",0,-0.219395189515995,3.65221760977704e-05
"exCredit","deflactados",6,-0.410850984312584,2.32393729539509e-15
"exCredit","deflactados",12,-0.445251603800696,9.13389030549513e-18
"exCredit","MN",0,-0.470425035434983,1.45338095124171e-20
"exCredit","MN",6,-0.636473562342344,3.06129052442639e-40
"exCredit","MN",12,-0.659699819645165,2.42466645825634e-43
"exCredit","USD",0,0.103594478195472,0.0535109315128047
"exCredit","USD",6,-0.149581455439628,0.00557594737009034
"exCredit","USD",12,-0.267345055684777,6.59031242985582e-07
