"FCI","Target","Lags","F_Stat","P_Value","N_Obs","Significant"
"COMP","IMAEP",3,1.36091318380102,0.254607411292891,348,FALSE
"COMP","IMAEP",6,0.935639622157265,0.469429463724174,348,FALSE
"COMP","IMAEP",12,0.871757637218863,0.57625295969102,348,FALSE
"COMP","IPC",3,0.16541722235914,0.91963328851197,348,FALSE
"COMP","IPC",6,0.557573638053848,0.76397530619701,348,FALSE
"COMP","IPC",12,1.01459269681526,0.435016852234959,348,FALSE
"COMP","Creditos_deflactados",3,4.13394124133161,0.00673584345916864,348,TRUE
"COMP","Creditos_deflactados",6,2.61756891747736,0.0171316887507714,348,TRUE
"COMP","Creditos_deflactados",12,1.82747590307882,0.0431559097721563,348,TRUE
"COMP","Creditos_MN",3,7.27249249883983,9.69017299144187e-05,348,TRUE
"COMP","Creditos_MN",6,4.07662020149692,0.000584117412725242,348,TRUE
"COMP","Creditos_MN",12,2.41827232092076,0.00519703149777131,348,TRUE
"COMP","Creditos_USD",3,1.61737566241284,0.185089741936453,348,FALSE
"COMP","Creditos_USD",6,1.41158068028596,0.209384446119174,348,FALSE
"COMP","Creditos_USD",12,1.15298668803656,0.316761915368854,348,FALSE
"ENDO","IMAEP",3,0.846341978018084,0.46930809707233,348,FALSE
"ENDO","IMAEP",6,0.861514899649926,0.523464736334456,348,FALSE
"ENDO","IMAEP",12,0.805021167805461,0.645301727128526,348,FALSE
"ENDO","IPC",3,0.348207490768861,0.790473383513387,348,FALSE
"ENDO","IPC",6,0.566748069084055,0.756755675176912,348,FALSE
"ENDO","IPC",12,0.679021258743421,0.771556890218996,348,FALSE
"ENDO","Creditos_deflactados",3,3.22649185866089,0.0227270960762401,348,TRUE
"ENDO","Creditos_deflactados",6,2.30977004483544,0.0337145187397864,348,TRUE
"ENDO","Creditos_deflactados",12,1.25331651930361,0.245741654970075,348,FALSE
"ENDO","Creditos_MN",3,6.26100220235008,0.000380236016114393,348,TRUE
"ENDO","Creditos_MN",6,3.14314042595531,0.00520309031938408,348,TRUE
"ENDO","Creditos_MN",12,2.10833184198424,0.0162555117553779,348,TRUE
"ENDO","Creditos_USD",3,1.50455647571417,0.213146884736598,348,FALSE
"ENDO","Creditos_USD",6,1.47838727411131,0.184795793628658,348,FALSE
"ENDO","Creditos_USD",12,0.987348082087869,0.460752637620236,348,FALSE
"EXO","IMAEP",3,4.1621463167204,0.00648487354197036,348,TRUE
"EXO","IMAEP",6,2.8148184049223,0.011003928917595,348,TRUE
"EXO","IMAEP",12,1.88399235078561,0.0356424105113639,348,TRUE
"EXO","IPC",3,0.0942714765226715,0.963172386579458,348,FALSE
"EXO","IPC",6,0.173244653881647,0.983884186201436,348,FALSE
"EXO","IPC",12,0.236700842752033,0.996377522264361,348,FALSE
"EXO","Creditos_deflactados",3,1.06574896971788,0.363694217061947,348,FALSE
"EXO","Creditos_deflactados",6,0.762404370470633,0.599961238245731,348,FALSE
"EXO","Creditos_deflactados",12,1.55117557082303,0.105007026247551,348,FALSE
"EXO","Creditos_MN",3,0.783772868328219,0.503645272417527,348,FALSE
"EXO","Creditos_MN",6,2.17656361856573,0.0449105778236641,348,TRUE
"EXO","Creditos_MN",12,2.14031620781345,0.0144903734078576,348,TRUE
"EXO","Creditos_USD",3,0.844336766887647,0.470378940953714,348,FALSE
"EXO","Creditos_USD",6,0.814752410352745,0.559040166194043,348,FALSE
"EXO","Creditos_USD",12,1.92793731653839,0.0306575595684901,348,TRUE
"RATES","IMAEP",3,0.532555696780609,0.660238813767179,348,FALSE
"RATES","IMAEP",6,0.931580578343013,0.47230571001543,348,FALSE
"RATES","IMAEP",12,0.756942915109471,0.694687256950884,348,FALSE
"RATES","IPC",3,1.58000962229225,0.193974175686741,348,FALSE
"RATES","IPC",6,1.24533454814329,0.282637832215016,348,FALSE
"RATES","IPC",12,0.791798095830442,0.658961433735008,348,FALSE
"RATES","Creditos_deflactados",3,2.43632356666589,0.0645793473014915,348,FALSE
"RATES","Creditos_deflactados",6,0.959012647083206,0.453065724668071,348,FALSE
"RATES","Creditos_deflactados",12,0.917066293279741,0.530008381560179,348,FALSE
"RATES","Creditos_MN",3,5.21447011714483,0.00156653430599439,348,TRUE
"RATES","Creditos_MN",6,2.26808943115582,0.036895852062675,348,TRUE
"RATES","Creditos_MN",12,1.80605106997128,0.0463663402114,348,TRUE
"RATES","Creditos_USD",3,0.681111017802154,0.564107192779884,348,FALSE
"RATES","Creditos_USD",6,0.729476952219608,0.626154282286964,348,FALSE
"RATES","Creditos_USD",12,0.544539224782112,0.884663843110062,348,FALSE
"BANKING","IMAEP",3,0.267416239381241,0.848873326569838,348,FALSE
"BANKING","IMAEP",6,0.557699458219065,0.763876537808133,348,FALSE
"BANKING","IMAEP",12,0.811717163302879,0.638371957752261,348,FALSE
"BANKING","IPC",3,2.59181547946934,0.0526669744226819,348,FALSE
"BANKING","IPC",6,2.03309298858425,0.0608561236035089,348,FALSE
"BANKING","IPC",12,1.7547921345425,0.0549527037341729,348,FALSE
"BANKING","Creditos_deflactados",3,0.523215964991818,0.666592517305877,348,FALSE
"BANKING","Creditos_deflactados",6,1.34202917049326,0.237855656788848,348,FALSE
"BANKING","Creditos_deflactados",12,2.80593775879992,0.00116713021635266,348,TRUE
"BANKING","Creditos_MN",3,0.818212873134168,0.484508781138124,348,FALSE
"BANKING","Creditos_MN",6,0.657744641310145,0.683880962905846,348,FALSE
"BANKING","Creditos_MN",12,2.65703694946024,0.00208664147581516,348,TRUE
"BANKING","Creditos_USD",3,1.0132203180821,0.386940132199291,348,FALSE
"BANKING","Creditos_USD",6,1.88152444011064,0.0833522126813581,348,FALSE
"BANKING","Creditos_USD",12,2.01654804275575,0.0225177775035463,348,TRUE
"EXTERNAL","IMAEP",3,5.90327037034954,0.000616941661497412,348,TRUE
"EXTERNAL","IMAEP",6,3.68390947844027,0.00147773721951191,348,TRUE
"EXTERNAL","IMAEP",12,3.0265354473567,0.000486718657628835,348,TRUE
"EXTERNAL","IPC",3,1.46183619186209,0.224771884674505,348,FALSE
"EXTERNAL","IPC",6,0.757446382043078,0.603886164837876,348,FALSE
"EXTERNAL","IPC",12,0.55954549003609,0.87372605776119,348,FALSE
"EXTERNAL","Creditos_deflactados",3,3.35497309003686,0.0191479136529427,348,TRUE
"EXTERNAL","Creditos_deflactados",6,2.95022351505348,0.00809326589364175,348,TRUE
"EXTERNAL","Creditos_deflactados",12,3.40989754080607,0.000103204684366793,348,TRUE
"EXTERNAL","Creditos_MN",3,2.39095353003457,0.0685254542621865,348,FALSE
"EXTERNAL","Creditos_MN",6,3.9067195412022,0.000873785171945648,348,TRUE
"EXTERNAL","Creditos_MN",12,2.47624267219435,0.00417425290671122,348,TRUE
"EXTERNAL","Creditos_USD",3,1.92112634615937,0.125880434697575,348,FALSE
"EXTERNAL","Creditos_USD",6,2.20087326220624,0.0426343526708566,348,TRUE
"EXTERNAL","Creditos_USD",12,4.37017952245129,1.90780307051605e-06,348,TRUE
