"horizon","coef_tpm","se_tpm","p_tpm","coef_fci","se_fci","p_fci","coef_interact","se_interact","p_interact","ci_interact_lo","ci_interact_hi","n_obs","r_squared","target_var","fci_type","tpm_change"
1,-0.0520548153915126,0.0425996973772737,0.222577016392993,-2.00147959595951,1.2913081327716,0.122086230097596,-0.0609878175793641,0.0478277605814428,0.203130098997533,-0.139657483040717,0.0176818478819887,345,0.282128548450844,"IMAEP_yoy","FCI_COMP","YoY"
2,-0.0956927568200883,0.0503858108231176,0.0583918549033634,-2.49488708272384,1.40042409079504,0.0757275970395371,-0.0395389206029804,0.0572113814860669,0.489976991456006,-0.133643268943242,0.0545654277372811,344,0.203567484158861,"IMAEP_yoy","FCI_COMP","YoY"
3,-0.131852254101318,0.0574518185079669,0.0223486661312387,-1.68470819389568,1.3447922022303,0.211162526185904,-0.0160141105057097,0.0690772569321255,0.816811967116869,-0.129636087110375,0.0976078660989557,343,0.148531493429599,"IMAEP_yoy","FCI_COMP","YoY"
4,-0.148484529974756,0.0626851775741428,0.0184159283771195,-0.783612450078614,1.42378376112093,0.582430206571679,-0.00854974053260778,0.08071320711637,0.915703350770016,-0.141311152000854,0.124211670935639,342,0.118187616478188,"IMAEP_yoy","FCI_COMP","YoY"
5,-0.124333376297634,0.0651750218997698,0.0572894186529688,-1.51009032179329,1.43745322654044,0.294233177705425,-0.015607995491447,0.085538713453858,0.855326921060215,-0.156306658560788,0.125090667577894,341,0.102493036951576,"IMAEP_yoy","FCI_COMP","YoY"
6,-0.117066852936427,0.0687753822196772,0.0896582420391402,-1.11001615801192,1.39230539830306,0.425873656975877,-0.0214266862561155,0.086565510623877,0.804658439091447,-0.163814280374706,0.120960907862475,340,0.0722152762963289,"IMAEP_yoy","FCI_COMP","YoY"
7,-0.132140341467518,0.0751670407333004,0.0796764906585942,-0.655442622089324,1.49970186390427,0.662360222347791,-0.030881681824292,0.0911179272358165,0.73488430677805,-0.180757334918425,0.118993971269841,339,0.0553794919462013,"IMAEP_yoy","FCI_COMP","YoY"
8,-0.153053465351892,0.0819439291582353,0.0626758488356693,0.0473460822635744,1.29696492040336,0.970901465195001,-0.0149061780149211,0.0956274400196944,0.876224504928083,-0.1721993195674,0.142386963537558,338,0.043325536030154,"IMAEP_yoy","FCI_COMP","YoY"
9,-0.157144669242646,0.085864428441594,0.0681295775380704,-0.891567103368715,1.3519341873676,0.510050599317283,-0.00666545117904179,0.100472711057452,0.947146585625323,-0.171928354371538,0.158597452013455,337,0.0709211730329557,"IMAEP_yoy","FCI_COMP","YoY"
10,-0.164688235214064,0.0869141510033235,0.0589904382354933,-0.379759399141279,1.18272547772513,0.748347292539881,0.00075377037852798,0.096464260335397,0.993770140588577,-0.157915818105341,0.159423358862397,336,0.116025450355186,"IMAEP_yoy","FCI_COMP","YoY"
