"horizon","coef_fci_low","se_fci_low","p_fci_low","ci_fci_low_lo","ci_fci_low_hi","coef_fci_high","se_fci_high","ci_fci_high_lo","ci_fci_high_hi","coef_interact","se_interact","p_interact","n_obs","target_var","stance_type","stance_label"
1,-1.90531907569153,1.29255032494432,0.141391521404701,-4.03137516569351,0.220737014310443,-2.18089919974824,1.31603925918305,-4.34559114842602,-0.016207251070472,-0.275580124056713,0.451423612578802,0.541961417245594,345,"IMAEP_yoy","TPM_std","Level (Standardized)"
2,-2.43365376756934,1.39716261022998,0.0824463233019292,-4.73178175444711,-0.135525780691563,-2.51353925748311,1.55633072419732,-5.07347549391509,0.046396978948863,-0.0798854899137763,0.499472079685302,0.873024276414656,344,"IMAEP_yoy","TPM_std","Level (Standardized)"
3,-1.63703203403962,1.32688986393,0.218163526414368,-3.81957163929002,0.54550757121079,-1.54106850884537,1.54005367929303,-4.07423138893047,0.992094371239737,0.0959635251942491,0.536594348322282,0.858172597307388,343,"IMAEP_yoy","TPM_std","Level (Standardized)"
4,-0.781110371231929,1.29873818566761,0.547955127079886,-2.91734458638767,1.35512384392381,-0.663628498761299,1.41898407813186,-2.99764960626287,1.67039260874027,0.11748187247063,0.5951021018112,0.84362279310238,342,"IMAEP_yoy","TPM_std","Level (Standardized)"
5,-1.4626578910722,1.23934635745344,0.23876651191858,-3.5012012421786,0.575885460034191,-1.5265218930626,1.42153513203045,-3.86473911082182,0.811695324696613,-0.0638640019904018,0.635105691943741,0.919962866723994,341,"IMAEP_yoy","TPM_std","Level (Standardized)"
6,-0.998080468740335,1.25206669125198,0.425934008014608,-3.05754690703129,1.06138596955062,-0.93145003815162,1.508253645221,-3.41230651685616,1.54940644055292,0.0666304305887148,0.72994823414487,0.927324170691403,340,"IMAEP_yoy","TPM_std","Level (Standardized)"
7,-0.547641768421472,1.30073938141863,0.674010386118647,-2.68716765766653,1.59188412082358,-0.231969577755932,1.57489547182314,-2.82244210665368,2.35850295114181,0.315672190665539,0.838128347623548,0.706682172269549,339,"IMAEP_yoy","TPM_std","Level (Standardized)"
8,0.0794215334581624,1.08863070496588,0.941885640728976,-1.7112166300157,1.87005969693202,0.431227786419176,1.51884709915933,-2.06705337341776,2.92950894625611,0.351806252961014,0.936113846514026,0.707294677514114,338,"IMAEP_yoy","TPM_std","Level (Standardized)"
9,-0.81429580589085,1.35814172401949,0.549206836840593,-3.04824014655843,1.41964853477673,-0.384873475357543,1.94112025800524,-3.57773217208644,2.80798522137135,0.429422330533306,0.999334257347925,0.66768820897444,337,"IMAEP_yoy","TPM_std","Level (Standardized)"
10,-0.215768438313005,1.23170037705328,0.861046491749164,-2.24173527082659,1.81019839420058,0.381134712054259,1.69504723657265,-2.40696988287633,3.16923930698485,0.596903150367264,0.98768306537271,0.546029589025555,336,"IMAEP_yoy","TPM_std","Level (Standardized)"
11,-0.286755913898311,1.21494047439063,0.813560845572535,-2.28515515972989,1.71164333193327,0.435997230867329,1.52430501776165,-2.07126140617825,2.94325586791291,0.72275314476564,0.990982651341147,0.466320446490878,335,"IMAEP_yoy","TPM_std","Level (Standardized)"
12,1.28723583629573,1.33599695408635,0.336007588094767,-0.910283599229322,3.48475527182078,2.25005083819487,1.78649171516413,-0.688466539011609,5.18856821540136,0.962815001899145,1.02594555792289,0.348697639068305,334,"IMAEP_yoy","TPM_std","Level (Standardized)"
13,2.38800315761052,1.68301540798842,0.156888267405712,-0.380310840434441,5.15631715565548,3.28412164427532,2.09493941794882,-0.16174705558141,6.72999034413204,0.896118486664795,1.07619228488685,0.405637594996463,333,"IMAEP_yoy","TPM_std","Level (Standardized)"
14,3.57605582862966,1.74970802017573,0.0417789971282931,0.69804224553754,6.45406941172178,4.35752477222345,2.22539093578077,0.697082420119518,8.01796712432739,0.781468943593792,1.06793175130067,0.464842834360866,332,"IMAEP_yoy","TPM_std","Level (Standardized)"
15,4.72136563579581,1.69928392832344,0.00578052286133405,1.92629230307266,7.51643896851896,4.9619660715062,2.21117975863488,1.32489902567395,8.59903311733846,0.240600435710394,0.982345526201146,0.806669979353553,331,"IMAEP_yoy","TPM_std","Level (Standardized)"
16,2.72900716555377,1.54726704612316,0.0787177956556002,0.183979352875592,5.27403497823194,2.44359590529675,1.9339514850282,-0.737471209200063,5.62466301979356,-0.285411260257015,0.87915669724898,0.745662124584402,330,"IMAEP_yoy","TPM_std","Level (Standardized)"
17,1.10365545256737,1.32679801651682,0.406127705502792,-1.07873307713234,3.28604398226708,0.719819124483578,1.53724986338642,-1.80873188883823,3.24837013780538,-0.383836328083792,0.837228435581908,0.646930764873394,329,"IMAEP_yoy","TPM_std","Level (Standardized)"
