"variable","pct_positive","pct_expected_sign","n_sign_changes","expected","expected_str","stability"
"Crecimiento_creditos",85.2307692307692,14.7692307692308,6,-1,"-","Inverted"
"Spread_activas_pasivas",20.9230769230769,20.9230769230769,5,1,"+","Inverted"
"FFER",21.8461538461538,21.8461538461538,5,1,"+","Inverted"
"TPM",21.8461538461538,21.8461538461538,5,1,"+","Inverted"
"Morosidad",33.8461538461538,33.8461538461538,3,1,"+","Inverted"
"Rentabilidad",63.3846153846154,36.6153846153846,7,-1,"-","Inverted"
"VIX",40.3076923076923,40.3076923076923,5,1,"+","Inverted"
"Ratio_Cred_Depo",57.8461538461538,42.1538461538462,2,-1,"-","Inverted"
"Liquidez",49.8461538461538,50.1538461538461,4,-1,"-","Unstable"
"Spread_mercado_TPM",65.5384615384615,65.5384615384615,6,1,"+","Unstable"
"Commodities",22.4615384615385,77.5384615384615,5,-1,"-","Moderately stable"
"TCN",99.6923076923077,99.6923076923077,2,1,"+","Highly stable"
