"variable","mean_loading","sd_loading","min_loading","max_loading","range_loading","benchmark","deviation_from_benchmark","sign_changes","pct_positive","sign_consistent","cv"
"Morosidad",0.185393793229528,0.222173430213808,-0.340656560905732,0.418916337207592,0.759572898113325,0.445714926657254,0.260321133427727,14,72.7574750830565,TRUE,119.838656054006
"Spread_activas_pasivas",0.0219794437517548,0.271517872416053,-0.435876268639692,0.45402467987672,0.889900948516412,0.440079474226254,0.418572723581314,13,57.4750830564784,TRUE,1235.32640535717
"TPM",-0.0493534239273206,0.307238197929785,-0.467580674584008,0.469335364453622,0.93691603903763,0.435325890848455,0.485393599520597,10,47.5083056478405,FALSE,622.526612099362
"Spread_mercado_TPM",0.0340152168856684,0.267477562383722,-0.446338852078538,0.447179093134296,0.893517945212834,-0.346015900789274,0.382835686967843,14,54.1528239202658,FALSE,786.346779098205
"Commodities",0.141420118204437,0.269719825588522,-0.431740431642598,0.434402533051327,0.866142964693925,0.333044372133068,0.215947628612932,9,74.4186046511628,TRUE,190.722387318766
"Crecimiento_creditos",0.175199022466088,0.201173484269216,-0.343040777372839,0.414242319686124,0.757283097058962,0.225081979471986,0.159453126831327,9,79.0697674418605,TRUE,114.825688772411
"FFER",0.000468294637272318,0.31614605990165,-0.43767222366672,0.448620431984034,0.886292655650754,0.215992745770366,0.316388460540292,9,50.4983388704319,TRUE,67510.0747988724
"TCN",0.185428400925316,0.237620865758077,-0.35929743010182,0.48039437986985,0.83969180997167,-0.191354742972217,0.396236422168415,9,76.0797342192691,FALSE,128.146963772709
"Rentabilidad",0.196657758727912,0.207527524184439,-0.314097218949332,0.397329172317924,0.711426391267256,0.14704194916319,0.191407356096957,8,79.4019933554817,TRUE,105.527249739262
"VIX",0.0322251628115692,0.227918369688748,-0.363668677943663,0.36123062042744,0.724899298371103,0.138045219875612,0.213009209547823,11,49.8338870431894,TRUE,707.268326374205
"Ratio_Cred_Depo",0.0888727798258045,0.314904063998954,-0.460166849241489,0.47695796046878,0.937124809710269,0.0938951498510747,0.29408759630353,8,58.8039867109634,TRUE,354.331286380581
"Liquidez",0.0167674833360739,0.280199119184876,-0.452342009130264,0.421247141733476,0.87358915086374,0.0639418000368761,0.262156570079129,9,52.1594684385382,TRUE,1671.08631372276
