"target","horizon","model","rel_rmse","rank"
"Credit_yoy",3,"AR_COMP",0.943277975035496,1
"Credit_yoy",3,"Factor",0.945220558154554,2
"Credit_yoy",3,"AR_ENDO",0.946645226249753,3
"Credit_yoy",6,"AR_COMP",0.954343963099714,1
"Credit_yoy",6,"Factor",0.957175670882955,2
"Credit_yoy",6,"AR_ENDO",0.963854987485577,3
"IPC_yoy",3,"Factor",0.975606380617634,1
"IPC_yoy",3,"AR_COMP",0.977743642916883,2
"Credit_yoy",12,"VAR_w",0.979694253306738,1
"Credit_yoy",12,"AR_COMP",0.979870302702387,2
"IPC_yoy",6,"AR_COMP",0.980249407592517,1
"IPC_yoy",6,"Factor",0.980324984192671,2
"IPC_yoy",3,"AR_ENDO",0.982047688036656,3
"IPC_yoy",6,"AR_EXO",0.983263518494446,3
"Credit_yoy",12,"Factor",0.983778437311711,3
"Credit_yoy",3,"AR_EXO",0.987907545525077,4
"IPC_yoy",6,"AR_ENDO",0.988062824615375,4
"Credit_yoy",12,"AR_ENDO",0.990542546003869,4
"Credit_yoy",12,"VAR_wo",0.99143926466541,5
"IPC_yoy",3,"AR_EXO",0.991441153811986,4
"IMAEP_yoy",6,"VAR_wo",0.993832875514685,1
"Credit_yoy",6,"AR_EXO",0.994421822006197,4
"IMAEP_yoy",1,"AR_EXO",0.994600415797917,1
"Credit_yoy",1,"AR_EXO",1.00252410088875,1
"IMAEP_yoy",12,"VAR_wo",1.00421652004334,1
"IMAEP_yoy",3,"VAR_wo",1.00455066790745,1
"Credit_yoy",1,"AR_ENDO",1.00530111208158,2
"Credit_yoy",6,"VAR_w",1.00708748070776,5
"IMAEP_yoy",1,"VAR_wo",1.00815518189749,2
"IPC_yoy",1,"VAR_wo",1.00992975154605,1
"Credit_yoy",12,"AR_EXO",1.01165700450644,6
"IMAEP_yoy",1,"AR_COMP",1.01240237415609,3
"IMAEP_yoy",1,"AR_ENDO",1.01422813242591,4
"IMAEP_yoy",1,"Factor",1.0149026453291,5
"Credit_yoy",1,"AR_COMP",1.01556598262414,3
"IMAEP_yoy",3,"VAR_w",1.01623322042505,2
"IPC_yoy",1,"AR_ENDO",1.02025038912233,2
"IMAEP_yoy",3,"Factor",1.02168825374503,3
"IMAEP_yoy",6,"VAR_w",1.02206450153943,2
"IMAEP_yoy",3,"AR_ENDO",1.02232671776599,4
"IPC_yoy",1,"AR_EXO",1.02238537517334,3
"IMAEP_yoy",1,"VAR_w",1.02243840939956,6
"Credit_yoy",1,"Factor",1.0236950320079,4
"IMAEP_yoy",3,"AR_COMP",1.02399121888954,5
"IMAEP_yoy",3,"AR_EXO",1.02548137231231,6
"IPC_yoy",1,"Factor",1.03165710193031,4
"Credit_yoy",3,"VAR_w",1.0335861616389,5
"IPC_yoy",1,"AR_COMP",1.03595986596611,5
"IPC_yoy",3,"VAR_wo",1.03669522155759,5
"IPC_yoy",1,"VAR_w",1.04111597490489,6
"IMAEP_yoy",12,"VAR_w",1.04488894366675,2
"IMAEP_yoy",6,"AR_EXO",1.0503239917714,3
"IMAEP_yoy",6,"Factor",1.05172791749973,4
"IMAEP_yoy",6,"AR_ENDO",1.05346653105952,5
"IMAEP_yoy",6,"AR_COMP",1.0537671346101,6
"IPC_yoy",6,"VAR_wo",1.05411898218833,5
"Credit_yoy",1,"VAR_w",1.05564505443766,5
"Credit_yoy",6,"VAR_wo",1.06501481627825,6
"Credit_yoy",1,"VAR_wo",1.07940676806602,6
"IPC_yoy",12,"VAR_wo",1.08048236091168,1
"Credit_yoy",3,"VAR_wo",1.09293790668869,6
"IPC_yoy",12,"AR_EXO",1.11732334642299,2
"IPC_yoy",12,"Factor",1.12397015741242,3
"IPC_yoy",12,"AR_COMP",1.12588567046099,4
"IPC_yoy",12,"AR_ENDO",1.12960287340019,5
"IPC_yoy",3,"VAR_w",1.15150519963531,6
"IPC_yoy",6,"VAR_w",1.27088645067732,6
"IMAEP_yoy",12,"AR_ENDO",1.30632864771332,3
"IMAEP_yoy",12,"Factor",1.3063632850701,4
"IMAEP_yoy",12,"AR_COMP",1.30824725893974,5
"IMAEP_yoy",12,"AR_EXO",1.32375865907512,6
"IPC_yoy",12,"VAR_w",1.33604679846798,6
