"horizon","quantile","coef","se","t_stat","n_obs","target","fci","p_value","significant_10","significant_05","significant_01"
1,0.05,-4.1847775099386,3.48260121249235,-1.20162408918009,345,"IMAEP_yoy","FCI",0.230345519911035,FALSE,FALSE,FALSE
1,0.1,-1.5052414297497,2.75158054068574,-0.547046109496968,345,"IMAEP_yoy","FCI",0.584705919029908,FALSE,FALSE,FALSE
1,0.25,-1.721974231092,1.31882893513259,-1.3056842970456,345,"IMAEP_yoy","FCI",0.192542707712068,FALSE,FALSE,FALSE
1,0.5,-2.39131563266216,1.19305153278774,-2.004369104723,345,"IMAEP_yoy","FCI",0.0458232035909056,TRUE,TRUE,FALSE
1,0.75,-1.5476350466781,1.31489229491743,-1.17700518336012,345,"IMAEP_yoy","FCI",0.240016747640803,FALSE,FALSE,FALSE
1,0.9,-0.263512993636888,3.18575437916047,-0.0827160421910275,345,"IMAEP_yoy","FCI",0.934126003706924,FALSE,FALSE,FALSE
1,0.95,0.782255881917917,3.49239254924791,0.223988532470777,345,"IMAEP_yoy","FCI",0.822900758507427,FALSE,FALSE,FALSE
3,0.05,-2.51893017848045,1.99663780086595,-1.2615859408191,343,"IMAEP_yoy","FCI",0.207967766352206,FALSE,FALSE,FALSE
3,0.1,-3.53209815665125,1.78996290873702,-1.9732800827384,343,"IMAEP_yoy","FCI",0.0492779720274956,TRUE,TRUE,FALSE
3,0.25,-3.14904178852488,1.88755808674448,-1.66831516902143,343,"IMAEP_yoy","FCI",0.0961792308703942,TRUE,FALSE,FALSE
3,0.5,-2.34736078622714,1.43964177948741,-1.63051727149995,343,"IMAEP_yoy","FCI",0.103923665455992,FALSE,FALSE,FALSE
3,0.75,-1.32253159084365,1.76524710125206,-0.749204793994906,343,"IMAEP_yoy","FCI",0.454254865718579,FALSE,FALSE,FALSE
3,0.9,-1.64193653331939,2.72831548279391,-0.601813296033483,343,"IMAEP_yoy","FCI",0.547701876783552,FALSE,FALSE,FALSE
3,0.95,6.14541152584084,6.38606558099641,0.962315755749252,343,"IMAEP_yoy","FCI",0.336578950133861,FALSE,FALSE,FALSE
6,0.05,-0.698601077574322,2.46476665387635,-0.283434976075982,340,"IMAEP_yoy","FCI",0.777018497419892,FALSE,FALSE,FALSE
6,0.1,-3.00084570618798,1.85249165940386,-1.61989701327652,340,"IMAEP_yoy","FCI",0.106195332744366,FALSE,FALSE,FALSE
6,0.25,-2.88653242285546,1.91887643490141,-1.50428259493622,340,"IMAEP_yoy","FCI",0.133450797018318,FALSE,FALSE,FALSE
6,0.5,-1.62739322789946,2.16584563164128,-0.751389297614078,340,"IMAEP_yoy","FCI",0.452945924961771,FALSE,FALSE,FALSE
6,0.75,-1.89259545788528,1.86552890708165,-1.01450878123672,340,"IMAEP_yoy","FCI",0.311072192109195,FALSE,FALSE,FALSE
6,0.9,-1.2899732977056,2.7838837345001,-0.463371828973753,340,"IMAEP_yoy","FCI",0.643398765876462,FALSE,FALSE,FALSE
6,0.95,-3.68214425546338,5.48811047740873,-0.670931146634268,340,"IMAEP_yoy","FCI",0.502726708926046,FALSE,FALSE,FALSE
12,0.05,-0.737550446653671,2.78590330031458,-0.264743735566984,334,"IMAEP_yoy","FCI",0.791372664431515,FALSE,FALSE,FALSE
12,0.1,-1.03304761205358,1.71372376440588,-0.602808710195906,334,"IMAEP_yoy","FCI",0.547051237523099,FALSE,FALSE,FALSE
12,0.25,-1.31671088847733,2.02111146556711,-0.651478610116074,334,"IMAEP_yoy","FCI",0.515192383097785,FALSE,FALSE,FALSE
12,0.5,0.841956012299667,1.18110233821006,0.712856104895735,334,"IMAEP_yoy","FCI",0.476440086070888,FALSE,FALSE,FALSE
12,0.75,-0.2348052363493,1.4941953234433,-0.157144941270598,334,"IMAEP_yoy","FCI",0.875227013118235,FALSE,FALSE,FALSE
12,0.9,0.307746213274708,3.9563727324462,0.0777849394094954,334,"IMAEP_yoy","FCI",0.938046411310598,FALSE,FALSE,FALSE
12,0.95,10.0307211851218,5.73875327365779,1.74789204323614,334,"IMAEP_yoy","FCI",0.0814155785786128,TRUE,FALSE,FALSE
24,0.05,0.503831877298082,3.05851185842304,0.164731052426867,322,"IMAEP_yoy","FCI",0.86926066664526,FALSE,FALSE,FALSE
24,0.1,-0.917909236702759,2.83412467207182,-0.323877508194353,322,"IMAEP_yoy","FCI",0.746244351882109,FALSE,FALSE,FALSE
24,0.25,3.5921980633419,1.7808881591673,2.01708234447554,322,"IMAEP_yoy","FCI",0.0445295639022678,TRUE,TRUE,FALSE
24,0.5,1.76693508623129,1.40957482428299,1.25352344252465,322,"IMAEP_yoy","FCI",0.210938981592617,FALSE,FALSE,FALSE
24,0.75,4.05856245680704,2.01408861959614,2.015086335983,322,"IMAEP_yoy","FCI",0.0447394522524407,TRUE,TRUE,FALSE
24,0.9,3.51581028304351,2.14255930050124,1.64093954469358,322,"IMAEP_yoy","FCI",0.101801736081125,FALSE,FALSE,FALSE
24,0.95,5.73518973534107,4.66854556472316,1.22847461930709,322,"IMAEP_yoy","FCI",0.220180101430721,FALSE,FALSE,FALSE
