"credit_type","horizon","AR_F","AR_p_value","AR_CI_lower","AR_CI_upper","n_obs"
"Cred_Real_Total",1,4.5634344971254,0.00381896177077551,NA,NA,323
"Cred_Real_Total",2,7.79406014048721,4.9673071485673e-05,-40,-26,322
"Cred_Real_Total",3,10.9307458711855,7.72637255269712e-07,-40,-32,321
"Cred_Real_Total",4,16.5539245631463,5.47010114296238e-10,-40,-40,320
"Cred_Real_Total",5,21.5669383653987,1.0941849368756e-12,NA,NA,319
"Cred_Real_Total",6,25.0721711385638,1.63817762380174e-14,NA,NA,318
"Cred_Real_Total",7,30.577455810992,2.77875466185516e-17,NA,NA,317
"Cred_Real_Total",8,40.3496533040991,6.20465922209183e-22,NA,NA,316
"Cred_Real_Total",9,53.0632735870986,1.58683812104701e-27,NA,NA,315
"Cred_Real_Total",10,67.7632259166721,1.95549491135041e-33,NA,NA,314
"Cred_Real_Total",11,81.6484312971163,1.51589275744447e-38,NA,NA,313
"Cred_Real_Total",12,95.3851603329857,3.24614390395485e-43,NA,NA,312
"Cred_Real_Total",13,112.353718685657,1.54696921317378e-48,NA,NA,311
"Cred_Real_Total",14,116.84610346165,7.828548209789e-50,NA,NA,310
"Cred_Real_Total",15,118.664652833674,2.57123195674596e-50,NA,NA,309
"Cred_Real_Total",16,111.917278377784,2.95112993750815e-48,NA,NA,308
"Cred_Real_Total",17,104.606837289224,5.80324922025609e-46,NA,NA,307
"Cred_Real_Total",18,99.2048245550563,3.29065229312787e-44,NA,NA,306
"Cred_Real_Total",19,90.1828942601285,3.26939751782725e-41,NA,NA,305
"Cred_Real_Total",20,82.17630692097,1.95486336842416e-38,NA,NA,304
"Cred_Real_Total",21,73.4677466811349,2.75900371874153e-35,NA,NA,303
"Cred_Real_Total",22,66.731489100197,9.71023780673097e-33,NA,NA,302
"Cred_Real_Total",23,59.2218931918668,8.70728514149236e-30,NA,NA,301
"Cred_Real_Total",24,50.77269191135,2.64954283638285e-26,NA,NA,300
"Cred_Real_MN",1,9.08071065447727,8.90347193336179e-06,-40,-12,323
"Cred_Real_MN",2,14.2008934313957,1.09141592457696e-08,-40,-20.5,322
"Cred_Real_MN",3,18.9809448289286,2.5946099535822e-11,-40,-30,321
"Cred_Real_MN",4,25.7320328985694,7.33458496632115e-15,-40,-40,320
"Cred_Real_MN",5,32.1756894126052,4.40550834966113e-18,NA,NA,319
"Cred_Real_MN",6,37.9892423352324,7.39029084923047e-21,NA,NA,318
"Cred_Real_MN",7,45.4501410685229,2.96317321746378e-24,NA,NA,317
"Cred_Real_MN",8,56.3854924202447,6.210529005476e-29,NA,NA,316
"Cred_Real_MN",9,70.4046680773216,1.79986008355954e-34,NA,NA,315
"Cred_Real_MN",10,81.9156961693957,1.13111846009249e-38,NA,NA,314
"Cred_Real_MN",11,91.0773649728371,8.1636524099949e-42,NA,NA,313
"Cred_Real_MN",12,96.7731972368245,1.13452558139778e-43,NA,NA,312
"Cred_Real_MN",13,104.118472514295,5.44312722295133e-46,NA,NA,311
"Cred_Real_MN",14,103.529506118457,9.25586691876173e-46,NA,NA,310
"Cred_Real_MN",15,100.498727659334,9.41327339672073e-45,NA,NA,309
"Cred_Real_MN",16,92.7252685447587,3.5485902308205e-42,NA,NA,308
"Cred_Real_MN",17,84.3621454147125,2.67453783947214e-39,NA,NA,307
"Cred_Real_MN",18,78.5672497663498,3.17967986308693e-37,NA,NA,306
"Cred_Real_MN",19,69.605683439817,6.60799162063361e-34,NA,NA,305
"Cred_Real_MN",20,61.1223966991632,1.31477381899693e-30,NA,NA,304
"Cred_Real_MN",21,53.1531236779308,2.3630378366143e-27,NA,NA,303
"Cred_Real_MN",22,46.2854086599851,2.05699404019115e-24,NA,NA,302
"Cred_Real_MN",23,37.7983812938478,1.35531431816008e-20,NA,NA,301
"Cred_Real_MN",24,30.6321646839455,3.46726778705116e-17,NA,NA,300
"Cred_USD",1,4.69886403174086,0.00318316478896839,NA,NA,323
"Cred_USD",2,6.0132569276366,0.000542897380518638,NA,NA,322
"Cred_USD",3,5.97822870220167,0.000569512303915991,NA,NA,321
"Cred_USD",4,7.06860173654205,0.000131643909684407,NA,NA,320
"Cred_USD",5,7.88033814815505,4.44219818578303e-05,NA,NA,319
"Cred_USD",6,7.77086460419957,5.14909696082171e-05,NA,NA,318
"Cred_USD",7,8.4143660469303,2.18310209903417e-05,NA,NA,317
"Cred_USD",8,10.6175065724301,1.18050185903099e-06,NA,NA,316
"Cred_USD",9,13.5358579272926,2.64036516086441e-08,NA,NA,315
"Cred_USD",10,19.4586266729447,1.50798950645988e-11,NA,NA,314
"Cred_USD",11,23.953236455006,6.53958454550241e-14,NA,NA,313
"Cred_USD",12,30.795666896632,2.35208605331967e-17,NA,NA,312
"Cred_USD",13,37.7448394617944,1.12930486354519e-20,NA,NA,311
"Cred_USD",14,42.0573783893258,1.20953625941651e-22,NA,NA,310
"Cred_USD",15,45.366583029098,4.13608342170312e-24,NA,NA,309
"Cred_USD",16,45.6346080827064,3.25265269875826e-24,NA,NA,308
"Cred_USD",17,43.6357201848682,2.57932726117693e-23,NA,NA,307
"Cred_USD",18,41.4308381677718,2.59681176298341e-22,NA,NA,306
"Cred_USD",19,38.1291152951842,8.63842169948905e-21,NA,NA,305
"Cred_USD",20,36.0141870811741,8.55697056218724e-20,NA,NA,304
"Cred_USD",21,34.2575030973521,5.90647040352075e-19,NA,NA,303
"Cred_USD",22,32.1956315104378,5.84375384515297e-18,NA,NA,302
"Cred_USD",23,31.3683982797443,1.49476381178515e-17,NA,NA,301
"Cred_USD",24,27.8504622836637,8.11284432843149e-16,NA,NA,300
