"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","method"
1,6.63239217681307,11.3712673888392,0.560112684164637,-12.0716782307541,25.3364625843802,345,"Total","IV"
2,13.2233160487903,16.0628680002465,0.410970565285631,-13.1977506406579,39.6443827382384,344,"Total","IV"
3,18.3356245974138,22.2485592533084,0.410459407870572,-18.2599987848351,54.9312479796628,343,"Total","IV"
4,14.1543831179787,25.7032691615878,0.582221673066837,-28.1237323869689,56.4324986229263,342,"Total","IV"
5,10.0845382010883,29.1194096238396,0.729325412881414,-37.8126283333698,57.9817047355464,341,"Total","IV"
6,13.4315549310468,34.3386208435281,0.695939480652704,-43.0504501079417,69.9135599700353,340,"Total","IV"
7,19.1585011481731,40.6961895870537,0.63811867767314,-47.780773897197,86.0977761935432,339,"Total","IV"
8,22.0763158717557,44.8306620168762,0.62274028920685,-51.6635611453386,95.8161928888501,338,"Total","IV"
9,19.3362414575742,49.501719581432,0.696335067392343,-62.0868415362789,100.759324451427,337,"Total","IV"
10,14.1801512834836,51.3094306695757,0.78244309350644,-70.2163518501831,98.5766544171503,336,"Total","IV"
11,12.5184722678846,50.9181175508731,0.80595017121512,-71.2343780632104,96.2713225989796,335,"Total","IV"
12,-9.95816755498913,51.0221821075674,0.845379994689281,-93.8821888495999,73.9658537396216,334,"Total","IV"
13,20.2965724534138,56.4423937917657,0.719383487757204,-72.5429036887952,113.136048595623,333,"Total","IV"
14,16.0358444940319,56.9435843253294,0.778424540475942,-77.6280167151032,109.699705703167,332,"Total","IV"
15,21.9256117391984,59.734864452656,0.713825204584414,-76.3294967112074,120.180720189604,331,"Total","IV"
16,44.4290289066357,62.3350691884886,0.476524384245209,-58.1030357343208,146.961093547592,330,"Total","IV"
17,75.4810182592675,65.0316100809664,0.246641832628534,-31.486461448904,182.448497967439,329,"Total","IV"
18,81.8315152248513,66.8360713569721,0.221724992715187,-28.1040391578517,191.767069607554,328,"Total","IV"
19,97.1435921964984,68.928481701569,0.159718305277364,-16.2336709305855,210.520855323582,327,"Total","IV"
20,92.506324591225,68.049909348569,0.174995579821484,-19.4258156144875,204.438464796938,326,"Total","IV"
21,97.0241637693134,63.0170943258525,0.12465319984483,-6.62973239250799,200.678059931135,325,"Total","IV"
22,95.8470382295191,63.5975899213799,0.132797203039964,-8.76168821803498,200.455764677073,324,"Total","IV"
23,91.9219817703866,59.3623787610344,0.122518359156486,-5.72044223916772,189.564405779941,323,"Total","IV"
24,83.8623863365943,62.6161949855171,0.181448307036437,-19.1320890912341,186.856861764423,322,"Total","IV"
1,-3.79940454396954,8.38551476456915,0.650777132471018,-17.5923489183262,9.99353983038713,345,"Real_MN","IV"
2,2.7054444991334,12.101459323267,0.823234060791647,-17.1996847601481,22.6105737584149,344,"Real_MN","IV"
3,6.91587009838565,17.8591437841518,0.698822711683019,-22.4598073292243,36.2915475259956,343,"Real_MN","IV"
4,7.28526015474773,21.7481326234507,0.737849907322134,-28.4872346703568,43.0577549798523,342,"Real_MN","IV"
5,13.1150454225879,24.4949712570252,0.592721566765033,-27.175596891602,53.4056877367777,341,"Real_MN","IV"
6,16.8468059913906,27.6907729352712,0.543348230707138,-28.70046230428,62.3940742870611,340,"Real_MN","IV"
7,19.3892229137429,30.3362922244025,0.523176123903011,-30.5095373798253,69.2879832073111,339,"Real_MN","IV"
8,22.7134053015709,32.6803495752516,0.487538077630241,-31.0409862273238,76.4677968304655,338,"Real_MN","IV"
9,22.7363840187644,36.4096039093039,0.532761534986391,-37.1520850273206,82.6248530648494,337,"Real_MN","IV"
10,22.7957295997398,38.1508369662772,0.55057911332453,-39.9568129554755,85.5482721549551,336,"Real_MN","IV"
11,22.2979980370119,39.6812184978052,0.574553412405083,-42.9717981309568,87.5677942049805,335,"Real_MN","IV"
12,16.9183001822441,42.2281259280757,0.688949647658436,-52.5407859099147,86.3773862744029,334,"Real_MN","IV"
13,36.1456420238655,47.6700097662833,0.448857727741902,-42.2645464370177,114.555830484749,333,"Real_MN","IV"
14,30.6177403065703,49.6640182817533,0.538003217882318,-51.0723002931559,112.307780906296,332,"Real_MN","IV"
15,27.0135708879943,52.5393001728493,0.607495485002002,-59.405887558809,113.433029334798,331,"Real_MN","IV"
16,35.0734314732222,55.1592788628336,0.525325326996169,-55.6555084243374,125.802371370782,330,"Real_MN","IV"
17,46.1014913113793,56.1171783502709,0.411964532046111,-46.2030530323464,138.406035655105,329,"Real_MN","IV"
18,44.9229730137112,58.5047756752107,0.443147061603714,-51.3088194496413,141.154765477064,328,"Real_MN","IV"
19,53.6151194296764,59.7641620010603,0.370342354822613,-44.688179199483,151.918418058836,327,"Real_MN","IV"
20,49.5955602745012,61.2303663371922,0.418561363103452,-51.1194298747967,150.310550423799,326,"Real_MN","IV"
21,50.5330857330767,58.3120396467937,0.386824121648443,-45.3816841748899,146.447855641043,325,"Real_MN","IV"
22,44.7495291486013,59.4678783985009,0.452316470930127,-53.0664263222819,142.565484619485,324,"Real_MN","IV"
23,40.4220245138631,56.4310788423215,0.47433708669909,-52.3988401927137,133.24288922044,323,"Real_MN","IV"
24,30.2326718370514,59.3254590703013,0.610688206464812,-67.3490246852947,127.814368359398,322,"Real_MN","IV"
1,0.237633325706772,1.00919562519221,0.813989782726295,-1.4223457586942,1.89761241010774,345,"Total","OLS"
2,0.406640257919873,1.16466764855262,0.727199598476602,-1.50906754799495,2.3223480638347,344,"Total","OLS"
3,-0.840231681657499,1.37401619326339,0.541277105903919,-3.10028720063684,1.41982383732184,343,"Total","OLS"
4,-3.15268543483402,1.30658858290544,0.0163685820608195,-5.30183240435942,-1.00353846530861,342,"Total","OLS"
5,-4.00247754513901,1.47556588552032,0.00702778485745209,-6.42956744374297,-1.57538764653504,341,"Total","OLS"
6,-4.41055175507,1.77783128414571,0.0136059649668551,-7.33482399090487,-1.48627951923514,340,"Total","OLS"
7,-4.81073590313019,1.79950173437753,0.00788498565834662,-7.77065285762653,-1.85081894863384,339,"Total","OLS"
8,-5.94331823965064,1.95001263731502,0.00249283695353554,-9.15080359873945,-2.73583288056182,338,"Total","OLS"
9,-6.15751714886956,2.15468465536632,0.00454108968886576,-9.70165801918554,-2.61337627855359,337,"Total","OLS"
10,-7.4925833724874,2.35666627662148,0.00161833249018137,-11.3689544451025,-3.61621229987234,336,"Total","OLS"
11,-8.34936088187737,2.60759193657077,0.00150046260724222,-12.6384679363552,-4.06025382739953,335,"Total","OLS"
12,-7.94846064735573,2.78870955530668,0.0046495589709702,-12.5354796739161,-3.36144162079531,334,"Total","OLS"
13,-8.33178961642027,3.02101964685957,0.00614889248537128,-13.3009247396489,-3.36265449319165,333,"Total","OLS"
14,-8.2091894163787,3.08487485398928,0.00817998589617205,-13.2833570086544,-3.13502182410304,332,"Total","OLS"
15,-7.03308010425341,2.94232146048783,0.017411870312204,-11.872768230194,-2.19339197831285,331,"Total","OLS"
16,-5.41778646657002,2.86293124950302,0.0593441024119944,-10.1268893160278,-0.708683617112276,330,"Total","OLS"
17,-4.44773583716058,2.81800621354117,0.115484653038028,-9.08294357827556,0.1874719039544,329,"Total","OLS"
18,-3.1602571417638,2.93079196472835,0.281722128009966,-7.98098093478746,1.66046665125985,328,"Total","OLS"
19,-2.40892986929354,2.94980450601658,0.414749105263351,-7.26092650981271,2.44306677122563,327,"Total","OLS"
20,-2.07555069260033,3.12985073028035,0.507721481156401,-7.22369701811867,3.07259563291801,326,"Total","OLS"
21,-1.02717301478894,3.22611234136315,0.750398176444398,-6.33365560043301,4.27930957085514,325,"Total","OLS"
22,0.0245163041459899,3.32017988976158,0.994113154904045,-5.43669362965968,5.48572623795166,324,"Total","OLS"
23,-0.248014670655437,3.14566266485473,0.937207743235038,-5.42216931410757,4.92613997279669,323,"Total","OLS"
24,-0.358637145918204,3.08879511029513,0.907641033099772,-5.43925298599711,4.72197869416071,322,"Total","OLS"
1,-0.915623507880159,0.867397413255161,0.291914583446206,-2.34236528908123,0.511118273320917,345,"Real_MN","OLS"
2,-1.31026931761785,1.03302490516207,0.205547868013657,-3.00944407960488,0.388905444369175,344,"Real_MN","OLS"
3,-2.93786510766442,1.28611656529309,0.0229851666635385,-5.05333860476912,-0.822391610559719,343,"Real_MN","OLS"
4,-4.88199266032154,1.5712657823617,0.00205326571285184,-7.46649488134393,-2.29749043929916,342,"Real_MN","OLS"
5,-5.84920086652686,1.79374911902544,0.00122661767770553,-8.79965561079685,-2.89874612225686,341,"Real_MN","OLS"
6,-6.54887770273964,2.16992149968768,0.00274289849450555,-10.1180809517009,-2.97967445377838,340,"Real_MN","OLS"
7,-6.84866390736812,2.20317613831353,0.00204471671540503,-10.4725661692861,-3.22476164545017,339,"Real_MN","OLS"
8,-7.55691238173632,2.27392585533069,0.000990474694820504,-11.2971875722957,-3.81663719117691,338,"Real_MN","OLS"
9,-8.28947429892355,2.64659232802964,0.0018927362578548,-12.642731288745,-3.93621730910206,337,"Real_MN","OLS"
10,-9.23826950132359,2.83394009026032,0.00123270741327905,-13.8996861373515,-4.57685286529572,336,"Real_MN","OLS"
11,-10.0817763580949,3.09966572119037,0.00126429111883618,-15.180272761932,-4.98327995425778,335,"Real_MN","OLS"
12,-10.3192362765822,3.27226505312164,0.00176447970624865,-15.7016333175559,-4.9368392356085,334,"Real_MN","OLS"
13,-10.6457073171619,3.52670724937155,0.00274227107957669,-16.4466245274867,-4.84479010683703,333,"Real_MN","OLS"
14,-10.2982386479843,3.539602938242,0.003873591165477,-16.1203673789198,-4.47610991704888,332,"Real_MN","OLS"
15,-9.29712235383285,3.35488904248424,0.00591141283941363,-14.8154237633828,-3.7788209442829,331,"Real_MN","OLS"
16,-8.13051489794779,2.99214616050412,0.00694138639088006,-13.0521573624219,-3.20887243347366,330,"Real_MN","OLS"
17,-7.19343680245566,2.82995503687654,0.0114997240511775,-11.8482986089716,-2.5385749959397,329,"Real_MN","OLS"
18,-6.09647095230678,2.8284391902151,0.0318815433973037,-10.7488394129438,-1.44410249166979,328,"Real_MN","OLS"
19,-5.84664606648817,2.89677282694713,0.044401368013983,-10.6114133573466,-1.08187877562972,327,"Real_MN","OLS"
20,-5.78395869431043,2.95552482857015,0.051230614268781,-10.6453644281292,-0.922552960491689,326,"Real_MN","OLS"
21,-4.59520536811844,3.08889678660641,0.137846041945471,-9.67598845084675,0.485577714609859,325,"Real_MN","OLS"
22,-4.03788879866967,3.10741361737537,0.194750208698193,-9.14912935764795,1.0733517603086,324,"Real_MN","OLS"
23,-3.90933741969656,2.99495920167445,0.192750530586115,-8.83560692514246,1.01693208574935,323,"Real_MN","OLS"
24,-3.73113804832984,2.7871336102426,0.181645833146843,-8.31556487593573,0.853288779276045,322,"Real_MN","OLS"
