"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","n_lags_used"
1,0.635741848544448,0.990363134793339,0.521357614807485,-0.993260545719405,2.2647442428083,345,1
2,0.77591185816217,1.05159282812476,0.461125544093239,-0.953804419255,2.50562813557934,344,1
3,-0.193474372948968,1.16912326321274,0.868661021576683,-2.11651101279778,1.72956226689985,343,1
4,-2.50987492409876,1.25499818716305,0.046322588117321,-4.57416324407143,-0.44558660412609,342,1
5,-3.03081620875007,1.42193173765797,0.0337838267149282,-5.3696857847142,-0.691946632785949,341,1
6,-3.15918412681975,1.72914473705948,0.0685969433821166,-6.0033741190961,-0.314994134543412,340,1
7,-4.29244196102431,1.77360418644035,0.0160524350935209,-7.20976123986704,-1.37512268218158,339,1
8,-5.91754883593594,1.8652294066011,0.00165349225137436,-8.9855781904803,-2.84951948139158,338,1
9,-6.03311485769416,2.00998262244904,0.00289191974637701,-9.3392420643389,-2.72698765104942,337,1
10,-6.58218888815844,2.30122742962447,0.00450464443325654,-10.3673711722165,-2.79700660410042,336,1
11,-7.81358578922774,2.67073360158012,0.00367870508817329,-12.206551640408,-3.42061993804752,335,1
12,-8.06908643592216,2.86573346513523,0.00516406040913448,-12.782798519926,-3.35537435191827,334,1
13,-8.38985332249931,3.00097543532392,0.00548757043406046,-13.3260186516841,-3.45368799331449,333,1
14,-8.32021084912041,2.98445153778702,0.0056201503155365,-13.2291967855103,-3.41122491273053,332,1
15,-7.73538803829814,2.81738069128301,0.0063794481288308,-12.369566886858,-3.10120918973823,331,1
16,-6.36185234853063,2.7461687130607,0.0211532115281348,-10.8788979164292,-1.84480678063208,330,1
17,-5.42650380387223,2.70401335973681,0.0456082547796569,-9.87420998596055,-0.978797621783906,329,1
18,-4.73187638496139,2.64656486566866,0.0747361339261012,-9.08508820321881,-0.378664566703963,328,1
1,0.632230892281841,0.985222395309699,0.521499114968684,-0.988315737997134,2.25277752256082,345,2
2,0.695913520987755,1.04102971923102,0.504286689559853,-1.01642798845366,2.40825503042917,344,2
3,-0.245538929167265,1.16906503860236,0.833772957342255,-2.16847979805452,1.67740193971999,343,2
4,-2.48161857406135,1.22890643081268,0.0442542455463934,-4.50298977396758,-0.46024737415512,342,2
5,-3.01555763461931,1.39329863944425,0.0311558675171167,-5.30732995513573,-0.723785314102895,341,2
6,-3.23940612126516,1.71866693416456,0.0603331327016109,-6.0663616614473,-0.412450581083017,340,2
7,-4.19826897028935,1.75722414203241,0.0174521510622525,-7.08864547367805,-1.30789246690064,339,2
8,-5.74198219306852,1.85143693010761,0.00209398410607712,-8.78732494262792,-2.69663944350913,338,2
9,-5.71522151462667,1.94840978724331,0.00359164911842401,-8.92007041996158,-2.51037260929175,337,2
10,-6.25038292010198,2.22902769428874,0.00534939836633736,-9.91680720762808,-2.58395863257587,336,2
11,-7.40519796608836,2.54796117756312,0.00390890188859103,-11.5962211503346,-3.21417478184211,335,2
12,-7.65628048038672,2.74502470347948,0.00559825152330819,-12.1714443199763,-3.1411166407971,334,2
13,-7.97473739828041,2.90221607837489,0.00633752809707336,-12.7484580409922,-3.2010167555686,333,2
14,-7.9717016516556,2.90925482288089,0.00648531712720251,-12.7569999987973,-3.18640330451391,332,2
15,-7.40133279660075,2.75508840436102,0.00759922505161275,-11.9330499510859,-2.86961564211558,331,2
16,-6.10013547399513,2.69181155025633,0.0241098495536442,-10.5277714655041,-1.67249948248614,330,2
17,-5.10677349376023,2.64292148595488,0.054217182555163,-9.45399248568108,-0.759554501839378,329,2
18,-4.28019524327448,2.57334561856574,0.09724460672417,-8.51297211737201,-0.0474183691769525,328,2
1,0.660850573025964,0.942878589117877,0.483874006825927,-0.890046694059463,2.21174784011139,343,4
2,0.673776811953387,0.980820229526776,0.492602592788821,-0.939528899971106,2.28708252387788,342,4
3,-0.251677119584393,1.14357744684703,0.825948407317688,-2.13269463073064,1.62934039156185,341,4
4,-2.42856815673669,1.23219922213586,0.0495863201737948,-4.45535551639365,-0.401780797079737,340,4
5,-3.06095092696681,1.410454520136,0.0307232973029183,-5.38094216006261,-0.740959693871007,339,4
6,-3.40203589239436,1.71932313751448,0.0487034976486766,-6.23007079103663,-0.574000993752088,338,4
7,-4.48288396949146,1.73732059181015,0.0103155209244729,-7.34052204610787,-1.62524589287505,337,4
8,-6.02819714706916,1.85071283881136,0.00124615261895314,-9.07234887243368,-2.98404542170464,336,4
9,-6.28523899179345,1.93266563989587,0.00126847873506089,-9.46419107926066,-3.10628690432623,335,4
10,-6.85033990918573,2.22027561774633,0.00221223557022965,-10.5023683118677,-3.19831150650376,334,4
11,-7.97209708557859,2.58136021428321,0.00219142185818062,-12.2180567965106,-3.72613737464662,333,4
12,-8.16588551551296,2.77333755436227,0.00347626860002728,-12.7276198505665,-3.60415118045945,332,4
13,-8.43349360499595,2.97673055109897,0.00490748300748422,-13.3297796484283,-3.53720756156356,331,4
14,-8.41150824388679,3.00410855109249,0.0054277820310395,-13.3528270899072,-3.47018939786637,330,4
15,-7.86511177321368,2.87575479001331,0.00659529368489768,-12.5953074697901,-3.13491607663723,329,4
16,-6.59597850040504,2.85669740568507,0.0216014754351249,-11.294827589249,-1.89712941156109,328,4
17,-5.5197706392313,2.83765651861767,0.0526564219263052,-10.1873002559221,-0.852241022540545,327,4
18,-4.48210535212583,2.75978783992011,0.105379184801999,-9.021552390235,0.0573416859833316,326,4
