"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","variable"
1,-2.3378990944956,1.39080922524748,0.0937049103293231,-4.62557669304149,-0.0502214959497129,345,"IMAEP"
2,-2.80473546623101,1.47863831050004,0.0587145921964101,-5.2368790542064,-0.372591878255618,344,"IMAEP"
3,-2.29402937081006,1.36547282249914,0.0938929777015864,-4.54003229540144,-0.0480264462186839,343,"IMAEP"
4,-1.31316422333028,1.3285257462155,0.323660579903955,-3.49839461549125,0.872066168830694,342,"IMAEP"
5,-1.8975948528349,1.34846249501691,0.16030079667806,-4.1156182785715,0.320428572901696,341,"IMAEP"
6,-1.51202909909166,1.2851510435733,0.240230490494908,-3.62591445429368,0.601856256110354,340,"IMAEP"
7,-1.3231602740311,1.37819853825539,0.337729641352314,-3.59009513833969,0.943774590277499,339,"IMAEP"
8,-0.58988625311963,1.128294783975,0.60145900737108,-2.44576602081133,1.26599351457207,338,"IMAEP"
9,-1.40369100904094,1.22415356654063,0.252362036590781,-3.41724444291087,0.609862424828992,337,"IMAEP"
10,-1.08618364338381,1.15033079807868,0.345750528288526,-2.97830942879751,0.805942142029883,336,"IMAEP"
11,-1.12518930290272,1.19237555513955,0.346049895387703,-3.08647255946229,0.836093953656856,335,"IMAEP"
12,0.340498203409734,1.17129046777917,0.771464682383734,-1.58610317073051,2.26709957754998,334,"IMAEP"
13,1.56418353894246,1.64268299276105,0.341703354673108,-1.13778953963204,4.26615661751697,333,"IMAEP"
14,2.83546801149841,1.78845527353885,0.113853599607272,-0.106279131822458,5.77721515481928,332,"IMAEP"
15,4.42721797181427,1.53003667644076,0.00407065818603115,1.91053159520192,6.94390434842662,331,"IMAEP"
16,2.33270983545916,1.53053214284294,0.128470258023621,-0.184791510861853,4.85021118178017,330,"IMAEP"
17,0.747495347016463,1.38866304713908,0.590757430941994,-1.53665210268374,3.03164279671666,329,"IMAEP"
18,2.30327725254112,1.19080240913584,0.0539754782957087,0.344581590891479,4.26197291419075,328,"IMAEP"
19,0.755275962321789,1.4896116586867,0.612488264710172,-1.69491717721822,3.2054691018618,327,"IMAEP"
20,1.26899943010354,1.24589757775132,0.309201932397771,-0.780319719470778,3.31831857967786,326,"IMAEP"
21,2.37552515036662,1.46335390800779,0.105519587553727,-0.0314778327335992,4.78252813346683,325,"IMAEP"
22,1.89117103299182,1.38410526398112,0.172810180568776,-0.385479530550145,4.16782159653379,324,"IMAEP"
23,1.72098751060388,0.889185078923393,0.0538364846223495,0.258408208505609,3.18356681270216,323,"IMAEP"
24,1.44856198361353,0.985906786712701,0.142770733121973,-0.173110370346925,3.07023433757399,322,"IMAEP"
1,-0.025784792160963,0.406767805986052,0.949494297843795,-0.694858293164213,0.643288708842287,345,"IPC"
2,0.138332256833873,0.543858207059581,0.799379437852704,-0.756234887595403,1.03289940126315,344,"IPC"
3,0.297502616029497,0.64903048083645,0.646979328270099,-0.770057524376396,1.36506275643539,343,"IPC"
4,0.342384721409723,0.721332830285144,0.635345420667952,-0.844102200723967,1.52887164354341,342,"IPC"
5,0.748505832073408,0.7653663454865,0.328805217998557,-0.510409777246656,2.00742144139347,341,"IPC"
6,0.732972309365106,0.882990694474372,0.407083068433958,-0.719418137005464,2.18536275573568,340,"IPC"
7,0.940196654564019,0.877806614027045,0.284923226011779,-0.503666738280357,2.3840600474084,339,"IPC"
8,0.892738315213654,0.880025371994524,0.311119934787207,-0.554774609720857,2.34025124014816,338,"IPC"
9,0.702569651354947,0.888695641278316,0.429773923804765,-0.759204597457655,2.16434390016755,337,"IPC"
10,0.805142576612384,0.858629681439507,0.3490916065473,-0.607177569111576,2.21746272233634,336,"IPC"
11,0.45099225401667,0.886360479616892,0.611229197460392,-1.00694099566762,1.90892550370096,335,"IPC"
12,-0.0673974786204631,0.8997723981575,0.940336643631684,-1.54739137116065,1.41259641391972,334,"IPC"
