"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","method","fci_var"
1,0.64337332829406,0.701129637940192,0.359477921894078,-0.509882299635037,1.79662895622316,345,"PCA","FCI_exCredit_PCA_norm"
2,0.548912768777872,0.90287861954972,0.543629373607896,-0.936190403285424,2.03401594084117,344,"PCA","FCI_exCredit_PCA_norm"
3,0.73670703010916,1.10942027949717,0.50712122595104,-1.08812694043527,2.56154100065359,343,"PCA","FCI_exCredit_PCA_norm"
4,-0.0909285570989911,1.07554972333256,0.932677039751809,-1.8600504204892,1.67819330629122,342,"PCA","FCI_exCredit_PCA_norm"
5,-0.0890719497341521,1.20695832718515,0.941215277378612,-2.07434173178393,1.89619783231562,341,"PCA","FCI_exCredit_PCA_norm"
6,-0.322071359183769,1.2273708022388,0.793171486742721,-2.3409166748606,1.69677395649306,340,"PCA","FCI_exCredit_PCA_norm"
7,-0.646111760416791,1.32924776582122,0.627239816582048,-2.83252976914497,1.54030624831139,339,"PCA","FCI_exCredit_PCA_norm"
8,-1.29603866731143,1.3110945434915,0.323630599564436,-3.4525972824497,0.860519947826849,338,"PCA","FCI_exCredit_PCA_norm"
9,-2.12816221672736,1.2945785419008,0.101160126062345,-4.25755442674643,0.00122999329171858,337,"PCA","FCI_exCredit_PCA_norm"
10,-2.23496165656376,1.3762458138325,0.105354795448373,-4.49868457502294,0.0287612618954118,336,"PCA","FCI_exCredit_PCA_norm"
11,-3.07549324456862,1.75611940908783,0.0808403619843663,-5.96405262396661,-0.186933865170622,335,"PCA","FCI_exCredit_PCA_norm"
12,-4.04180677137903,1.73814397025557,0.0206718986393319,-6.90079918501774,-1.18281435774033,334,"PCA","FCI_exCredit_PCA_norm"
13,-4.61762884219281,1.99150867332079,0.0210393582826533,-7.89336910660982,-1.34188857777579,333,"PCA","FCI_exCredit_PCA_norm"
14,-5.06601695015439,2.20893321454032,0.0224696106757158,-8.69938875978461,-1.43264514052416,332,"PCA","FCI_exCredit_PCA_norm"
15,-5.36762875289808,2.29926748249827,0.0201881078182058,-9.14958721081694,-1.58567029497922,331,"PCA","FCI_exCredit_PCA_norm"
16,-5.48217820361235,2.42696301149451,0.0245667551510246,-9.47417711554617,-1.49017929167854,330,"PCA","FCI_exCredit_PCA_norm"
17,-5.74129278077016,2.34607907745691,0.0149383744617606,-9.60024946044012,-1.8823361011002,329,"PCA","FCI_exCredit_PCA_norm"
18,-5.57272979767319,2.22956702518379,0.0129433310712088,-9.24004120557816,-1.90541838976823,328,"PCA","FCI_exCredit_PCA_norm"
19,-5.68743515945976,2.28111815276352,0.0131686888829473,-9.43954062653768,-1.93532969238184,327,"PCA","FCI_exCredit_PCA_norm"
20,-5.53634536659295,2.29718300138208,0.0165228073084784,-9.31487515818753,-1.75781557499837,326,"PCA","FCI_exCredit_PCA_norm"
21,-4.40073874563344,2.33572107239165,0.0604747560251953,-8.24265802310382,-0.558819468163058,325,"PCA","FCI_exCredit_PCA_norm"
22,-3.88877844695665,2.40524690341719,0.106931046425904,-7.84505753975621,0.067500645842919,324,"PCA","FCI_exCredit_PCA_norm"
23,-3.51326219898017,2.15153635179258,0.103496961879626,-7.05222457074414,0.0257001727837989,323,"PCA","FCI_exCredit_PCA_norm"
24,-3.34628986146451,2.3856783370792,0.161716419515529,-7.27038152694879,0.577801804019779,322,"PCA","FCI_exCredit_PCA_norm"
1,-0.193402631853533,0.539059460687738,0.719987912380708,-1.08007654090826,0.693271277201196,345,"VAR","FCI_exCredit_VAR_norm"
2,-0.330096893608772,0.587481436188082,0.574572489725099,-1.2964178646894,0.636224077471854,344,"VAR","FCI_exCredit_VAR_norm"
3,-1.59428526292733,0.741512332161151,0.0322735301531927,-2.81396451191184,-0.374606013942814,343,"VAR","FCI_exCredit_VAR_norm"
4,-2.65596031792331,0.991121545940168,0.00773605516439374,-4.28621018751274,-1.02571044833387,342,"VAR","FCI_exCredit_VAR_norm"
5,-2.34388828905447,1.11116725363598,0.0356634819293545,-4.17159577634732,-0.516180801761616,341,"VAR","FCI_exCredit_VAR_norm"
6,-2.85774205190124,1.11252618907886,0.0106487992507066,-4.6876847890861,-1.02779931471638,340,"VAR","FCI_exCredit_VAR_norm"
7,-3.49570394360257,1.15033942219465,0.00256570515176963,-5.3878439144247,-1.60356397278045,339,"VAR","FCI_exCredit_VAR_norm"
8,-4.17183694020019,1.18470980103126,0.000490252073560122,-6.12051115331142,-2.22316272708896,338,"VAR","FCI_exCredit_VAR_norm"
9,-4.13787227150472,1.30124225953984,0.0016145034736376,-6.27822532165136,-1.99751922135808,337,"VAR","FCI_exCredit_VAR_norm"
10,-4.55773940626208,1.42800259315321,0.00155261564096635,-6.90659465090624,-2.20888416161792,336,"VAR","FCI_exCredit_VAR_norm"
11,-4.75444385099315,1.49821655236545,0.0016510876338215,-7.21879078111019,-2.29009692087612,335,"VAR","FCI_exCredit_VAR_norm"
12,-4.61545794674073,1.69656384338292,0.00687184245438153,-7.40605713788385,-1.82485875559761,334,"VAR","FCI_exCredit_VAR_norm"
13,-5.15102632561196,1.63643719280642,0.00179949979221933,-7.84272597747788,-2.45932667374604,333,"VAR","FCI_exCredit_VAR_norm"
14,-4.9059059341364,1.66975066370403,0.00354131229050876,-7.6524013694346,-2.15941049883819,332,"VAR","FCI_exCredit_VAR_norm"
15,-4.21605465602302,1.55799578642738,0.00717338605873847,-6.77872967610321,-1.65337963594283,331,"VAR","FCI_exCredit_VAR_norm"
16,-3.4200600966717,1.54172577529503,0.0272359846423418,-5.9559733299303,-0.884146863413105,330,"VAR","FCI_exCredit_VAR_norm"
17,-2.75602913593524,1.68141098005293,0.102177820741197,-5.52170408487134,0.00964581300085321,329,"VAR","FCI_exCredit_VAR_norm"
18,-2.55343282831,1.41581488715686,0.0722578891042802,-4.88224108054186,-0.224624576078145,328,"VAR","FCI_exCredit_VAR_norm"
19,-2.15349098292134,1.41854998108234,0.129990719014047,-4.48679806431658,0.179816098473887,327,"VAR","FCI_exCredit_VAR_norm"
20,-1.50552896797382,1.38208789059141,0.27684768404759,-3.77886124757882,0.76780331163117,326,"VAR","FCI_exCredit_VAR_norm"
21,-1.62145708946631,1.32829130056132,0.223112106869993,-3.80630185284268,0.563387673910066,325,"VAR","FCI_exCredit_VAR_norm"
22,-0.963186662995907,1.29490427860259,0.4575382628543,-3.09311466221035,1.16674133621854,324,"VAR","FCI_exCredit_VAR_norm"
23,-0.82497412190924,1.21764744051274,0.498581484039022,-2.8278259307848,1.17787768696632,323,"VAR","FCI_exCredit_VAR_norm"
24,-1.14760768295959,1.10600741661952,0.300256322705799,-2.96682799362143,0.671612627702245,322,"VAR","FCI_exCredit_VAR_norm"
1,-0.155483402429734,0.482906293909523,0.747673606614338,-0.949793571444506,0.638826766585037,345,"DFM","FCI_exCredit_DFM_norm"
2,-0.360745044712581,0.553650737830526,0.515124724215972,-1.27141946889748,0.549929379472318,344,"DFM","FCI_exCredit_DFM_norm"
3,-0.986403823702428,0.708105127001974,0.164546101307722,-2.15113311011456,0.178325462709702,343,"DFM","FCI_exCredit_DFM_norm"
4,-1.79813402263549,0.769083441637073,0.0199812943275597,-3.06316371104055,-0.533104334230425,342,"DFM","FCI_exCredit_DFM_norm"
5,-2.45072813989418,0.933063026967532,0.00902800912331366,-3.98548024397605,-0.915976035812319,341,"DFM","FCI_exCredit_DFM_norm"
6,-2.29536174272362,1.00835358853813,0.0234673961192552,-3.9539558000801,-0.636767685367144,340,"DFM","FCI_exCredit_DFM_norm"
7,-2.66884088595881,1.08304550485422,0.0142443285903701,-4.45029221277177,-0.887389559145856,339,"DFM","FCI_exCredit_DFM_norm"
8,-3.28259740912856,1.22647261161052,0.00781553308813331,-5.29996533269277,-1.26522948556435,338,"DFM","FCI_exCredit_DFM_norm"
9,-2.61801870895622,1.22433751044073,0.0332342815055959,-4.63187470361739,-0.604162714295057,337,"DFM","FCI_exCredit_DFM_norm"
10,-2.83523940708576,1.2965794770719,0.0294765374520359,-4.96792286257832,-0.702555951593193,336,"DFM","FCI_exCredit_DFM_norm"
11,-3.22874372033991,1.38064017503623,0.0199646564208462,-5.49969471976317,-0.957792720916644,335,"DFM","FCI_exCredit_DFM_norm"
12,-2.91483562684362,1.48618277006293,0.0507039686569378,-5.35938874649441,-0.470282507192828,334,"DFM","FCI_exCredit_DFM_norm"
13,-2.54830866470605,1.48564458114883,0.0872544027132669,-4.9919765423695,-0.104640787042606,333,"DFM","FCI_exCredit_DFM_norm"
14,-2.07420541119275,1.50222044104227,0.168313456670562,-4.54513815212176,0.396727329736263,332,"DFM","FCI_exCredit_DFM_norm"
15,-1.6999124299944,1.50767184756851,0.260372362441816,-4.17981193672008,0.779987076731288,331,"DFM","FCI_exCredit_DFM_norm"
16,-1.08530144162327,1.63679890817469,0.507768786185165,-3.77759606232461,1.60699317907807,330,"DFM","FCI_exCredit_DFM_norm"
17,-0.926597170583599,1.58571300832254,0.559405197969918,-3.53486296362705,1.68166862245985,329,"DFM","FCI_exCredit_DFM_norm"
18,-0.371444575377498,1.67312309179787,0.824451604823737,-3.12348716125749,2.38059801050249,328,"DFM","FCI_exCredit_DFM_norm"
19,-0.150873613684656,1.53966898482538,0.922001611834806,-2.68340372767937,2.38165650031006,327,"DFM","FCI_exCredit_DFM_norm"
20,-0.0461894021174866,1.47990522036741,0.975120990071641,-2.48041687138324,2.38803806714827,326,"DFM","FCI_exCredit_DFM_norm"
21,-0.0822419161611307,1.43765443010377,0.954417784729237,-2.44697301982017,2.28248918749791,325,"DFM","FCI_exCredit_DFM_norm"
22,0.122273443934743,1.41908086853364,0.931391274202546,-2.21190686961026,2.45645375747974,324,"DFM","FCI_exCredit_DFM_norm"
23,0.249493946913476,1.37132566731318,0.855750846593192,-2.00613605069826,2.50512394452521,323,"DFM","FCI_exCredit_DFM_norm"
24,0.530941419489804,1.40915703195865,0.706594451754767,-1.78691563547155,2.84879847445116,322,"DFM","FCI_exCredit_DFM_norm"
