"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","fci_label","npl_type"
1,0.00953109344361897,0.0035536253930889,0.00768034937237405,0.00368589982696985,0.0153762870602681,345,"FCI_exNPL","Excl. NPL","Level"
2,0.00827249210078579,0.00366078451802887,0.0244819720830417,0.00225103740881822,0.0142939467927534,344,"FCI_exNPL","Excl. NPL","Level"
3,0.0094019878494219,0.00406020549872005,0.0211867212051338,0.00272354410868393,0.0160804315901599,343,"FCI_exNPL","Excl. NPL","Level"
4,0.0108973582126042,0.00435270419406456,0.0127752830983943,0.00373779693195018,0.0180569194932581,342,"FCI_exNPL","Excl. NPL","Level"
5,0.0110231193366236,0.00423144684211624,0.00960199258831298,0.00406300865111637,0.0179832300221309,341,"FCI_exNPL","Excl. NPL","Level"
6,0.0127223595706626,0.00489633585539537,0.0097888945775101,0.00466860378014298,0.0207761153611822,340,"FCI_exNPL","Excl. NPL","Level"
7,0.0130893051377499,0.00530917258418473,0.0141970775800994,0.0043564933565423,0.0218221169189574,339,"FCI_exNPL","Excl. NPL","Level"
8,0.0133957874869982,0.00517051282976912,0.0100040754422223,0.0048910507057533,0.021900524268243,338,"FCI_exNPL","Excl. NPL","Level"
9,0.0144997548058527,0.00521822737809941,0.0057745467494951,0.00591653457672846,0.023082975034977,337,"FCI_exNPL","Excl. NPL","Level"
10,0.0137176464957261,0.00509995681063947,0.00751957450504599,0.00532896403844994,0.0221063289530023,336,"FCI_exNPL","Excl. NPL","Level"
11,0.0139549788220924,0.00521026029906354,0.00777554339418782,0.00538486327181644,0.0225250943723683,335,"FCI_exNPL","Excl. NPL","Level"
12,0.0163278994608731,0.00612535704198016,0.00807091194710808,0.00625258371399933,0.0264032152077469,334,"FCI_exNPL","Excl. NPL","Level"
13,0.0182441132562939,0.00659377406901005,0.00598682863757899,0.00739832006358412,0.0290899064490036,333,"FCI_exNPL","Excl. NPL","Level"
14,0.0210661372056222,0.00797435122251262,0.00865209845300973,0.00794949667468747,0.034182777736557,332,"FCI_exNPL","Excl. NPL","Level"
15,0.0198665144184288,0.0087992798126332,0.0246352358939112,0.00539298710405817,0.0343400417327993,331,"FCI_exNPL","Excl. NPL","Level"
16,0.01900624187413,0.00883598906381064,0.0322266976309549,0.00447233321481752,0.0335401505334425,330,"FCI_exNPL","Excl. NPL","Level"
17,0.022031035016288,0.00961681632414464,0.0226238484443617,0.00621277980579255,0.0378492902267834,329,"FCI_exNPL","Excl. NPL","Level"
18,0.0224544315834889,0.00988238246364557,0.023745903688443,0.00619935894523988,0.038709504221738,328,"FCI_exNPL","Excl. NPL","Level"
19,0.022047824184539,0.00956245406322804,0.0217765495684237,0.00631898693608156,0.0377766614329965,327,"FCI_exNPL","Excl. NPL","Level"
20,0.0228026708466971,0.0103420084717642,0.0281863997343618,0.00579158070195295,0.0398137609914412,326,"FCI_exNPL","Excl. NPL","Level"
21,0.0217597116209947,0.0107912225929218,0.0446064607309605,0.00400972999978655,0.0395096932422028,325,"FCI_exNPL","Excl. NPL","Level"
22,0.0192387991657042,0.0103960509643847,0.0651710698040709,0.00213881703096364,0.0363387813004448,324,"FCI_exNPL","Excl. NPL","Level"
23,0.0196386803636501,0.0113307433669247,0.0840444258326492,0.0010012660405077,0.0382760946867925,323,"FCI_exNPL","Excl. NPL","Level"
24,0.0203437861105096,0.0109416279349163,0.0639286600513188,0.002346409717009,0.0383411625040102,322,"FCI_exNPL","Excl. NPL","Level"
