"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","fci_type","credit_type"
1,0.514092270645,0.921770432580583,0.577409628563857,-1.0020851686018,2.0302697098918,343,"Purged","Total"
2,0.454764332737849,1.02637709096352,0.657999301444725,-1.2334757479534,2.1430044134291,342,"Purged","Total"
3,-1.12069568278621,1.10528807139725,0.311354253058312,-2.93873277585017,0.697341410277749,341,"Purged","Total"
4,-2.72317204303951,1.19290485675938,0.0230792894351069,-4.68532592328821,-0.761018162790822,340,"Purged","Total"
5,-3.61417655064612,1.33835497705257,0.00728369070330764,-5.8155745887996,-1.41277851249265,339,"Purged","Total"
6,-3.93728276164376,1.71831656301471,0.0225780348271066,-6.76366199256929,-1.11090353071824,338,"Purged","Total"
7,-5.10022064715264,1.73284396641864,0.00348067441394507,-7.95049533025732,-2.24994596404796,337,"Purged","Total"
8,-7.08051182595962,1.93294000536078,0.000290852547583849,-10.2599152044569,-3.90110844746235,336,"Purged","Total"
9,-6.83368028088987,1.94555479418087,0.000507023325314318,-10.0338331405311,-3.63352742124865,335,"Purged","Total"
10,-6.55166181660368,2.1476085012441,0.00247237984270325,-10.0841634491468,-3.01916018406052,334,"Purged","Total"
11,-8.03583775835935,2.4443558502812,0.0011224443762292,-12.0564453442544,-4.01523017246426,333,"Purged","Total"
12,-8.26994616989275,2.60476107199935,0.0016440389507833,-12.5543968665129,-3.98549547327262,332,"Purged","Total"
13,-8.78272676226337,2.77322429648184,0.00168877279782628,-13.3442748046815,-4.22117871984527,331,"Purged","Total"
14,-8.81089436458556,2.76526834280324,0.00158377961458257,-13.3593560277395,-4.26243270143157,330,"Purged","Total"
15,-8.23793200275903,2.76594342655239,0.00312098710711553,-12.7875040798663,-3.68835992565175,329,"Purged","Total"
16,-7.63710139470823,2.91867302551174,0.00930552869277047,-12.4378913066066,-2.83631148280983,328,"Purged","Total"
17,-6.46698786498847,2.89622922669328,0.026255651994956,-11.2308610129978,-1.70311471697918,327,"Purged","Total"
18,-5.76695114754269,2.8335573914098,0.0426642014208175,-10.4277382999782,-1.10616399510713,326,"Purged","Total"
19,-4.89704473467729,2.69383466981713,0.0700366364406026,-9.32800846173362,-0.466081007620958,325,"Purged","Total"
20,-4.45989786500035,2.74087443778372,0.104704957240411,-8.96823512500748,0.0484393950067776,324,"Purged","Total"
21,-3.8866609646267,2.65150280590175,0.143700789063059,-8.2479949717862,0.474673042532796,323,"Purged","Total"
22,-2.89533813550262,2.56353302008524,0.259585708983291,-7.11197472139968,1.32129845039444,322,"Purged","Total"
23,-1.85360390193521,2.3388034099916,0.428649818147077,-5.70059317358637,1.99338536971595,321,"Purged","Total"
24,-1.44073115951541,2.16912446031856,0.507058010888859,-5.00862339537955,2.12716107634873,320,"Purged","Total"
1,-0.782457512919862,0.826132419083438,0.344259715745544,-2.14132441879145,0.576409392951724,343,"Purged","Real_MN"
2,-0.642334627600155,0.978548613162459,0.512012791814984,-2.25190386310876,0.967234607908447,342,"Purged","Real_MN"
3,-2.28671947998302,1.25081206225614,0.068423993334376,-4.34412223721968,-0.229316722746357,341,"Purged","Real_MN"
4,-3.6969366347699,1.52686179399918,0.016007126800305,-6.20840079448308,-1.18547247505672,340,"Purged","Real_MN"
5,-4.13591926792333,1.60607146130808,0.0104565897942889,-6.77767173619918,-1.49416679964748,339,"Purged","Real_MN"
6,-4.94497639126236,1.969072624773,0.0125096599811792,-8.18381263985108,-1.70614014267363,338,"Purged","Real_MN"
7,-6.15219591374751,2.09065629897981,0.00348676251673485,-9.59101950983339,-2.71337231766164,337,"Purged","Real_MN"
8,-7.72951081991697,2.21327432588896,0.000545061788061399,-11.370023122294,-4.08899851753994,336,"Purged","Real_MN"
9,-7.90643644512869,2.37321670315135,0.000963503233926546,-11.810030546849,-4.00284234340837,335,"Purged","Real_MN"
