"horizon","coef_base","se_base","p_base","ci_base_lo","ci_base_hi","coef_regime1","se_regime1","ci_regime1_lo","ci_regime1_hi","coef_interact","se_interact","p_interact","n_obs","analysis","type"
1,-2.66788671457719,1.03722987093677,0.0105341917979701,-4.37397802976994,-0.961795399384436,-1.82697343217414,1.22088210282648,-3.83514578708841,0.181198922740135,0.840913282403051,1.00727726655153,0.404398635032195,345,"COVID_Credit","interaction"
2,-3.12112951556209,1.24933252600291,0.0129571746682711,-5.17609865222641,-1.06616037889777,-0.960266720313295,1.4792648986671,-3.39344095410787,1.47290751348128,2.1608627952488,1.27205298453837,0.0902947503976875,344,"COVID_Credit","interaction"
3,-4.23495280446021,1.2894175572819,0.00112968912340561,-6.35585595021025,-2.11404965871017,-1.50137850840459,1.77168718869395,-4.41554460655129,1.4127875897421,2.73357429605562,1.56790642013929,0.0821688303584892,343,"COVID_Credit","interaction"
4,-6.22098235758142,1.4766625001507,3.24541531592184e-05,-8.64987602673752,-3.79208868842531,-3.22355103136375,1.75977749894522,-6.11812743313139,-0.328974629596113,2.99743132621766,1.52594980559123,0.0503210898290359,342,"COVID_Credit","interaction"
5,-7.01265654702577,1.69637119147689,4.51495810339747e-05,-9.80293885398252,-4.22237424006903,-3.50493605598882,1.72221901782172,-6.33773425385768,-0.672137858119969,3.50772049103695,1.53334883454287,0.0227842929238715,341,"COVID_Credit","interaction"
6,-6.76593687574228,1.8935957471058,0.0004049115462103,-9.88062470834914,-3.65124904313542,-3.18800683301552,2.09110966788688,-6.62757615459254,0.251562488561506,3.57793004272676,1.82963613138347,0.0513551401885731,340,"COVID_Credit","interaction"
7,-8.15944890221958,1.91754035509472,2.72084667936691e-05,-11.3135221101229,-5.00537569431622,-4.27582161309795,1.99005859135096,-7.54917670492751,-1.00246652126838,3.88362728912163,1.84623176137084,0.0361703337349574,339,"COVID_Credit","interaction"
8,-9.68791668098379,1.97326992196817,1.43604588973135e-06,-12.9336568690874,-6.4421764928802,-5.35289897358666,1.91033487735969,-8.49512022530364,-2.21067772186968,4.33501770739714,1.81741558997661,0.0176290462845909,338,"COVID_Credit","interaction"
9,-9.30541224492599,2.20595031928039,3.18355443406415e-05,-12.9338776284691,-5.67694686138288,-5.02154601839325,1.91782811542673,-8.17609254992241,-1.86699948686409,4.28386622653274,1.84891687138221,0.0211176735279439,337,"COVID_Credit","interaction"
10,-9.98008229825112,2.47994943233587,7.09567295735673e-05,-14.059236116685,-5.90092847981723,-5.94582636947391,1.88401279071241,-9.04475164150019,-2.84690109744763,4.03425592877721,1.91002479715786,0.035427034037201,336,"COVID_Credit","interaction"
11,-11.6497991209372,2.7196518807906,2.41929261470551e-05,-16.123228381101,-7.1763698607734,-7.66719614685333,1.88511268914321,-10.7679305908028,-4.56646170290389,3.98260297408388,1.99342714395686,0.0465564726229848,335,"COVID_Credit","interaction"
12,-10.8771167233055,2.78744946873115,0.000115766281015694,-15.4620630918919,-6.2921703547191,-6.75379075068115,1.76243212584524,-9.65273362513348,-3.85484787622881,4.12332597262433,2.08933481854283,0.049278943538099,334,"COVID_Credit","interaction"
13,-11.0947617005108,2.9864875465565,0.000239029119368858,-16.0070965733096,-6.18242682771193,-6.43728090117457,1.8119180201753,-9.41762082839863,-3.4569409739505,4.65748079933622,2.29731814827097,0.0434393203510613,333,"COVID_Credit","interaction"
14,-10.6603928998136,3.00328919542501,0.000442777971075442,-15.6003640256926,-5.72042177393461,-6.90814481960359,1.87810351365193,-9.99735019582427,-3.81893944338291,3.75224808021001,2.44544270045401,0.125908099328852,332,"COVID_Credit","interaction"
15,-10.7970633114792,3.07079727456061,0.000500472004470044,-15.8480753461729,-5.74605127678549,-6.85746704448545,2.01911511691559,-10.1786158677766,-3.5363182211943,3.93959626699376,2.64536251059678,0.137395258664324,331,"COVID_Credit","interaction"
16,-9.52677098552354,2.91521622696336,0.0011998891026056,-14.321874969792,-4.73166700125508,-4.76134991642937,2.13209151341452,-8.2683283752617,-1.25437145759704,4.76542106909418,2.66735061859357,0.0749440293755355,330,"COVID_Credit","interaction"
17,-8.89656836277902,2.86170942770408,0.00204591447975559,-13.6036614942193,-4.18947523133876,-3.61377860613127,2.32207408325358,-7.43325058402094,0.205693371758396,5.28278975664775,2.68423450711599,0.0499164842440754,329,"COVID_Credit","interaction"
18,-8.42985694870262,2.91073092558796,0.00403720729856329,-13.2175832687358,-3.64213062866946,-2.45908958067817,2.40911058461084,-6.42172386350249,1.50354470214615,5.97076736802445,2.59466961159968,0.0220225582020481,328,"COVID_Credit","interaction"
19,-7.71582847930652,2.80006415991652,0.00619430076012853,-12.321524168442,-3.11013279017101,-0.770678378059829,2.27508550498824,-4.51286102256445,2.97150426644479,6.94515010124669,2.45267332556923,0.00492390169310466,327,"COVID_Credit","interaction"
20,-7.34526356833237,2.9217722078699,0.0124298888984351,-12.1511511815732,-2.53937595509157,0.178160386145525,2.25533125293093,-3.53152940521491,3.88785017750597,7.5234239544779,2.33158508637767,0.00138208071523601,326,"COVID_Credit","interaction"
21,-6.76301547440081,2.71035789170132,0.0130935792569041,-11.2211574829023,-2.30487346589935,1.4836836600886,2.15163952982617,-2.05544842443812,5.02281574461533,8.24669913448941,2.17289896557523,0.000176580993320905,325,"COVID_Credit","interaction"
22,-5.98898139139294,2.38964228346547,0.0127033586457335,-9.91959316846771,-2.05836961431818,3.08438137183803,2.0572371338837,-0.299472589329829,6.46823533300589,9.07336276323097,2.02001112795738,9.90836645900554e-06,324,"COVID_Credit","interaction"
23,-4.65991849216177,2.05522249501759,0.0240437157155556,-8.04045866728371,-1.27937831703984,4.97862318752278,2.11237005916192,1.50408363424661,8.45316274079895,9.63854167968455,1.87854046247406,5.04424498548488e-07,323,"COVID_Credit","interaction"
24,-3.81310009300069,1.90587261880416,0.0462814100097094,-6.94798158254821,-0.678218603453158,5.77401315017659,2.11524236890469,2.29474906780228,9.2532772325509,9.58711324317727,1.85569576937349,4.24469402066329e-07,322,"COVID_Credit","interaction"
