"horizon","coef_base","se_base","p_base","ci_base_lo","ci_base_hi","coef_regime1","se_regime1","ci_regime1_lo","ci_regime1_hi","coef_interact","se_interact","p_interact","n_obs","analysis","type","regime","coef","se","p_value","ci_lower","ci_upper"
1,-3.16585463215896,1.0415143380276,0.00255317896010939,-4.87899326858562,-1.45271599573231,-1.99532960519774,0.997825120239885,-3.6366058732876,-0.354053337107878,1.17052502696122,0.61806970638221,0.0590999415343886,345,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
2,-3.84994247113551,1.31004542493897,0.0035222441508313,-6.00477543981756,-1.69510950245347,-2.00906332441498,1.19451472174441,-3.9738651969232,-0.044261451906757,1.84087914672054,0.936421014325483,0.0501346416177323,344,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
3,-5.24240871666372,1.40736195483442,0.000229029397264708,-7.55731313250664,-2.92750430082081,-2.78842146762729,1.34597946544478,-5.00236067316634,-0.574482262088232,2.45398724903644,1.2470480942619,0.0499088723472937,343,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
4,-7.51340446981616,1.58616481839325,3.21134876737625e-06,-10.1224134242931,-4.90439551533919,-4.45511737251881,1.39742915433196,-6.75368378542946,-2.15655095960817,3.05828709729734,1.54483276407276,0.0485567367892831,342,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
5,-8.45340472081686,1.89549833906481,1.12250266221168e-05,-11.5712220387081,-5.33558740292561,-4.92442257848299,1.53185923481714,-7.44410679685107,-2.4047383601149,3.52898214233388,1.86540448769249,0.0593817600115874,341,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
6,-8.38192255899557,2.15678781527243,0.000122828968127977,-11.9295228195112,-4.83432229847996,-4.51211074478068,1.77603939398253,-7.43343558358153,-1.59078590597983,3.86981181421489,2.14533467329157,0.072162095700026,340,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
7,-9.95450225131478,2.31936703546521,2.32732598763054e-05,-13.7695215318314,-6.13948297079814,-5.60457503988746,1.82990803320764,-8.61450590529668,-2.59464417447824,4.34992721142732,2.41538107723324,0.0726216079692428,339,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
8,-11.7093383216167,2.46621225530499,3.06506439804955e-06,-15.7658964945873,-7.65278014864609,-6.7741781435694,1.9579371110485,-9.99469810202041,-3.5536581851184,4.93516017804727,2.65502714414342,0.063943106970509,338,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
9,-11.687555953938,2.79441901128002,3.6999396968257e-05,-16.2839661998641,-7.09114570801194,-6.13880846639321,2.14483392235224,-9.66674632278284,-2.61087061000359,5.54874748754482,2.88494763299243,0.0552969653677617,337,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
10,-12.6395126784767,3.09913092237119,5.69328928236954e-05,-17.7371294165364,-7.54189594041694,-6.6058555681737,2.24179710882165,-10.2932836735083,-2.91842746283909,6.03365711030295,3.05345232423805,0.0489885855113214,336,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
11,-14.6143486659098,3.29280979951001,1.24023055914884e-05,-20.0305388074952,-9.19815852432442,-7.92463141204323,2.4005199832099,-11.8731354129955,-3.97612741109094,6.68971725386657,3.25024853357517,0.0403589576479441,335,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
12,-14.1126923326454,3.45062986634691,5.43903639162057e-05,-19.7884733835732,-8.4369112817176,-7.06301802291319,2.45598808630442,-11.1027589344206,-3.02327711140576,7.04967430973219,3.33886375622917,0.0354964329734682,334,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
13,-14.2665109788544,3.72848653112369,0.000155875438778685,-20.3993255726129,-8.13369638509591,-6.88110431609991,2.68042813551959,-11.2900162565921,-2.47219237560774,7.38540666275451,3.3979176057172,0.0304613979646988,333,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
14,-14.0805858407052,3.71912399291191,0.000182307257539263,-20.1980004295286,-7.96317125188185,-6.34188333250807,2.57551879927555,-10.5782347707781,-2.10553189423799,7.73870250819717,3.38741694410222,0.022983812944377,332,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
15,-14.3768749007641,3.82353459568555,0.00020147183091731,-20.6660296482519,-8.08772015327632,-6.1724022213481,2.59268131977229,-10.4369834937049,-1.90782094899131,8.20447267941603,3.38076239176213,0.0157771670939661,331,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
16,-13.218147080571,3.80662300264579,0.000586056282021362,-19.4794847329098,-6.95680942823219,-4.52456667808496,2.67658374119881,-8.92715515263516,-0.121978203534756,8.69358040248606,3.34931745324166,0.00987291940808082,330,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
17,-12.7606873586196,3.73546189405189,0.000716683619668192,-18.9049754033899,-6.61639931384933,-3.44933456515097,2.73864932312326,-7.95401183723846,1.05534270693652,9.31135279346863,3.27744172204205,0.00478309485100962,329,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
18,-12.5322369198381,3.74153670720723,0.000906040482797469,-18.68651714306,-6.37795669661623,-2.55189733715183,2.88658508696498,-7.2999072869502,2.19611261264654,9.98033958268628,3.20921628300079,0.00203927411180437,328,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
19,-11.867867081879,3.60450739400848,0.00110403049524337,-17.7967541422872,-5.93898002147072,-1.34102870358065,2.85041253185313,-6.0295400949072,3.34748268774589,10.5268383782983,3.11058024002314,0.000802633260986833,327,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
20,-11.5783108295163,3.67942870174857,0.00180660277966016,-17.6304324746968,-5.52618918433586,-0.686821270564279,2.93493596683035,-5.5143613404755,4.14071879934694,10.8914895589521,2.98651146511746,0.000309878595118049,326,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
21,-10.899491554245,3.56500500491231,0.00242247486046803,-16.7634029666751,-5.0355801418148,0.189581545126991,2.84766925273662,-4.49441755359503,4.87358064384901,11.089073099372,2.83041940366167,0.000109412763701917,325,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
22,-10.1124246808669,3.37717401739731,0.0029668522157373,-15.6673816122291,-4.55746774950463,1.23731094679958,2.73657981816526,-3.26396229255175,5.73858418615091,11.3497356276665,2.67760059569017,2.9511321194657e-05,324,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
23,-8.75269378152614,3.23517680899368,0.00719073319388528,-14.0740860896287,-3.43130147342359,2.7223451929369,2.7615213359923,-1.81995319247391,7.26464357834772,11.475038974463,2.51465769961627,7.21916160346826e-06,323,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
24,-7.97759011773328,3.03571050753989,0.00901167947090618,-12.970889556435,-2.9842906790316,3.72561054590543,2.59961571434628,-0.550376790517084,8.00159788232794,11.7032006636387,2.38490844954186,1.48455846689298e-06,322,"IT_Credit","interaction",NA,NA,NA,NA,NA,NA
1,-4.35784772906636,1.11321827928841,0.000109518673009404,-6.18892885334256,-2.52676660479015,-3.08578920282604,1.04918439299098,-4.81154395697813,-1.36003444867396,1.27205852624031,0.607092138285538,0.0368853421681654,345,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
2,-5.00234392864091,1.36425112990496,0.000285352748364523,-7.24633734773773,-2.75835050954409,-3.04021772209194,1.28719001732398,-5.157456890663,-0.922978553520867,1.96212620654898,0.938191237306157,0.0372412341744972,344,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
3,-6.69522025120333,1.58259964630692,3.01061384801553e-05,-9.29836501944338,-4.09207548296328,-4.03863384333765,1.54614854634411,-6.5818218875975,-1.4954457990778,2.65658640786568,1.27184722951509,0.0374813455097121,343,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
4,-9.18791625541792,1.69322759748893,1.10551791712025e-07,-11.9730278104019,-6.40280470043392,-5.81057199147412,1.59651874256147,-8.43661163567235,-3.18453234727589,3.3773442639438,1.59291227051267,0.0347211036568768,342,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
5,-10.9149195919676,2.03231497653204,1.47262699024919e-07,-14.2577802522241,-7.57205893171111,-6.87750843769934,1.81019648910546,-9.85501669829928,-3.9000001770994,4.03741115426828,1.93480227397469,0.0376704786427034,341,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
6,-11.6684738014823,2.37236161308751,1.37273695340929e-06,-15.5706614052097,-7.76628619775482,-7.07308164031329,2.05504004574068,-10.4533217130804,-3.69284156754621,4.59539216116897,2.23270246888156,0.0403468342583194,340,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
7,-12.5017878906912,2.52945437964907,1.22599801182357e-06,-16.6623701012653,-8.34120568011717,-7.28248245290041,2.13044628293571,-10.7867547484125,-3.77821015738832,5.21930543779082,2.52144513753883,0.0392284934914194,339,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
8,-13.9037385460864,2.82307459445492,1.33420970030571e-06,-18.5472830319302,-9.26019406024272,-7.96763198935182,2.3664986664491,-11.8601759040364,-4.07508807466719,5.93610655673462,2.78610023394058,0.0338577124229741,338,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
9,-14.304384578849,3.26227659719845,1.56311344408434e-05,-19.6703520718698,-8.93841708582825,-7.64130599904666,2.57715023752915,-11.8803409144453,-3.40227108364798,6.66307857980237,3.03186580127141,0.0286660875825591,337,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
10,-16.0902148107508,3.66824872939195,1.55390745889176e-05,-22.1239470378513,-10.0564825836503,-8.73391184561823,2.79736476469065,-13.3351674247259,-4.13265626651057,7.35630296513257,3.22814827340762,0.023319358386917,336,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
11,-17.5700736942278,3.74648896026455,4.01964908464992e-06,-23.7324996488526,-11.407647739603,-9.42378105612314,3.06024555383639,-14.457437054713,-4.39012505753324,8.1462926381047,3.46708406291904,0.0193856209403889,335,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
12,-15.8869452032409,3.65355731767324,1.83459601253178e-05,-21.8965122084908,-9.87737819799094,-7.23224582350408,2.98307486610805,-12.1389673364897,-2.32552431051849,8.65469937973677,3.5689991560471,0.0158511017604953,334,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
13,-16.242489032602,3.80400778448056,2.56881174959415e-05,-22.4995250338565,-9.98545303134754,-7.11466199878273,3.18479536800738,-12.3531842109479,-1.87613978661755,9.1278270338193,3.66073884555714,0.0131466393770052,333,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
14,-16.190287744395,3.69410338625636,1.58401801179843e-05,-22.2665470976124,-10.1140283911775,-6.48755716334036,3.0834112635925,-11.5593173636435,-1.41579696303722,9.70273058105461,3.7004848609419,0.0091525136391222,332,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
15,-16.0392289056812,3.77218928199315,2.77530871848174e-05,-22.2439281277151,-9.83452968364733,-5.69660622297568,3.1697866153575,-10.9104412339087,-0.482771212042664,10.3426226827055,3.74014080147541,0.00601292608301161,331,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
16,-14.7915795395025,3.71600441828538,8.49753511875733e-05,-20.9038628846869,-8.67929619431813,-3.81061910631287,3.09567999598134,-8.90255957558388,1.28132136295815,10.9809604331897,3.74789251615909,0.00363208930773922,330,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
17,-13.6883023427651,3.51671759038043,0.00012068838537339,-19.4727880262664,-7.90381665926378,-1.98740735330128,3.14090249489175,-7.1537322139249,3.17891750732234,11.7008949894638,3.71322081134752,0.00177909277517655,329,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
18,-12.6334336411744,3.49455280293309,0.000348366854102874,-18.3814614936524,-6.88540578869649,-0.217143946570467,3.38017704659801,-5.77704042140532,5.34275252826439,12.416289694604,3.67220789000936,0.00081100194112436,328,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
19,-11.7797084774765,3.45219974787372,0.000727082733452177,-17.4580717537276,-6.1013452012255,1.25638042309018,3.51438876053779,-4.52427467619789,7.03703552237824,13.0360889005667,3.58527013491643,0.000322559109309447,327,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
20,-11.2455256046345,3.4196111283059,0.00111955248437798,-16.8702853717921,-5.62076583747695,2.24676299319431,3.56763985374861,-3.62148235990071,8.11500834628933,13.4922885978288,3.47949611984635,0.000128090303158243,326,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
21,-10.0756621949154,3.46336371960144,0.0038786791224026,-15.772388570554,-4.37893581927687,3.7310551635529,3.69936813103421,-2.35386392420741,9.81597425131321,13.8067173584683,3.34001978868862,4.57068586696618e-05,325,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
22,-8.90421286460639,3.4254521211965,0.00977473851526815,-14.5385802101051,-3.26984551910771,5.19713397867177,3.72516418431095,-0.930215840881824,11.3244837982254,14.1013468432782,3.18267877026667,1.29560665864607e-05,324,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
23,-8.31660623068153,3.39948001041031,0.0149724126108841,-13.908253255554,-2.7249592058091,5.9255670402546,3.59476505709469,0.012704698053982,11.8384293824552,14.2421732709361,3.00527895645215,3.25113455713881e-06,323,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
24,-7.97859740791008,3.26449918631866,0.0150716228461065,-13.3482207347065,-2.6089740811137,6.46700483191057,3.30366768335097,1.03295506070836,11.9010546031128,14.4456022398206,2.85854117149252,7.36724033366004e-07,322,"IT_Endo_Credit","interaction",NA,NA,NA,NA,NA,NA
1,-2.66788671457719,1.03722987093677,0.0105341917979701,-4.37397802976994,-0.961795399384436,-1.82697343217414,1.22088210282648,-3.83514578708841,0.181198922740135,0.840913282403051,1.00727726655153,0.404398635032195,345,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
2,-3.12112951556209,1.24933252600291,0.0129571746682711,-5.17609865222641,-1.06616037889777,-0.960266720313295,1.4792648986671,-3.39344095410787,1.47290751348128,2.1608627952488,1.27205298453837,0.0902947503976875,344,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
3,-4.23495280446021,1.2894175572819,0.00112968912340561,-6.35585595021025,-2.11404965871017,-1.50137850840459,1.77168718869395,-4.41554460655129,1.4127875897421,2.73357429605562,1.56790642013929,0.0821688303584892,343,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
4,-6.22098235758142,1.4766625001507,3.24541531592184e-05,-8.64987602673752,-3.79208868842531,-3.22355103136375,1.75977749894522,-6.11812743313139,-0.328974629596113,2.99743132621766,1.52594980559123,0.0503210898290359,342,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
5,-7.01265654702577,1.69637119147689,4.51495810339747e-05,-9.80293885398252,-4.22237424006903,-3.50493605598882,1.72221901782172,-6.33773425385768,-0.672137858119969,3.50772049103695,1.53334883454287,0.0227842929238715,341,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
6,-6.76593687574228,1.8935957471058,0.0004049115462103,-9.88062470834914,-3.65124904313542,-3.18800683301552,2.09110966788688,-6.62757615459254,0.251562488561506,3.57793004272676,1.82963613138347,0.0513551401885731,340,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
7,-8.15944890221958,1.91754035509472,2.72084667936691e-05,-11.3135221101229,-5.00537569431622,-4.27582161309795,1.99005859135096,-7.54917670492751,-1.00246652126838,3.88362728912163,1.84623176137084,0.0361703337349574,339,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
8,-9.68791668098379,1.97326992196817,1.43604588973135e-06,-12.9336568690874,-6.4421764928802,-5.35289897358666,1.91033487735969,-8.49512022530364,-2.21067772186968,4.33501770739714,1.81741558997661,0.0176290462845909,338,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
9,-9.30541224492599,2.20595031928039,3.18355443406415e-05,-12.9338776284691,-5.67694686138288,-5.02154601839325,1.91782811542673,-8.17609254992241,-1.86699948686409,4.28386622653274,1.84891687138221,0.0211176735279439,337,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
10,-9.98008229825112,2.47994943233587,7.09567295735673e-05,-14.059236116685,-5.90092847981723,-5.94582636947391,1.88401279071241,-9.04475164150019,-2.84690109744763,4.03425592877721,1.91002479715786,0.035427034037201,336,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
11,-11.6497991209372,2.7196518807906,2.41929261470551e-05,-16.123228381101,-7.1763698607734,-7.66719614685333,1.88511268914321,-10.7679305908028,-4.56646170290389,3.98260297408388,1.99342714395686,0.0465564726229848,335,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
12,-10.8771167233055,2.78744946873115,0.000115766281015694,-15.4620630918919,-6.2921703547191,-6.75379075068115,1.76243212584524,-9.65273362513348,-3.85484787622881,4.12332597262433,2.08933481854283,0.049278943538099,334,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
13,-11.0947617005108,2.9864875465565,0.000239029119368858,-16.0070965733096,-6.18242682771193,-6.43728090117457,1.8119180201753,-9.41762082839863,-3.4569409739505,4.65748079933622,2.29731814827097,0.0434393203510613,333,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
14,-10.6603928998136,3.00328919542501,0.000442777971075442,-15.6003640256926,-5.72042177393461,-6.90814481960359,1.87810351365193,-9.99735019582427,-3.81893944338291,3.75224808021001,2.44544270045401,0.125908099328852,332,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
15,-10.7970633114792,3.07079727456061,0.000500472004470044,-15.8480753461729,-5.74605127678549,-6.85746704448545,2.01911511691559,-10.1786158677766,-3.5363182211943,3.93959626699376,2.64536251059678,0.137395258664324,331,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
16,-9.52677098552354,2.91521622696336,0.0011998891026056,-14.321874969792,-4.73166700125508,-4.76134991642937,2.13209151341452,-8.2683283752617,-1.25437145759704,4.76542106909418,2.66735061859357,0.0749440293755355,330,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
17,-8.89656836277902,2.86170942770408,0.00204591447975559,-13.6036614942193,-4.18947523133876,-3.61377860613127,2.32207408325358,-7.43325058402094,0.205693371758396,5.28278975664775,2.68423450711599,0.0499164842440754,329,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
18,-8.42985694870262,2.91073092558796,0.00403720729856329,-13.2175832687358,-3.64213062866946,-2.45908958067817,2.40911058461084,-6.42172386350249,1.50354470214615,5.97076736802445,2.59466961159968,0.0220225582020481,328,"COVID_Credit","interaction",NA,NA,NA,NA,NA,NA
