"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","variable","variable_label"
1,-2.3378990944956,1.39080922524748,-1.68096317744771,0.0937049103293231,-4.62557669304149,-0.0502214959497129,345,0.285131486392288,"IMAEP","Aggregate GDP (IMAE-P)"
2,-2.80473546623101,1.47863831050004,-1.89683673574135,0.0587145921964101,-5.2368790542064,-0.372591878255618,344,0.205793514120226,"IMAEP","Aggregate GDP (IMAE-P)"
3,-2.29402937081006,1.36547282249914,-1.68002565339341,0.0938929777015864,-4.54003229540144,-0.0480264462186839,343,0.145224736019003,"IMAEP","Aggregate GDP (IMAE-P)"
4,-1.31316422333028,1.3285257462155,-0.988437165836658,0.323660579903955,-3.49839461549125,0.872066168830694,342,0.112763391295753,"IMAEP","Aggregate GDP (IMAE-P)"
5,-1.8975948528349,1.34846249501691,-1.40722849901072,0.16030079667806,-4.1156182785715,0.320428572901696,341,0.105024612142769,"IMAEP","Aggregate GDP (IMAE-P)"
6,-1.51202909909166,1.2851510435733,-1.17653804714467,0.240230490494908,-3.62591445429368,0.601856256110354,340,0.0833944217435869,"IMAEP","Aggregate GDP (IMAE-P)"
7,-1.3231602740311,1.37819853825539,-0.96006506849589,0.337729641352314,-3.59009513833969,0.943774590277499,339,0.0622544453854386,"IMAEP","Aggregate GDP (IMAE-P)"
8,-0.58988625311963,1.128294783975,-0.522812177719597,0.60145900737108,-2.44576602081133,1.26599351457207,338,0.0462564075731052,"IMAEP","Aggregate GDP (IMAE-P)"
9,-1.40369100904094,1.22415356654063,-1.14666251637666,0.252362036590781,-3.41724444291087,0.609862424828992,337,0.0785006796675856,"IMAEP","Aggregate GDP (IMAE-P)"
10,-1.08618364338381,1.15033079807868,-0.94423590605241,0.345750528288526,-2.97830942879751,0.805942142029883,336,0.133109757089564,"IMAEP","Aggregate GDP (IMAE-P)"
11,-1.12518930290272,1.19237555513955,-0.943653447148222,0.346049895387703,-3.08647255946229,0.836093953656856,335,0.141156095653739,"IMAEP","Aggregate GDP (IMAE-P)"
12,0.340498203409734,1.17129046777917,0.290703470041328,0.771464682383734,-1.58610317073051,2.26709957754998,334,0.0857884635760392,"IMAEP","Aggregate GDP (IMAE-P)"
13,1.56418353894246,1.64268299276105,0.952212658093793,0.341703354673108,-1.13778953963204,4.26615661751697,333,0.0547151237034865,"IMAEP","Aggregate GDP (IMAE-P)"
14,2.83546801149841,1.78845527353885,1.5854285278758,0.113853599607272,-0.106279131822458,5.77721515481928,332,0.0463403328640107,"IMAEP","Aggregate GDP (IMAE-P)"
15,4.42721797181427,1.53003667644076,2.89353715501322,0.00407065818603115,1.91053159520192,6.94390434842662,331,0.0628685007347478,"IMAEP","Aggregate GDP (IMAE-P)"
16,2.33270983545916,1.53053214284294,1.52411685462952,0.128470258023621,-0.184791510861853,4.85021118178017,330,0.0446079525603012,"IMAEP","Aggregate GDP (IMAE-P)"
17,0.747495347016463,1.38866304713908,0.538284178121144,0.590757430941994,-1.53665210268374,3.03164279671666,329,0.046312897991775,"IMAEP","Aggregate GDP (IMAE-P)"
18,2.30327725254112,1.19080240913584,1.93422286927736,0.0539754782957087,0.344581590891479,4.26197291419075,328,0.0741522559352738,"IMAEP","Aggregate GDP (IMAE-P)"
19,0.755275962321789,1.4896116586867,0.507028766804679,0.612488264710172,-1.69491717721822,3.2054691018618,327,0.0739689010054449,"IMAEP","Aggregate GDP (IMAE-P)"
20,1.26899943010354,1.24589757775132,1.0185423366774,0.309201932397771,-0.780319719470778,3.31831857967786,326,0.0924752670018367,"IMAEP","Aggregate GDP (IMAE-P)"
21,2.37552515036662,1.46335390800779,1.62334288196945,0.105519587553727,-0.0314778327335992,4.78252813346683,325,0.125000086638364,"IMAEP","Aggregate GDP (IMAE-P)"
22,1.89117103299182,1.38410526398112,1.36634913702461,0.172810180568776,-0.385479530550145,4.16782159653379,324,0.121649606111271,"IMAEP","Aggregate GDP (IMAE-P)"
23,1.72098751060388,0.889185078923393,1.9354660254619,0.0538364846223495,0.258408208505609,3.18356681270216,323,0.110496933906137,"IMAEP","Aggregate GDP (IMAE-P)"
24,1.44856198361353,0.985906786712701,1.46926870079012,0.142770733121973,-0.173110370346925,3.07023433757399,322,0.120479223047889,"IMAEP","Aggregate GDP (IMAE-P)"
1,-2.71628662608278,1.40517049912617,-1.93306550896988,0.0540731259956486,-5.02758641805566,-0.404986834109897,345,0.29236701911819,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
2,-2.72907407826759,1.70531512861353,-1.60033417429798,0.110472721255188,-5.53406785266277,0.0759196961275923,344,0.246399686041385,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
3,-2.33059567858847,1.41260910169494,-1.64985180669731,0.0999189837397692,-4.65413088297605,-0.00706047420088574,343,0.213602242881197,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
4,-1.18272764000783,1.47138867361368,-0.803817279021928,0.422079395574321,-3.60294663645661,1.23749135644095,342,0.190387399212703,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
5,-1.90002180291816,1.49030380229126,-1.27492246882614,0.203233583206648,-4.35135341737652,0.551309811540196,341,0.157195577342034,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
6,-1.79706228556686,1.51210888261896,-1.18844767478276,0.235514237782014,-4.28426006548819,0.690135494354467,340,0.135215790733839,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
7,-2.47294721908056,1.64179416318056,-1.50624680885078,0.13296625696577,-5.17345830309585,0.227563864934738,339,0.10956263838764,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
8,-1.67877255186993,1.32197209040907,-1.26990014694671,0.205023116306997,-3.8532231395079,0.495678035768043,338,0.086264508925558,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
9,-2.7688457521411,1.25350048574037,-2.20889084897778,0.0278774078175321,-4.83067057249657,-0.70702093178563,337,0.100658316295195,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
10,-2.08796078220142,1.09407645084316,-1.90842310936527,0.0572173607943303,-3.88755640053299,-0.28836516386986,336,0.164993830676299,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
11,-2.2875664734613,1.25962859903184,-1.81606425514596,0.0702846242959028,-4.35947114319061,-0.21566180373198,335,0.165100220322498,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
12,-0.487950855015272,1.08736136714838,-0.44874764706321,0.653914614718819,-2.2765011435762,1.30059943354565,334,0.0888773720916208,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
13,0.0377208131695417,1.77586964071466,0.0212407556865276,0.983066759237452,-2.88332480635297,2.95876643269205,333,0.0635361063408382,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
14,1.91871467295823,1.91915929633564,0.999768323881052,0.318175679596907,-1.23802145631709,5.07545080223354,332,0.0491600501004361,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
15,2.82317801572847,1.38101127984734,2.04428309668879,0.0417437368426429,0.551616603210674,5.09473942824627,331,0.0567342697292415,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
16,0.122578791922837,1.28642517275901,0.095286375390137,0.924147191941179,-1.9934023192915,2.23855990313718,330,0.056086202520459,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
17,-1.27355883801782,1.22162690628971,-1.04251046818037,0.29796696968881,-3.28295628560996,0.73583860957431,329,0.0538513697857107,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
18,1.27260566547965,1.05656178231018,1.20447823003506,0.229303301154938,-0.465283814251554,3.01049514521086,328,0.04919016041933,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
19,0.308146186295952,1.50365791880913,0.20493104345169,0.83775793872493,-2.16515099515154,2.78144336774345,327,0.0360613497392194,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
20,1.69798375992679,1.45656717768807,1.16574352761532,0.244600074344512,-0.697856045191904,4.09382356504548,326,0.0489277004314308,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
21,2.41042580369591,1.42989537738987,1.68573578305841,0.0928400917486864,0.0584572060350443,4.76239440135678,325,0.0739548896035864,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
22,2.33075792355446,1.34938791452707,1.72727048942878,0.0851055924484706,0.111212318180124,4.5503035289288,324,0.0726810257177643,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
23,2.46271511750267,0.856925827776669,2.87389531004368,0.00433274417464127,1.05319756165582,3.87223267334951,323,0.0775027747667913,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
24,1.83867214082808,0.768673754690978,2.39200587974708,0.017350169140713,0.574316327482222,3.10302795417394,322,0.0921171172196166,"IMAEP_SANB","Non-Agro GDP (IMAE-P ex Agro/Binational)"
