"horizon_q","horizon_m","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","variable","variable_label","frequency"
1,3,-1.5131907606115,1.29971426233709,-1.16424879256964,0.246987056537299,-3.65103047901721,0.62464895779422,112,0.12401945049027,"Consumo","Consumption","quarterly"
2,6,-1.72898462034447,0.902806848921685,-1.91512129356304,0.0582508828914077,-3.21396974022993,-0.243999500459007,111,0.155765550585966,"Consumo","Consumption","quarterly"
3,9,-1.57460727911576,0.874211831612738,-1.80117360824429,0.0746302885209534,-3.01255778106786,-0.136656777163662,110,0.116516787346488,"Consumo","Consumption","quarterly"
4,12,-0.0721542415057331,0.73373326896553,-0.0983385169483473,0.92185839530782,-1.27903807017864,1.13472958716718,109,0.0543662466837867,"Consumo","Consumption","quarterly"
5,15,1.49438028769083,0.867876865289466,1.7218805425726,0.0881830184930672,0.0668498780721805,2.92191069730948,108,0.0769849997430674,"Consumo","Consumption","quarterly"
6,18,1.18935488556112,0.902452407688161,1.31791424725424,0.190573825468059,-0.295047230375844,2.67375700149808,107,0.0503542053465491,"Consumo","Consumption","quarterly"
7,21,2.08264007321275,0.793578677885375,2.62436495743849,0.010070573385972,0.777319306621634,3.38796083980386,106,0.115647474334987,"Consumo","Consumption","quarterly"
8,24,1.27662881755881,0.927630258204643,1.37622593298069,0.171920579717131,-0.24918717711903,2.80244481223664,105,0.186325425124332,"Consumo","Consumption","quarterly"
1,3,-7.73447084056952,2.44068586648518,-3.16897432265952,0.00200928664336749,-11.7490418403069,-3.71989984083218,112,0.297000919250075,"FBKf","Investment (FBKf)","quarterly"
2,6,-7.94794110949611,2.49294879311689,-3.18816861840108,0.00189656255922319,-12.0484769736587,-3.84740524533351,111,0.350269727959838,"FBKf","Investment (FBKf)","quarterly"
3,9,-6.09421385058923,2.18993722488044,-2.78282581863594,0.00642185703552325,-9.69634003772987,-2.49208766344859,110,0.279049796186445,"FBKf","Investment (FBKf)","quarterly"
4,12,-1.75837331541258,2.38166520594253,-0.738295756693779,0.46204682436967,-5.67586396759128,2.15911733676611,109,0.153493020618371,"FBKf","Investment (FBKf)","quarterly"
5,15,2.98769516388528,3.1986249037377,0.934056119051052,0.352524911183272,-2.27357461028497,8.24896493805553,108,0.146648752136222,"FBKf","Investment (FBKf)","quarterly"
6,18,0.514927502369767,3.19885288143153,0.160972549053063,0.872443052102256,-4.74671726173704,5.77657226647658,107,0.0805116521677967,"FBKf","Investment (FBKf)","quarterly"
7,21,2.06846161479665,1.68261953605227,1.2293103523864,0.221898875256832,-0.699201231858326,4.83612446145163,106,0.0623006776500909,"FBKf","Investment (FBKf)","quarterly"
8,24,4.00795405403683,1.25547803187302,3.19237290680223,0.00190256536458582,1.94287645975259,6.07303164832107,105,0.10740087858643,"FBKf","Investment (FBKf)","quarterly"
