"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","credit_type"
1,-0.713982218990894,1.09069652863643,0.51365215499373,-2.5080183600219,1.08005392204012,-1.62408587571726,1.18896003780575,0.173852867567568,-3.57975110620241,0.331579354767897,0.650773364591303,173,"Cred_Total"
2,-1.58912616554431,1.12028448181885,0.157989043684594,-3.4318301586815,0.253577827592872,-2.030980000746,1.34667117061811,0.133488582826243,-4.24605696004817,0.184096958556179,0.832688933886601,172,"Cred_Total"
3,-2.27065730259381,1.28290831987921,0.0786555326042455,-4.38085370559334,-0.160460899594278,-2.70076087344439,1.44215704698135,0.0629425449906171,-5.07289812280528,-0.328623624083496,0.84993152204955,171,"Cred_Total"
4,-3.59501228313306,1.63755232267886,0.029596381298916,-6.28854616041419,-0.901478405851923,-2.62350114945854,1.50694480910898,0.0836406323533488,-5.10220478433714,-0.144797514579933,0.707299499190905,170,"Cred_Total"
5,-2.64604293594956,1.93625247446132,0.173711036700769,-5.83089484126102,0.538808969361894,-4.03903139390329,1.88261504769598,0.033455332397207,-7.13565758325944,-0.942405204547133,0.658720601202623,169,"Cred_Total"
6,-4.64645278373888,1.85968521703149,0.0135075575299933,-7.70536275796116,-1.5875428095166,-2.6532157027077,2.23924399480649,0.237870315484807,-6.33644430919446,1.03001290377906,0.551461029462853,168,"Cred_Total"
7,-5.86597340071927,2.02791788220064,0.00437064386696024,-9.20160148441674,-2.5303453170218,-2.33778063765279,2.26217238246608,0.303015765720797,-6.05872308574158,1.383161810436,0.301782049319468,167,"Cred_Total"
8,-7.92860583238009,1.61369838015568,2.26764626497235e-06,-10.5829034657849,-5.27430819897531,-1.25083861592939,2.3998885766025,0.602971300956187,-5.19830404543342,2.69662681357465,0.0297704833507354,166,"Cred_Total"
9,-8.2721799588058,1.34247988670956,6.0857756808221e-09,-10.4803628695694,-6.06399704804218,-1.51643708056798,2.30128806188026,0.510917443703517,-5.30171909581184,2.26884493467589,0.00884786894104395,165,"Cred_Total"
10,-9.50906659960422,1.45897446447476,9.92582067488974e-10,-11.9088660391251,-7.10926716008332,-0.371577162140552,2.47711251276727,0.880960201372873,-4.44606466313266,3.70291033885156,0.00117068065555193,164,"Cred_Total"
11,-9.37736715167263,1.51692587066789,5.63820829592365e-09,-11.8724881718572,-6.88224613148804,-1.35885001120872,2.83086460194803,0.631913198340853,-6.01520791913147,3.29750789671403,0.00957132391387405,163,"Cred_Total"
12,-9.75778152262918,1.54134818723736,2.67987458969262e-09,-12.2930736788016,-7.22248936645674,-1.10624081996426,3.04598139007514,0.716981404353349,-6.11643435705603,3.90395271712752,0.00909963529428504,162,"Cred_Total"
13,-9.90705053777028,1.62852116709703,9.47346051309757e-09,-12.5857294860371,-7.22837158950348,-0.648115577741743,3.25753824752903,0.842566283861594,-6.006289179123,4.71005802363952,0.00880325357689882,161,"Cred_Total"
14,-9.47996872945313,1.56281240496888,1.04636980375499e-08,-12.0505663820109,-6.90937107689531,-1.04884270403255,3.37550270610505,0.756449200918236,-6.60105057295395,4.50336516488886,0.0166149029445565,160,"Cred_Total"
15,-8.89881525939682,1.72026196259829,7.42419774951667e-07,-11.7283943878833,-6.06923613091036,-0.835091495578786,3.52743118481983,0.81318644729422,-6.63719947375141,4.96701648259384,0.0391893872134265,159,"Cred_Total"
16,-8.20472042794438,2.03889435854853,9.14907508851959e-05,-11.5584032085738,-4.85103764731494,-0.337536462918505,3.94404758492531,0.931916564663533,-6.82491743785209,6.14984451201508,0.10955129858578,158,"Cred_Total"
17,-8.32910278961347,2.06153077198416,8.62710915559867e-05,-11.7200191569837,-4.93818642224325,0.211759373174647,3.90754351744671,0.95685642725818,-6.21557775396828,6.63909650031757,0.0858197383479985,157,"Cred_Total"
18,-6.62048112974805,2.24160923226469,0.00367123219082868,-10.3076002056465,-2.93336205384958,-0.972148547966742,3.70169007113147,0.793216606907629,-7.06088688731759,5.11658979138411,0.257042570590442,156,"Cred_Total"
1,-1.14652495884841,0.706088972076504,0.106381523288963,-2.30793796551888,0.0148880478220645,-0.161529353355379,0.784635441198459,0.837156071561033,-1.45213980464533,1.12908109793457,0.411811249089684,173,"Cred_Real_MN"
2,-1.30443343062198,0.850481279942047,0.127063901945728,-2.70335064858898,0.0944837873450284,-0.736669685341903,0.99390546345609,0.459666587348108,-2.37149869175454,0.898159321070731,0.668935838336821,172,"Cred_Real_MN"
3,-1.74026054930588,1.09964314971952,0.115506959152856,-3.54901257247437,0.0684914738626203,-1.04669424397663,1.13064351351895,0.355978416833432,-2.90643732797742,0.81304884002417,0.63949137419671,171,"Cred_Real_MN"
4,-2.41108543478568,1.55705350705184,0.123504492159266,-4.9722105432174,0.150039673646051,-1.43964028492053,1.40592448249536,0.307409350307509,-3.75218026917289,0.87289969933183,0.653367319796161,170,"Cred_Real_MN"
5,-2.13231844418064,1.63218460879267,0.193320407487637,-4.81702321780764,0.552386329446362,-2.76987897514371,1.89784061621344,0.146428309944379,-5.8915489960982,0.351791045810771,0.811956346343343,169,"Cred_Real_MN"
6,-3.52314982166767,1.92666374968087,0.0693653497794384,-6.69222967824618,-0.354069965089163,-2.30290493814529,2.18762504839592,0.294108003432355,-5.9012279334092,1.29541805711863,0.712000175418984,168,"Cred_Real_MN"
7,-4.49627181845642,2.06443842931958,0.030920351131827,-7.89197085654073,-1.10057278037211,-2.48912900803912,2.1878333155268,0.256995450746333,-6.08779457224864,1.1095365561704,0.547247834658867,167,"Cred_Real_MN"
8,-5.47009050845739,1.84914345977375,0.00358332895917766,-8.51166083501983,-2.42852018189495,-2.73225321010419,2.329068876244,0.242563107411805,-6.56323059861392,1.09872417840554,0.384106545328882,166,"Cred_Real_MN"
9,-6.90628570494689,1.84002246378808,0.000247260921579223,-9.93285332818089,-3.87971808171288,-2.25428981337596,2.3497541398289,0.338884669138248,-6.11929143271776,1.61071180596584,0.126399557254574,165,"Cred_Real_MN"
10,-7.71143780963754,1.83251386261133,4.38744092208558e-05,-10.7256548829926,-4.69722073628245,-2.2705241655631,2.40319703656133,0.346263881512285,-6.22343152743003,1.68238319630382,0.0692446840055544,164,"Cred_Real_MN"
11,-7.81088889939446,1.94755217716379,9.49477223846399e-05,-11.0143271616796,-4.60745063710937,-3.12546456295641,2.61727460320643,0.234284948491474,-7.43049818676848,1.17956906085566,0.140163417627169,163,"Cred_Real_MN"
12,-8.22889861944543,1.9366897900122,3.75585651279104e-05,-11.4144698448269,-5.04332739406397,-3.34479458733704,2.60728908104756,0.201518793353989,-7.6334034888091,0.943814314135011,0.125407657388741,162,"Cred_Real_MN"
13,-8.15238302485561,1.89755473003753,3.12000817221124e-05,-11.2735828048968,-5.03118324481445,-3.84309448802846,2.70720334106685,0.157818455067272,-8.29604772247742,0.609858746420495,0.198232544709775,161,"Cred_Real_MN"
14,-8.44545877591427,1.70986049169056,2.09353078844139e-06,-11.2579290072525,-5.63298854457603,-3.73031839873884,2.51196812420872,0.139665845888296,-7.86213827863004,0.401501481152356,0.0944876727869737,160,"Cred_Real_MN"
15,-8.40077938770449,1.56052668232975,2.83011624841736e-07,-10.9676173610891,-5.83394141431985,-3.76155271833603,2.41189127293553,0.121007983278225,-7.72876082643664,0.205655389764589,0.0611300626767654,159,"Cred_Real_MN"
16,-8.17533663588801,1.37908903673518,2.11849924662204e-08,-10.4437362398509,-5.90693703192514,-3.66409105850546,2.51958166789668,0.148024567178038,-7.80843410334576,0.480251986334842,0.0754178299015658,158,"Cred_Real_MN"
17,-8.2285184708555,1.33033345564236,5.98731639994414e-09,-10.4167222804237,-6.04031466128728,-3.20686992770181,2.43070706238541,0.189143106541887,-7.20502725532302,0.791287399919392,0.0431957967984768,157,"Cred_Real_MN"
18,-7.16139669151765,1.21563438936968,2.59771625587365e-08,-9.16093732591931,-5.16185605711599,-3.60503545270059,2.33975880864424,0.125566858271358,-7.45359621529072,0.24352530988955,0.13357242594044,156,"Cred_Real_MN"
1,2.18621962772938,1.79523899111938,0.225086478606845,-0.766685738058034,5.1391249935168,-4.49991716772944,2.17464957570282,0.0401196573039403,-8.07689740967271,-0.922936925786176,0.054816801150709,173,"Cred_USD"
2,0.428589766677829,1.73451405767583,0.805151468057806,-2.42443197208858,3.28161150544424,-4.27971070863199,2.68112773155175,0.112409504735465,-8.68977338219506,0.130351964931085,0.208291945560732,172,"Cred_USD"
3,0.0929140106174776,2.27956443928467,0.967538726631685,-3.65663582520952,3.84246384644447,-5.99061677436176,2.93571679682253,0.0429449231125566,-10.8194411953177,-1.16179235340585,0.175471694241036,171,"Cred_USD"
4,-1.93851463846966,2.92396514425031,0.508312858746181,-6.74800931106946,2.87098003413014,-5.10272785745753,3.04539331130095,0.0958030146622511,-10.1119540910446,-0.0935016238704094,0.540070725313548,170,"Cred_USD"
5,0.446262553576138,3.54356999506291,0.899943818889694,-5.3823914051595,6.27491651231177,-7.13660412764588,3.07974856300089,0.0217808700384868,-12.2023397215965,-2.07086853369529,0.18738362539726,169,"Cred_USD"
6,-2.89113697684665,3.06706300001056,0.347322476537677,-7.93600667650268,2.15373272280938,-3.61135958274156,3.14437460796393,0.252514296252446,-8.78339556114514,1.56067639566201,0.884272609170308,168,"Cred_USD"
7,-4.55006455648791,3.6340445915133,0.21243175887546,-10.527535983342,1.42740687036613,-2.19808182181029,3.59661335577987,0.541993388103255,-8.11398434480692,3.71782070118634,0.69587907196511,167,"Cred_USD"
8,-7.87279739506588,3.06167083427701,0.011075253661308,-12.908797771358,-2.8367970187738,0.408304000563398,2.95844607804136,0.890410440600049,-4.45790676104329,5.27451476217009,0.0612682626502071,166,"Cred_USD"
9,-6.85513783562774,2.58638836621105,0.00888325519241951,-11.1093681204951,-2.60090755076041,-1.18163816417746,2.94776363307901,0.689083028694064,-6.03027786744313,3.6670015390882,0.0919107090500171,165,"Cred_USD"
10,-8.76693816678524,3.0835037092168,0.00508132821266072,-13.8388504266088,-3.69502590696167,1.53718139878467,3.6480213061207,0.674077257440812,-4.46327967778422,7.53764247535355,0.0231315725041683,164,"Cred_USD"
11,-8.69902660172671,3.15594222482968,0.00656476724375255,-13.8900896166871,-3.50796358676631,1.47889992957278,3.96050767645908,0.709365766454711,-5.03555548662009,7.99335534576564,0.0272269022452298,163,"Cred_USD"
12,-9.60188232145751,3.78675701168761,0.0122477080175773,-15.8305433265158,-3.37322131639924,3.51810957178005,4.27672333830863,0.412031054726162,-3.5164743227049,10.552693466265,0.00975963315482598,162,"Cred_USD"
13,-10.1914890789283,4.16650843415782,0.0156074576471398,-17.0447855885767,-3.33819256927991,5.53223179052998,4.69384723119811,0.240430881365966,-2.18845985206235,13.2529234331223,0.00414370275976472,161,"Cred_USD"
14,-8.27609289922794,4.59668552220874,0.0738264088285979,-15.8369677523883,-0.71521804606758,4.46433756510404,4.83819272274218,0.357650617880296,-3.49378128278865,12.4224564129967,0.0392002201805991,160,"Cred_USD"
15,-7.54186732355394,5.09463073486993,0.140918330691462,-15.9217891657832,0.838054518675307,6.44590378912452,4.74013437000363,0.175957269925717,-1.35092342161328,14.2427309998623,0.0383287684690115,159,"Cred_USD"
16,-6.34914103381733,5.76712325416233,0.272743253515876,-15.8352146355024,3.13693256786775,8.211003571067,5.44333733962994,0.133600264683183,-0.742489594743679,17.1644967368777,0.08720038650488,158,"Cred_USD"
