"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","fci_type"
1,0.244186344486794,1.12416483078126,0.828313512724091,-1.60490025471504,2.09327294368863,173,"Cred_Total","FCI_exCredit"
2,-0.105194979874375,1.24849765069108,0.932956577131378,-2.15879086885399,1.94840090910524,172,"Cred_Total","FCI_exCredit"
3,-0.233671987939166,1.43858143273841,0.871170451068721,-2.59992787524398,2.13258389936565,171,"Cred_Total","FCI_exCredit"
4,-1.05035481381386,1.57386248887859,0.505500736560942,-3.63912823696868,1.53841860934095,170,"Cred_Total","FCI_exCredit"
5,0.0964086937823861,1.88064634578726,0.959180228572856,-2.99697926909882,3.18979665666359,169,"Cred_Total","FCI_exCredit"
6,-1.64504877665456,1.76612580747813,0.353053601086705,-4.55006721673757,1.25996966342844,168,"Cred_Total","FCI_exCredit"
7,-2.48430552011114,1.85719823767299,0.182953163130733,-5.53912477731544,0.570513737093171,167,"Cred_Total","FCI_exCredit"
8,-4.13372515068027,1.64333444279432,0.0129068032317719,-6.83676976920478,-1.43068053215577,166,"Cred_Total","FCI_exCredit"
9,-4.24917767937108,1.49721539912645,0.00515101847122903,-6.71187785895182,-1.78647749979034,165,"Cred_Total","FCI_exCredit"
10,-5.46658281331239,1.20282678413527,1.10990735597308e-05,-7.44505681179166,-3.48810881483311,164,"Cred_Total","FCI_exCredit"
11,-4.98168886434184,1.32980947068254,0.000254394157948159,-7.16903079534843,-2.79434693333526,163,"Cred_Total","FCI_exCredit"
12,-5.3123661341953,1.55280693840554,0.00080238689544269,-7.86650625878705,-2.75822600960354,162,"Cred_Total","FCI_exCredit"
13,-5.58024239158107,1.69812464425983,0.00126487519988828,-8.37340887170754,-2.78707591145461,161,"Cred_Total","FCI_exCredit"
14,-5.16789583308297,1.85696757662078,0.00608420809498856,-8.22233568661894,-2.113455979547,160,"Cred_Total","FCI_exCredit"
15,-4.90690023028941,2.11827359545405,0.0219053907290473,-8.39115023664753,-1.42265022393129,159,"Cred_Total","FCI_exCredit"
16,-4.70937128406936,2.59868798112231,0.071994402077826,-8.98383263513358,-0.434909933005138,158,"Cred_Total","FCI_exCredit"
17,-4.97412186733902,2.6123472955271,0.058866902172832,-9.27105079124363,-0.677192943434404,157,"Cred_Total","FCI_exCredit"
18,-3.46014228170925,2.6387501922761,0.191835609117141,-7.80050010609348,0.880215542674985,156,"Cred_Total","FCI_exCredit"
1,-0.561718667749737,0.631969026206707,0.375407547985898,-1.60121521262683,0.477777877127355,173,"Cred_Real_MN","FCI_exCredit"
2,-0.392067523405093,0.730367081388069,0.592140679802327,-1.59341446623222,0.809279419422032,172,"Cred_Real_MN","FCI_exCredit"
3,-0.496019828554486,0.753924829373608,0.511537046187223,-1.73611581859843,0.744076161489462,171,"Cred_Real_MN","FCI_exCredit"
4,-0.696397581253306,0.945656645443003,0.462562112140464,-2.25186434436099,0.859069181854379,170,"Cred_Real_MN","FCI_exCredit"
5,0.0564612258549301,1.2165724328292,0.963042008989872,-1.94462235273335,2.05754480444321,169,"Cred_Real_MN","FCI_exCredit"
6,-0.920685515686315,1.39200095446209,0.509317922264861,-3.21032333435319,1.36895230298056,168,"Cred_Real_MN","FCI_exCredit"
7,-1.37007414140926,1.34544622132105,0.310109857135419,-3.58313623841734,0.842987955598822,167,"Cred_Real_MN","FCI_exCredit"
8,-1.79330632442155,1.32528417324351,0.177978452984771,-3.97320480352252,0.386592154679409,166,"Cred_Real_MN","FCI_exCredit"
9,-2.8231052766533,1.34677060410184,0.0376992981424318,-5.03834578948184,-0.607864763824758,165,"Cred_Real_MN","FCI_exCredit"
10,-3.28288796600801,1.37091664969357,0.0178453746037313,-5.53784518950464,-1.02793074251138,164,"Cred_Real_MN","FCI_exCredit"
11,-2.95522693877603,1.40882818148686,0.0375909669326224,-5.27254308284614,-0.637910794705922,163,"Cred_Real_MN","FCI_exCredit"
