"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","variable"
1,-5.22858669057208,2.68128363482243,0.0528986447703036,-9.63890580219538,-0.818267578948777,173,"IMAEP_yoy"
2,-5.73128751847126,3.00009437444704,0.0578633075049299,-10.6660036314772,-0.796571405465337,172,"IMAEP_yoy"
3,-3.50953302383067,2.35112606767388,0.137484165917774,-7.37679126366419,0.357725216002859,171,"IMAEP_yoy"
4,-0.536677707656013,1.82040910710488,0.76852238614234,-3.53098423001297,2.45762881470094,170,"IMAEP_yoy"
5,-0.732483503699799,2.07588423459203,0.724668382576168,-4.14700921609988,2.68204220870028,169,"IMAEP_yoy"
6,-0.361775996152845,2.23589997311369,0.87166879576144,-4.03950417642959,3.3159521841239,168,"IMAEP_yoy"
7,-0.904016629259571,2.43386625092857,0.710819524116838,-4.90737035961422,3.09933710109508,167,"IMAEP_yoy"
8,-1.53243601409605,2.2207380416529,0.491190205783685,-5.18522503641794,2.12035300822584,166,"IMAEP_yoy"
9,-2.54842428637604,2.15979032991372,0.239843305850601,-6.10096324398934,1.00411467123726,165,"IMAEP_yoy"
10,-2.80289195914581,1.88398205741121,0.138875250885895,-5.90176667939013,0.295982761098523,164,"IMAEP_yoy"
11,-1.78064504021748,1.60170085792659,0.268013288987101,-4.41520850566932,0.853918425234355,163,"IMAEP_yoy"
12,2.23714919693445,2.01981537305347,0.269795448163397,-1.08515144520489,5.5594498390738,162,"IMAEP_yoy"
13,6.73693082683842,3.31537028077521,0.0439154554962456,1.2836319958182,12.1902296578586,161,"IMAEP_yoy"
14,8.2550975737991,4.04786851535324,0.0431803326467729,1.59694636489766,14.9132487827006,160,"IMAEP_yoy"
15,5.52433767840114,3.16307293594404,0.0827971050003896,0.32154568740155,10.7271296694007,159,"IMAEP_yoy"
16,0.247863233960982,1.70479173296152,0.884600477387628,-2.55626963119766,3.05199609911962,158,"IMAEP_yoy"
17,-1.08833206559753,1.50460062682876,0.470630639053409,-3.56317986375027,1.3865157325552,157,"IMAEP_yoy"
18,-1.05971806503187,1.52892774357134,0.489348002164808,-3.57458040939191,1.45514427932818,156,"IMAEP_yoy"
1,-5.40882712979974,2.94576953641692,0.0681709482583152,-10.2541868359383,-0.563467423661224,173,"IMAEP_SANB_yoy"
2,-5.25959651414823,3.22677192421509,0.105059112593724,-10.5671640170386,0.0479709887421409,172,"IMAEP_SANB_yoy"
3,-3.64997554956406,2.404855191851,0.131050136682418,-7.60561033417326,0.305659235045133,171,"IMAEP_SANB_yoy"
4,-2.34656583300389,1.73527828816044,0.178208961889146,-5.20084461905473,0.50771295304696,170,"IMAEP_SANB_yoy"
5,-1.97730437313484,2.00178300315988,0.324774770061532,-5.26994440625217,1.3153356599825,169,"IMAEP_SANB_yoy"
6,-1.00233242491145,1.97190907121408,0.611952513925853,-4.24583421271644,2.24116936289354,168,"IMAEP_SANB_yoy"
7,-1.90073095117772,2.0201786060338,0.348224733647346,-5.22362905840218,1.42216715604674,167,"IMAEP_SANB_yoy"
8,-1.55194554897471,1.65464133420127,0.349737161249683,-4.27358834883948,1.16969725089007,166,"IMAEP_SANB_yoy"
9,-2.64423479850512,1.75015766669033,0.132874550608769,-5.52298798429763,0.234518387287387,165,"IMAEP_SANB_yoy"
10,-3.51401963522847,1.65625941572816,0.0354773004674671,-6.23832394236146,-0.789715328095489,164,"IMAEP_SANB_yoy"
11,-2.54469306229229,2.03490050752507,0.213029627479461,-5.89180654258029,0.802420417995712,163,"IMAEP_SANB_yoy"
12,0.90408908531369,1.51459006468769,0.551454755152436,-1.58718987593252,3.3953680465599,162,"IMAEP_SANB_yoy"
13,4.71743695393307,3.23948332709918,0.147418636971506,-0.611038946094842,10.045912853961,161,"IMAEP_SANB_yoy"
14,6.35905599633407,4.06713746793566,0.120051453136272,-0.330789819110131,13.0489018117783,160,"IMAEP_SANB_yoy"
15,4.05383839027321,2.63187652743773,0.125626405162918,-0.275213261571191,8.38289004211761,159,"IMAEP_SANB_yoy"
16,0.160024877888571,1.3880138156099,0.908372163711112,-2.12305468097613,2.44310443675327,158,"IMAEP_SANB_yoy"
17,-0.824027667592363,1.30989920144216,0.530281594656857,-2.97862012002534,1.33056478484062,157,"IMAEP_SANB_yoy"
18,0.38220429642054,1.15013501226927,0.740133175234998,-1.50959944999444,2.27400804283552,156,"IMAEP_SANB_yoy"
