"proxy","response","horizon","irf_point","ci_lower","ci_upper","n_boot_valid"
"Selic_rate","Cred_Real_Total",0,-9.2265021304195,-6.7773896490562,9.65498017340969,500
"Selic_rate","Cred_Real_Total",6,-10.4636383453224,-4.9689389490105,9.05577294999926,500
"Selic_rate","Cred_Real_Total",12,-8.03815020251183,-4.839381041812,6.94265072899427,500
"Selic_rate","Cred_Real_Total",18,-5.11487813641887,-4.5438973401681,5.86125204861734,500
"Selic_rate","Cred_Real_Total",24,-2.40463799599461,-4.22566979643164,4.49008206945548,500
"DXY","Cred_Real_Total",0,0.483902563161313,-17.4624667684454,19.4873795792228,500
"DXY","Cred_Real_Total",6,0.0219509887035968,-16.1120974372419,18.5960701000901,500
"DXY","Cred_Real_Total",12,-0.396893986794697,-14.8244523057679,14.4278873859283,500
"DXY","Cred_Real_Total",18,-0.690520685780208,-9.94153441978566,10.7008770232497,500
"DXY","Cred_Real_Total",24,-0.857193478811751,-6.4873977640125,7.02520520882156,500
"VIX","Cred_Real_Total",0,1.9084454717745,-33.2769054496385,37.9771902166313,500
"VIX","Cred_Real_Total",6,0.241474523699152,-27.7219212117299,38.0643445334255,500
"VIX","Cred_Real_Total",12,-0.677175218132979,-20.6080794531457,28.5176207415434,500
"VIX","Cred_Real_Total",18,-1.21215138856246,-14.9085089607318,18.9287054518144,500
"VIX","Cred_Real_Total",24,-1.45055850129782,-8.44599116055063,10.6654935328811,500
"GFC_PCA","Cred_Real_Total",0,0.897079452972622,-20.8154927619425,21.7060288782237,500
"GFC_PCA","Cred_Real_Total",6,-1.41137049401696,-25.0147088991243,16.8451686832881,500
"GFC_PCA","Cred_Real_Total",12,-2.22920273323167,-19.0756425077336,13.3491730996612,500
"GFC_PCA","Cred_Real_Total",18,-2.43245818792689,-14.5475990452509,9.07719589958844,500
"GFC_PCA","Cred_Real_Total",24,-2.26413438895902,-9.2977794386351,4.54110024145401,500
