"horizon","coef_tight","se_tight","p_tight","ci_tight_lo","ci_tight_hi","coef_ease","se_ease","p_ease","ci_ease_lo","ci_ease_hi","asym_p","n_obs","sector","sector_label","side"
1,-5.35004482217843,4.93925095628907,0.281338121692873,-13.474389672054,2.77430002769717,6.0419125239983,5.59902782682158,0.283138962111268,-3.16766870435139,15.251493752348,0.188327617270775,112,"Agricultura","Agriculture","Supply"
2,-7.46323043870926,5.59938757899533,0.185635319247594,-16.6734034067267,1.74694252930822,7.42620777714942,7.69957956105625,0.337147787143692,-5.23847358985536,20.0908891441542,0.173000354694436,111,"Agricultura","Agriculture","Supply"
3,-0.473944754921515,5.32603905289943,0.929274362569746,-9.23449940836832,8.28660989852529,7.49011516469526,7.53501757162367,0.322651072140054,-4.903885817133,19.8841161465235,0.41138583065477,110,"Agricultura","Agriculture","Supply"
4,4.17101341601151,5.74348604510155,0.469454896571959,-5.27618043661893,13.618207268642,3.01011927955319,4.94873700465132,0.544436637693862,-5.1298287313765,11.1500672904829,0.888037906463968,109,"Agricultura","Agriculture","Supply"
5,9.35416290553046,4.53576605431604,0.0418794782369429,1.89349166008535,16.8148341509756,-7.17636198423892,6.7722777234009,0.291954815357207,-18.3157675602975,3.96304359181971,0.0854970299602191,108,"Agricultura","Agriculture","Supply"
6,7.66544167376067,3.93731925328604,0.0545041667396535,1.18912781952727,14.1417555279941,-9.66853697187634,7.55000305503055,0.203451802403675,-22.087186880438,2.75011293668534,0.0843182905237893,107,"Agricultura","Agriculture","Supply"
7,3.87042592682267,4.11055887907473,0.348820528634157,-2.89084175422098,10.6316936078663,-10.1262617259661,7.68642182953318,0.190899347940664,-22.7693005505528,2.51677709862047,0.109593139499673,106,"Agricultura","Agriculture","Supply"
8,0.718587283782185,5.37695251048968,0.893974352570726,-8.12571255504258,9.56288712260695,-5.50095266619806,7.65131436345771,0.47397110705837,-18.0862448478774,7.08433951548125,0.512604742842472,105,"Agricultura","Agriculture","Supply"
1,-2.66736075096594,2.00037746505469,0.185420654708107,-5.95768887963313,0.622967377701248,5.21015428243309,1.70928608114215,0.00294604863542986,2.39862887236876,8.02167969249741,0.00268698236720877,112,"Ganaderia_fp","Livestock+","Supply"
2,-2.74776952072261,2.26985816190065,0.228951334465794,-6.48135395099029,0.98581490954508,5.95695529169557,1.98866731171616,0.00346250667698093,2.68588865121941,9.22802193217173,0.0100422101601902,111,"Ganaderia_fp","Livestock+","Supply"
3,-3.701289142745,1.92664699187634,0.0576246518912955,-6.87034143518794,-0.532236850302052,4.16314039054378,2.21793118233219,0.0634875218562506,0.514968240955912,7.81131254013164,0.0222503904521861,110,"Ganaderia_fp","Livestock+","Supply"
4,-0.392727273825398,1.98590480106517,0.843648749991049,-3.65924998863779,2.87379544098699,0.43934823295156,1.73018523493345,0.800086097099646,-2.4065532260266,3.28524969192972,0.776489443678068,109,"Ganaderia_fp","Livestock+","Supply"
5,-0.0854591966142474,1.95129846396981,0.965157930220266,-3.29505955233982,3.12414115911133,-1.68038532456789,1.98328147203547,0.398949073582421,-4.94259304711109,1.58182239797531,0.633615243409846,108,"Ganaderia_fp","Livestock+","Supply"
6,-2.46509059486597,1.41127287630642,0.083918930730059,-4.78642790407683,-0.143753285655115,-0.155476217922545,2.48399773566631,0.950223598179851,-4.24128890277252,3.93033646692743,0.475410540599598,107,"Ganaderia_fp","Livestock+","Supply"
7,0.51816201871382,3.20944271704612,0.87208610741728,-4.76090147491248,5.79722551234012,-2.53147399145243,2.58074643697479,0.329156185120555,-6.7764241285525,1.71347614564765,0.560941343901355,106,"Ganaderia_fp","Livestock+","Supply"
8,-3.19835158629644,1.51703133236731,0.0376941740552261,-5.69364607553983,-0.703057097053043,-2.68290831903593,1.67560849429568,0.112734230261795,-5.43903902822887,0.073222390157019,0.843603570107402,105,"Ganaderia_fp","Livestock+","Supply"
1,-2.05624347145462,1.46750942543301,0.164256349342288,-4.47008167246357,0.357594729554329,2.73318464602893,1.33350249538242,0.0430184154727374,0.539768229950322,4.92660106210753,0.0262323888974196,112,"Manufactura","Manufacturing","Supply"
2,-0.514497512348511,1.77922467315321,0.773056348462602,-3.44106166914611,2.41206664444909,2.34931006714256,1.1653467965374,0.0465120690130561,0.432485162201729,4.26613497208338,0.212040141607332,111,"Manufactura","Manufacturing","Supply"
3,-1.19705024156502,1.59041658200589,0.453455672350667,-3.81305272484117,1.41895224171113,1.96118715102231,1.52000743347996,0.200000521737546,-0.539002588930407,4.46137689097502,0.155710668444214,110,"Manufactura","Manufacturing","Supply"
4,-0.0315918990046666,1.52838711989729,0.983551288424906,-2.54556499655363,2.4823811985443,0.457355495343828,2.02809941736966,0.8220574522297,-2.87857118713482,3.79328217782248,0.867058545612584,109,"Manufactura","Manufacturing","Supply"
5,2.42858600035092,1.3913304262935,0.0840950375920843,0.140051102374113,4.71712089832772,-2.46562353962661,1.15846186349198,0.0358677326831589,-4.37112373747636,-0.560123341776861,0.0212827111547618,108,"Manufactura","Manufacturing","Supply"
6,-0.470248769060391,1.04369811157085,0.653333220492613,-2.1869793933201,1.24648185519932,-0.192191923546525,1.59970540566269,0.904624325205139,-2.82347316210467,2.43908931501162,0.903776463256886,107,"Manufactura","Manufacturing","Supply"
7,0.924986545258278,1.47476939791835,0.53204370796787,-1.50079324782476,3.35076633834132,-2.33179691539038,1.33234807558225,0.0833570441827754,-4.52331447987365,-0.140279350907108,0.172271015371116,106,"Manufactura","Manufacturing","Supply"
8,-0.475795439409044,0.752123132495478,0.52854518221687,-1.71292790180833,0.761337022990245,-3.45359337297433,1.27878045186851,0.00822212771742045,-5.55700003730489,-1.35018670864377,0.0859220988418767,105,"Manufactura","Manufacturing","Supply"
1,5.98014706859131,2.04780227049589,0.00432211849386376,2.61181207668668,9.34848206049593,0.434707003058213,2.86254357906048,0.87960300159017,-4.27375818526607,5.1431721913825,0.147687013164172,112,"Electricidad_y_agua","Electricity & Water","Supply"
2,5.75373400276274,2.01560696300274,0.0052493170829979,2.43835557915904,9.06911242636644,0.547665827035433,3.08366021856689,0.859398025738779,-4.52450386776028,5.61983552183114,0.177444366389089,111,"Electricidad_y_agua","Electricity & Water","Supply"
3,5.56263643865827,2.18636192494561,0.0125134369211447,1.96639109658288,9.15888178073366,-2.40718496357908,2.9242255892364,0.412400256242361,-7.21710803005888,2.40273810290072,0.0379645475386634,110,"Electricidad_y_agua","Electricity & Water","Supply"
4,1.42232294693815,2.13998369398437,0.507856551767471,-2.09763699372905,4.94228288760535,-1.91575048637526,2.53917663740779,0.45239063255578,-6.09232438788591,2.26082341513538,0.348836349753049,109,"Electricidad_y_agua","Electricity & Water","Supply"
5,-1.26533213479387,2.49314306301435,0.612950597211673,-5.36618754450193,2.83552327491419,-0.491044390836879,1.99091287691794,0.805711295085437,-3.76580465737974,2.78371587570598,0.785467709835862,108,"Electricidad_y_agua","Electricity & Water","Supply"
6,-4.25435879731575,2.57683454268102,0.102040353513602,-8.49287444089845,-0.015843153733039,3.84012134683416,2.31680945305212,0.100716443979853,0.0293089150259309,7.65093377864239,0.0166475471631063,107,"Electricidad_y_agua","Electricity & Water","Supply"
7,-4.53124849513046,2.30316240029771,0.0520845718165279,-8.3196135227184,-0.742883467542516,6.55071349661142,2.42462276959065,0.00818371944856469,2.56256394006112,10.5388630531617,0.00117556151116516,106,"Electricidad_y_agua","Electricity & Water","Supply"
8,-3.51463625596569,2.743245792723,0.203310233487634,-8.02687404774548,0.997601535814097,3.45566760112606,2.97829069204023,0.24890250296858,-1.44318464579213,8.35451984804424,0.120833774608938,105,"Electricidad_y_agua","Electricity & Water","Supply"
1,-4.88344040274192,3.08311226362794,0.116366715059076,-9.95470879186889,0.18782798638505,8.53646074102969,2.7452759270716,0.00244137102694432,4.02088367540341,13.052037806656,0.00130398436610824,112,"Construccion","Construction","Supply"
2,-4.29236189676732,3.9757460921551,0.282927211484555,-10.8318822762868,2.24715848275214,7.44301977774769,3.6783991411122,0.0457230740114466,1.39259160911411,13.4934479463813,0.0657306647329392,111,"Construccion","Construction","Supply"
3,-3.92000419739972,2.71260897746642,0.15161852558034,-8.38184891248648,0.541840517687033,6.09401381200369,3.26806462408629,0.0652136643037465,0.718525861963564,11.4695017620438,0.0296516452923619,110,"Construccion","Construction","Supply"
4,0.125708831807117,2.64239885798083,0.962153763374462,-4.22065051359508,4.47206817720931,2.63898971630278,2.98957368790529,0.379563978568961,-2.27842140728692,7.55640083989248,0.552207325252692,109,"Construccion","Construction","Supply"
5,5.52860136687653,3.50845210887806,0.118362894930752,-0.242288809397079,11.2994915431501,-3.72249436054864,3.37693080994912,0.273073830115617,-9.27705125125762,1.83206253016033,0.0809279819583887,108,"Construccion","Construction","Supply"
6,1.36464362955033,3.34219686317246,0.683966874559512,-4.13278100282473,6.86206826192539,1.2495793261505,2.97141955358403,0.675046030942548,-3.63797090375672,6.13712955605772,0.980453525339172,107,"Construccion","Construction","Supply"
7,1.94804326279732,3.65731878517128,0.59553801686596,-4.06771080590941,7.96379733150404,-3.66276372747437,3.0960661167388,0.239777604506871,-8.75533930887374,1.42981185392501,0.301277134453299,106,"Construccion","Construction","Supply"
8,-1.90367434421541,2.3218516280047,0.414372401282593,-5.72278041578211,1.9154317273513,-4.97235877346139,3.38020921078067,0.144661017787315,-10.5323081536687,0.58759060674597,0.461566235503775,105,"Construccion","Construction","Supply"
1,-0.899522602350937,1.3889592533239,0.518712584414217,-3.18415726786856,1.38511206316669,1.65500105799701,1.61535568139317,0.308050997086173,-1.00202259335922,4.31202470935323,0.347314809112805,112,"Servicios","Services","Supply"
2,-0.639251546689103,1.05704654447505,0.54672706011976,-2.37793838922541,1.0994352958472,2.80569808508923,1.16305513240248,0.0176912197214197,0.892642632212495,4.71875353796597,0.0476091019375766,111,"Servicios","Services","Supply"
3,-0.806357601687045,1.12714106301058,0.476062421190195,-2.66033966726594,1.04762446389185,3.32851828926901,0.906433138068425,0.000391936348628398,1.83756845452816,4.81946812400987,0.00628366490059684,110,"Servicios","Services","Supply"
4,-0.699127545779184,0.89462326747371,0.436425235600569,-2.17065187203849,0.772396780480125,4.03642094562987,1.06353455074388,0.000256800402758854,2.2870622824506,5.78577960880915,0.00317400713747729,109,"Servicios","Services","Supply"
5,2.6555937237243,1.16604946440352,0.0249797261943034,0.737613032995358,4.57357441445325,1.09314081748095,1.09318619675152,0.319844446142212,-0.704990463179066,2.89127209814097,0.420822681067045,108,"Servicios","Services","Supply"
6,1.42548352894,0.856653037297404,0.099404750065101,0.016414673502368,2.83455238437763,2.07625277690031,1.18159016837242,0.0821108128969468,0.132709902882728,4.01979565091789,0.69159722736082,107,"Servicios","Services","Supply"
7,1.82675777489693,0.811749833289996,0.0267555602857568,0.491548117432626,3.16196743236123,1.07273154272156,0.869722410683627,0.220495102943298,-0.357834518932386,2.5032976043755,0.598380428712236,106,"Servicios","Services","Supply"
8,1.45626908663617,0.75155774729399,0.0556976258511126,0.220066600136168,2.69247157313616,-0.0773315679363191,0.664462779821422,0.907600678256784,-1.17027558129984,1.0156124454272,0.126834702883513,105,"Servicios","Services","Supply"
