"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side"
1,-5.69434377270093,4.32129248271302,-1.31774088319194,0.190571592598135,-12.8022373860096,1.41354984060772,112,0.22339970002451,"Agricultura","Agriculture","Supply"
2,-7.44480254236537,5.45830138365578,-1.36394127386551,0.175648243103705,-16.4229093702658,1.53330428553508,111,0.299958806348531,"Agricultura","Agriculture","Supply"
3,-3.97333941107821,4.74254769502321,-0.837806948203769,0.404157249583866,-11.7741361882275,3.82745736607105,110,0.25035388119357,"Agricultura","Agriculture","Supply"
4,0.659349047012754,4.14969608026837,0.15889092460239,0.874081796122905,-6.16629360136298,7.48499169538849,109,0.287615484586031,"Agricultura","Agriculture","Supply"
5,8.29140765792072,4.77088874788899,1.737916789946,0.0853990126194371,0.443993997173551,16.1388213186679,108,0.29532818621677,"Agricultura","Agriculture","Supply"
6,8.64673627109951,4.98331123872928,1.7351387173851,0.0859253525359069,0.449918705847614,16.8435538363514,107,0.265045592632976,"Agricultura","Agriculture","Supply"
7,6.92765314075595,4.30259942613124,1.61010878648889,0.110692083897241,-0.149493130635338,14.0047994121472,106,0.212035966242584,"Agricultura","Agriculture","Supply"
8,3.08684813024464,4.67893121304323,0.659733599339864,0.511038007676868,-4.60930884578596,10.7830051062752,105,0.186035059658682,"Agricultura","Agriculture","Supply"
1,-3.88082458072612,1.3416705708583,-2.8925316430273,0.0046808725933323,-6.08767628537643,-1.6739728760758,112,0.195770921834363,"Ganaderia_fp","Livestock+","Supply"
2,-4.27984843984092,1.80507590231412,-2.37100746531164,0.0196560102478503,-7.24893408468499,-1.31076279499684,111,0.293551449956322,"Ganaderia_fp","Livestock+","Supply"
3,-3.92223652682488,1.70851955129765,-2.2956930892865,0.0238025662626658,-6.73250110749433,-1.11197194615544,110,0.244605224613753,"Ganaderia_fp","Livestock+","Supply"
4,-0.414647010479794,1.47694157809426,-0.280747063140321,0.779496252733411,-2.84399972200357,2.01470570104398,109,0.119938226533078,"Ganaderia_fp","Livestock+","Supply"
5,0.743584344756045,1.6721951273059,0.444675583975683,0.657544838683811,-2.00693187536365,3.49410056487574,108,0.111192663473703,"Ganaderia_fp","Livestock+","Supply"
6,-1.22931600866821,1.65272119437602,-0.743813301875356,0.45880609575671,-3.94780045957718,1.48916844224076,107,0.139055406992642,"Ganaderia_fp","Livestock+","Supply"
7,1.4637582880981,2.61982706878641,0.558723247628767,0.577665237523137,-2.84547376798088,5.77299034417707,106,0.122299228937497,"Ganaderia_fp","Livestock+","Supply"
8,-0.379925971830108,1.37570116174176,-0.276168969246989,0.783024560821725,-2.6427530173224,1.88290107366218,105,0.114737194455075,"Ganaderia_fp","Livestock+","Supply"
1,-2.38747740866751,1.08355147786687,-2.20338161816512,0.0298398871968865,-4.16976098702546,-0.605193830309559,112,0.188245419150403,"Manufactura","Manufacturing","Supply"
2,-1.41263366105438,1.20054729779279,-1.17665806557685,0.24212530613375,-3.38735823815564,0.562090916046879,111,0.216825190488654,"Manufactura","Manufacturing","Supply"
3,-1.57187788857295,1.11519990483301,-1.40950324848559,0.161820045239105,-3.40621849681345,0.26246271966756,110,0.179006652654444,"Manufactura","Manufacturing","Supply"
4,-0.236219408958685,1.43627746699352,-0.164466417100555,0.869702730168559,-2.59868560985165,2.12624679193428,109,0.102252794602634,"Manufactura","Manufacturing","Supply"
5,2.44634109296651,1.06916810576041,2.28807900253125,0.0243039360808793,0.68771605638566,4.20496612954736,108,0.211417131677671,"Manufactura","Manufacturing","Supply"
6,-0.151245755875552,1.15361317182238,-0.131106127746987,0.895965713917522,-2.04877056564659,1.74627905389548,107,0.172420534744332,"Manufactura","Manufacturing","Supply"
7,1.60256354769849,1.16381005600816,1.37699750867874,0.171749197985568,-0.31173364400912,3.5168607394061,106,0.178958953966786,"Manufactura","Manufacturing","Supply"
8,1.45454405470513,0.785358894999879,1.85207561022831,0.0671535535550326,0.162743627805979,2.74634448160428,105,0.174973899411369,"Manufactura","Manufacturing","Supply"
1,2.86888493683848,1.91194942774108,1.50050252125549,0.13660395266167,-0.275992013929229,6.01376188760618,112,0.345733362011572,"Electricidad_y_agua","Electricity & Water","Supply"
2,2.69760138182418,1.9577587126745,1.37790288678576,0.171308889143408,-0.522625137414321,5.91782790106268,111,0.218683376246192,"Electricidad_y_agua","Electricity & Water","Supply"
3,4.02726895786533,1.90425335774858,2.11488084895742,0.0369509412760882,0.89505091573806,7.1594869999926,110,0.218336583968024,"Electricidad_y_agua","Electricity & Water","Supply"
4,1.6565321620323,1.77520604715047,0.933149233403826,0.35303633489079,-1.26342194320934,4.57648626727394,109,0.191850059549239,"Electricidad_y_agua","Electricity & Water","Supply"
5,-0.434742504146191,1.43920763562379,-0.302070732106533,0.763244866447053,-2.80202840353824,1.93254339524586,108,0.162530842585012,"Electricidad_y_agua","Electricity & Water","Supply"
6,-4.05749152324519,1.70153758884571,-2.38460293198559,0.0190629454779232,-6.85627179765233,-1.25871124883805,107,0.171441361036741,"Electricidad_y_agua","Electricity & Water","Supply"
7,-5.48764725294872,1.75059259499832,-3.13473692772816,0.00228877637648756,-8.3671158321461,-2.60817867375134,106,0.16925489196312,"Electricidad_y_agua","Electricity & Water","Supply"
8,-3.4859671151536,2.2417498715613,-1.55502054862425,0.123301733083892,-7.17331752210919,0.201383291801999,105,0.0844404668637892,"Electricidad_y_agua","Electricity & Water","Supply"
