"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
1,-1.32879748833486,1.4179787000684,-0.937106804404581,0.350939050423166,-3.66116489608231,1.00356991941258,112,0.114931055112743,"Consumo_Privado","Private Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
2,-1.35388829033576,0.954123762225372,-1.41898603088763,0.159012498226835,-2.92328222119274,0.21550564052123,111,0.152505780451154,"Consumo_Privado","Private Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
3,-2.01154330314133,0.937950525931606,-2.14461557142728,0.0344310160220116,-3.55433462762098,-0.46875197866169,110,0.129402499717015,"Consumo_Privado","Private Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
4,-0.507442817450288,0.943919765956958,-0.537591049315337,0.592078085292522,-2.06005266803578,1.0451670331352,109,0.0934866589020558,"Consumo_Privado","Private Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
5,0.980261835154754,1.10874112659211,0.884121470417305,0.378816818570063,-0.843455028270534,2.80397869858004,108,0.0946222145441183,"Consumo_Privado","Private Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
6,1.03249447702993,0.766914953660747,1.34629592512375,0.181377432486692,-0.228968366062269,2.29395732012213,107,0.0477608300082194,"Consumo_Privado","Private Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
7,1.57709803846942,0.958861043792579,1.64476182308078,0.103324084948567,-8.80271552756717e-05,3.15428410409412,106,0.0973418778484766,"Consumo_Privado","Private Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
8,0.791910270189899,0.720910476151859,1.09848628420137,0.274797886804656,-0.393881941215799,1.9777024815956,105,0.20196482074935,"Consumo_Privado","Private Consumption","Demand","FCI_ENDO","Endogenous (Domestic)"
1,-1.96724052501219,0.794754807878476,-2.47527980392287,0.0149773738393007,-3.27449585328822,-0.659985196736162,112,0.217161089504914,"Consumo_Privado","Private Consumption","Demand","FCI_EXO","Exogenous (External)"
2,-2.28385437952092,0.575616895862719,-3.96766390273855,0.000136660953435258,-3.23065991841526,-1.33704884062658,111,0.266857204505631,"Consumo_Privado","Private Consumption","Demand","FCI_EXO","Exogenous (External)"
3,-1.35824768999401,0.61680123305561,-2.2020832923198,0.029980710560053,-2.37279543529367,-0.34369994469435,110,0.177667039225723,"Consumo_Privado","Private Consumption","Demand","FCI_EXO","Exogenous (External)"
4,-0.573592127898195,0.464992159556083,-1.23355225697954,0.220320197466287,-1.33843616804801,0.191251912251625,109,0.109511222870375,"Consumo_Privado","Private Consumption","Demand","FCI_EXO","Exogenous (External)"
5,1.03588283822557,0.825018272474912,1.25558775215742,0.212281626034347,-0.321151459556025,2.39291713600717,108,0.134775740667935,"Consumo_Privado","Private Consumption","Demand","FCI_EXO","Exogenous (External)"
6,0.246051540258866,0.742827762508953,0.331236327823572,0.74118793805742,-0.975791399104232,1.46789447962196,107,0.0765451316054947,"Consumo_Privado","Private Consumption","Demand","FCI_EXO","Exogenous (External)"
