"horizon","coef","se","t_stat","p_value","ci_lower","ci_upper","n_obs","r_squared","sector","sector_label","side","fci_var","fci_label"
1,-8.24850766023445,4.93840425619351,-1.6702779343934,0.0979607107964265,-16.3714598123869,-0.125555508081977,112,0.230928731834102,"Agricultura","Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
2,-7.84614102177641,5.53159564840464,-1.41842273378014,0.159176386499093,-16.9448061868837,1.25252414333094,111,0.304016878672812,"Agricultura","Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
3,-3.3632288441833,5.38748646176228,-0.624266783416319,0.53388835285706,-12.2248554909649,5.49839780259833,110,0.255247549039744,"Agricultura","Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
4,1.34241082107027,4.77595152432679,0.281077145409153,0.779243816869217,-6.51333036586306,9.1981520080036,109,0.295309777533162,"Agricultura","Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
5,10.3997257526972,5.85107925077771,1.7774029895963,0.0786361704088921,0.775556825474959,20.0238946799194,108,0.305846084800732,"Agricultura","Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
6,8.53035820163404,4.83793063403616,1.76322457821545,0.081044574949675,0.572670451300019,16.4880459519681,107,0.261085819902383,"Agricultura","Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
7,7.78317932669203,4.33311078150736,1.79621055614564,0.075639660847903,0.655846341747115,14.9105123116369,106,0.200073996678459,"Agricultura","Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
8,3.37645257154701,3.75843306910825,0.89836708794927,0.371285266239161,-2.80561969383004,9.55852483692406,105,0.159507695377679,"Agricultura","Agriculture","Supply","FCI_ENDO","Endogenous (Domestic)"
1,-1.90037962140917,3.42473275115811,-0.554898662024513,0.580190801200235,-7.53356370849108,3.73280446567275,112,0.219044031604858,"Agricultura","Agriculture","Supply","FCI_EXO","Exogenous (External)"
2,-5.36793845028667,3.6775037280599,-1.45966907098653,0.147515412736209,-11.4168937955136,0.681016894940206,111,0.302395426540828,"Agricultura","Agriculture","Supply","FCI_EXO","Exogenous (External)"
3,-3.52131434685898,3.37305188061576,-1.04395499135227,0.299048675345734,-9.06949096658529,2.02686227286733,110,0.244397511465833,"Agricultura","Agriculture","Supply","FCI_EXO","Exogenous (External)"
4,-3.0748312974856,3.14643092456133,-0.977244176404187,0.330854496580992,-8.25024961570257,2.10058702073137,109,0.277268437496065,"Agricultura","Agriculture","Supply","FCI_EXO","Exogenous (External)"
5,1.24042542038546,2.76860496293476,0.448032650736346,0.655128728585285,-3.31352449449362,5.79437533526455,108,0.266226192803361,"Agricultura","Agriculture","Supply","FCI_EXO","Exogenous (External)"
