"specification","horizon","irf_val","lower","upper"
"Bivariate",0,0.00427524145010893,-0.00955977867700328,0.0172722114016444
"Bivariate",1,0.0186563725203129,-0.00515127532931321,0.0403820492789813
"Bivariate",2,0.0217752147159922,-0.00635585280952508,0.047376274776427
"Bivariate",3,0.0118173097445105,-0.0200861184163846,0.0421297170422183
"Bivariate",4,0.0235919347747603,-0.0155690270153492,0.0575199573829838
"Bivariate",5,0.0324237231072064,-0.0100373514360777,0.0715256285704868
"Bivariate",6,0.0327991389726761,-0.0101958368794773,0.0733237442169128
"Bivariate",7,0.0328158355292656,-0.0151266190905153,0.0747025269757277
"Bivariate",8,0.0318879852406987,-0.0162974014857391,0.0752905377465586
"Bivariate",9,0.0296804546349997,-0.0203324775119445,0.0756674911044563
"Bivariate",10,0.0296922343523097,-0.0232453234595605,0.0780233694664728
"Bivariate",11,0.0296976711684968,-0.0242200427692695,0.0783372171134154
"Bivariate",12,0.0270534162541525,-0.0265854884652989,0.0783768466818573
"Bivariate",13,0.0242881128232698,-0.0306965514512283,0.0781039166850954
"Bivariate",14,0.0226852083741882,-0.0348948155744311,0.077131938664385
"Bivariate",15,0.0211011967113857,-0.0393598140820932,0.0761507415357187
"Bivariate",16,0.019434416322729,-0.042191539399534,0.0769880693316019
"Bivariate",17,0.0177498230511185,-0.0464136800513662,0.0764382839099672
"Bivariate",18,0.0157956384183451,-0.0481877113779021,0.0743423288108966
"Bivariate",19,0.0139694407930993,-0.0505122964180756,0.0717905210489612
"Bivariate",20,0.0125575724424302,-0.0520702431750511,0.0701142049013431
"Bivariate",21,0.0112022103171318,-0.0526751893045544,0.0702910565307448
"Bivariate",22,0.00974136464590691,-0.0537405687420158,0.0707959787166841
"Bivariate",23,0.00834269571395928,-0.0553036556362203,0.0695903480505644
"Bivariate",24,0.00705946115837325,-0.0565446456551044,0.068840178831568
"Controlled",0,-0.000280297532428343,-0.0120777786612588,0.0133485274338278
"Controlled",1,0.0110601652817083,-0.00836594234859324,0.0300145646748728
"Controlled",2,0.0134803562949626,-0.00963875036106784,0.036039797771256
"Controlled",3,0.00464482009808128,-0.0228792917829758,0.0342125317110504
"Controlled",4,0.00541371134098686,-0.0253821857189079,0.03747359522161
"Controlled",5,0.00879907959170106,-0.0217540206628639,0.0419014254401161
"Controlled",6,0.00995187120721201,-0.0223770610480173,0.044967334835203
"Controlled",7,0.0126366003217817,-0.0221774865218161,0.0491115338952806
"Controlled",8,0.0150519080448384,-0.0214422396778836,0.0536316244871892
"Controlled",9,0.0164743753623584,-0.0226376609938763,0.0583238785458345
"Controlled",10,0.0183040517527523,-0.0230637366367112,0.0640527556288213
"Controlled",11,0.020046304105972,-0.0225064064673476,0.0689427717337856
"Controlled",12,0.0213829901719746,-0.0231620228169045,0.0715988786681268
"Controlled",13,0.0226278091185408,-0.0235846658032561,0.0747211118540021
"Controlled",14,0.0236361177719419,-0.0232523361711752,0.075593378599022
"Controlled",15,0.0243477153968913,-0.0224876127605223,0.0768612200975801
"Controlled",16,0.0248762203087844,-0.022677545259088,0.0791254014513654
"Controlled",17,0.0251941182987135,-0.0247045904878503,0.0805267283115979
"Controlled",18,0.025292346347137,-0.0264628000282718,0.0794518475860919
"Controlled",19,0.0252120489344922,-0.0274945763851707,0.0790399505057447
"Controlled",20,0.0249578558223104,-0.0287695868984737,0.0784716306110196
"Controlled",21,0.0245411920335506,-0.029739732851312,0.0774943400745115
"Controlled",22,0.0239873750134551,-0.0299468894558877,0.0760801779752484
"Controlled",23,0.0233106057716401,-0.0315418403868806,0.0757203105862135
"Controlled",24,0.022526223396724,-0.0330393164101497,0.0747282332478353
