"horizon","impulse","response","irf","lower","upper","output_var","method"
0,"FCI_COMP","Credit_yoy",0.33515051029819,0.0356054866437055,0.65437767427979,"IMAEP","SVAR"
1,"FCI_COMP","Credit_yoy",0.290722715371259,-0.0849328458557352,0.680216162128042,"IMAEP","SVAR"
2,"FCI_COMP","Credit_yoy",0.0946125585031622,-0.333681930025573,0.506440983131754,"IMAEP","SVAR"
3,"FCI_COMP","Credit_yoy",-0.0944327580814853,-0.552932793410263,0.29614482482355,"IMAEP","SVAR"
4,"FCI_COMP","Credit_yoy",-0.269133773458912,-0.755094559779974,0.100989558671784,"IMAEP","SVAR"
5,"FCI_COMP","Credit_yoy",-0.428649174474379,-0.94085394656875,-0.0417814622293733,"IMAEP","SVAR"
6,"FCI_COMP","Credit_yoy",-0.574164318129386,-1.10309403468047,-0.175212829232346,"IMAEP","SVAR"
7,"FCI_COMP","Credit_yoy",-0.706819259923196,-1.26123169321614,-0.29138577223337,"IMAEP","SVAR"
8,"FCI_COMP","Credit_yoy",-0.8275731937916,-1.39144391227108,-0.403427145547169,"IMAEP","SVAR"
9,"FCI_COMP","Credit_yoy",-0.937222832652815,-1.50690420277731,-0.49601674039827,"IMAEP","SVAR"
10,"FCI_COMP","Credit_yoy",-1.03644406739452,-1.61663599699424,-0.573973374615436,"IMAEP","SVAR"
11,"FCI_COMP","Credit_yoy",-1.1258255008814,-1.68992858205693,-0.644422233271693,"IMAEP","SVAR"
12,"FCI_COMP","Credit_yoy",-1.20589289804096,-1.77423546910249,-0.701875774836747,"IMAEP","SVAR"
13,"FCI_COMP","Credit_yoy",-1.27712652256581,-1.82784376531155,-0.745462689525578,"IMAEP","SVAR"
14,"FCI_COMP","Credit_yoy",-1.33997330398435,-1.90958306239129,-0.774110177429102,"IMAEP","SVAR"
15,"FCI_COMP","Credit_yoy",-1.39485530805136,-1.95980879905302,-0.812371093501171,"IMAEP","SVAR"
16,"FCI_COMP","Credit_yoy",-1.44217557823032,-1.98366621553122,-0.810812471185475,"IMAEP","SVAR"
17,"FCI_COMP","Credit_yoy",-1.48232211390505,-2.0222478210179,-0.803259626454298,"IMAEP","SVAR"
18,"FCI_COMP","Credit_yoy",-1.51567053280683,-2.05684721701577,-0.806442635470246,"IMAEP","SVAR"
19,"FCI_COMP","Credit_yoy",-1.54258580874062,-2.08272340691678,-0.805497434837122,"IMAEP","SVAR"
20,"FCI_COMP","Credit_yoy",-1.56342336375226,-2.11063076249612,-0.809844325126805,"IMAEP","SVAR"
21,"FCI_COMP","Credit_yoy",-1.57852971379174,-2.13304120102774,-0.795601205342993,"IMAEP","SVAR"
22,"FCI_COMP","Credit_yoy",-1.58824280963648,-2.14244598441541,-0.778303780110871,"IMAEP","SVAR"
23,"FCI_COMP","Credit_yoy",-1.59289217385729,-2.1389825128685,-0.763559418710471,"IMAEP","SVAR"
24,"FCI_COMP","Credit_yoy",-1.59279890529709,-2.1271820995229,-0.740123531918737,"IMAEP","SVAR"
0,"FCI_COMP","IMAEP_yoy",-0.150226592626204,-0.461060434278956,0.203725280080952,"IMAEP","SVAR"
1,"FCI_COMP","IMAEP_yoy",-0.447552099028536,-0.825616901460706,-0.0534281478462641,"IMAEP","SVAR"
2,"FCI_COMP","IMAEP_yoy",-0.395831336455841,-0.704949863667597,-0.0730532004615182,"IMAEP","SVAR"
3,"FCI_COMP","IMAEP_yoy",-0.332481184442306,-0.604843217108634,-0.0365038951187655,"IMAEP","SVAR"
4,"FCI_COMP","IMAEP_yoy",-0.279423713560152,-0.508106192203431,0.00981454284481265,"IMAEP","SVAR"
5,"FCI_COMP","IMAEP_yoy",-0.239064421519379,-0.446082264653699,0.0557239653848425,"IMAEP","SVAR"
6,"FCI_COMP","IMAEP_yoy",-0.208509125866786,-0.426844725864922,0.0805039579151648,"IMAEP","SVAR"
7,"FCI_COMP","IMAEP_yoy",-0.185101895801132,-0.387308575019102,0.106033162463658,"IMAEP","SVAR"
8,"FCI_COMP","IMAEP_yoy",-0.166829892434527,-0.369646803551154,0.117607749891662,"IMAEP","SVAR"
9,"FCI_COMP","IMAEP_yoy",-0.152239132005884,-0.347537869926033,0.132547932799228,"IMAEP","SVAR"
10,"FCI_COMP","IMAEP_yoy",-0.140290269546711,-0.329807369387649,0.138976573712776,"IMAEP","SVAR"
