"test","sample","metric","value","detail"
"TCN_drivers","Full Sample","full_R2",0.0573514331694291,"All regressors"
"TCN_drivers","Full Sample","external_R2",0.0244987017054825,"FFER+VIX+Commodities only"
"TCN_drivers","Full Sample","domestic_R2",0.0340215616549198,"TPM+Spread+FCI_ENDO_noTCN only"
"TCN_drivers","Full Sample","external_partial_R2",0.0233298715145093,"Incremental R2 from external vars"
"TCN_drivers","Full Sample","domestic_partial_R2",0.0328527314639466,"Incremental R2 from domestic vars"
"TCN_drivers","Post-IT","full_R2",0.0813288786751906,"All regressors"
"TCN_drivers","Post-IT","external_R2",0.0298151349630997,"FFER+VIX+Commodities only"
"TCN_drivers","Post-IT","domestic_R2",0.0420381388046477,"TPM+Spread+FCI_ENDO_noTCN only"
"TCN_drivers","Post-IT","external_partial_R2",0.0392907398705429,"Incremental R2 from external vars"
"TCN_drivers","Post-IT","domestic_partial_R2",0.051513743712091,"Incremental R2 from domestic vars"
"Granger_TCN","Full Sample","VIX -> TCN_lag3",0.18678551760797,"F=1.61, p=0.187, lag=3"
"Granger_TCN","Full Sample","VIX -> TCN_lag6",0.0248269234650134,"F=2.45, p=0.025, lag=6"
"Granger_TCN","Full Sample","VIX -> TCN_lag12",0.241397562904602,"F=1.26, p=0.241, lag=12"
"Granger_TCN","Full Sample","FFER -> TCN_lag3",0.806404883732103,"F=0.33, p=0.806, lag=3"
"Granger_TCN","Full Sample","FFER -> TCN_lag6",0.975840817000764,"F=0.20, p=0.976, lag=6"
"Granger_TCN","Full Sample","FFER -> TCN_lag12",0.279925908020095,"F=1.20, p=0.280, lag=12"
"Granger_TCN","Full Sample","Commodities -> TCN_lag3",0.0839101632615905,"F=2.23, p=0.084, lag=3"
"Granger_TCN","Full Sample","Commodities -> TCN_lag6",0.083083025038959,"F=1.88, p=0.083, lag=6"
"Granger_TCN","Full Sample","Commodities -> TCN_lag12",0.105471933309406,"F=1.55, p=0.105, lag=12"
"Granger_TCN","Full Sample","TCN -> VIX_lag3",0.209119612091294,"F=1.52, p=0.209, lag=3"
"Granger_TCN","Full Sample","TCN -> VIX_lag6",0.115138636399063,"F=1.72, p=0.115, lag=6"
"Granger_TCN","Full Sample","TCN -> VIX_lag12",0.231472708936733,"F=1.28, p=0.231, lag=12"
"Granger_TCN","Full Sample","TCN -> FFER_lag3",0.819689346564861,"F=0.31, p=0.820, lag=3"
"Granger_TCN","Full Sample","TCN -> FFER_lag6",0.953413628997199,"F=0.26, p=0.953, lag=6"
"Granger_TCN","Full Sample","TCN -> FFER_lag12",0.993131641608725,"F=0.27, p=0.993, lag=12"
