"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","sample","fci_variant","fci_col","comparison_to"
1,-0.246459594740251,0.941194848084966,0.79359217605464,-1.79458735428085,1.30166816480034,345,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
2,-0.295706663562002,1.09452958269204,0.787198510364425,-2.09604761745869,1.50463429033469,344,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
3,-1.75453952358529,1.30796271909522,0.180697967756346,-3.90594674600637,0.396867698835799,343,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
4,-4.06713005608095,1.40488247188018,0.00404346587700999,-6.3779560853936,-1.75630402676829,342,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
5,-4.8521484971832,1.62830817796063,0.00309766882603573,-7.53047710949648,-2.17381988486992,341,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
6,-5.09956006928374,1.88197634664163,0.00708755567341313,-8.1951356888941,-2.00398444967337,340,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
7,-5.33974867073929,1.87077080076827,0.00458748478868978,-8.4168928075779,-2.26260453390069,339,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
8,-6.18312918270738,2.00235948397505,0.00218821077593444,-9.47671744238442,-2.88954092303034,338,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
9,-6.19785295954598,2.05516809840148,0.00276495721678173,-9.5783036601966,-2.81740225889535,337,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
10,-6.88567563950068,2.1652140225006,0.00161388989852554,-10.447135777537,-3.32421550146438,336,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
11,-7.04950894440848,2.37472045744382,0.00321495044898126,-10.9555765018308,-3.14344138698615,335,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
12,-6.02054231607976,2.51119985742858,0.0170759659895957,-10.1510985095712,-1.88998612258834,334,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
13,-6.2385494923706,2.63744551711938,0.0186040627195009,-10.5767613170913,-1.90033766764989,333,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
14,-6.08402294708904,2.71283358988944,0.0255995080833767,-10.5462371167345,-1.62180877744361,332,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
15,-4.78614599226275,2.6533798430562,0.0722042199085059,-9.15056745079367,-0.421724533731839,331,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
16,-3.10400506051087,2.61308282520908,0.235767950406916,-7.40214382308062,1.19413370205889,330,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
17,-1.98094109855202,2.75152857749787,0.472089488791717,-6.50680285891001,2.54492066180596,329,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
18,-1.00576965871304,2.94524223277775,0.732961266910234,-5.85026202754817,3.83872271012209,328,"Full Sample","ENDO_noTCN_exCredit","FCI_ENDO_noTCN_exCred","ENDO_exCredit (baseline)"
1,1.65709484901393,1.06885754315502,0.122006421751766,-0.101019357539043,3.4152090555669,345,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
2,1.00051871525651,1.38108331726806,0.46930134276671,-1.27116118827403,3.27219861878705,344,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
3,1.31726687075141,1.72444269059891,0.445481417964494,-1.51918894335017,4.15372268485298,343,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
4,0.767172814323274,2.08586885747337,0.713260927269763,-2.66377614123691,4.19812176988346,342,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
5,0.587288623372497,2.24178847651613,0.793505507806873,-3.10012528308307,4.27470252982807,341,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
6,0.431687068174881,2.31282955183349,0.852050971286892,-3.37257900867899,4.23595314502875,340,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
7,-1.21617928350058,2.32778064419967,0.601700685887508,-5.04503771885983,2.61267915185867,339,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
8,-2.68941968419919,2.36019071425901,0.255331789350587,-6.57158794084531,1.19274857244693,338,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
9,-3.68474625412427,2.28557123505665,0.107890988373795,-7.44417638976315,0.0746838815146145,337,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
10,-4.30161624089564,2.5114196969238,0.0876989249128564,-8.43253403817812,-0.170698443613153,336,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
11,-6.20330671976734,2.7301786514015,0.0237340070270754,-10.6940509767506,-1.71256246278411,335,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
12,-8.732910137588,2.90880157667304,0.00288906761697626,-13.5174629610608,-3.9483573141152,334,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
13,-9.12460223839236,3.02069397790483,0.00272384755809767,-14.0932016838596,-4.15600279292514,333,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
14,-8.79626268682916,2.81248436650219,0.00192396047693754,-13.4223877978146,-4.17013757584372,332,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
15,-9.32276247009258,2.63399836088796,0.000460494102956243,-13.6553042273834,-4.99022071280179,331,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
16,-9.63662204324835,2.77050830777486,0.000574711238335119,-14.193702681791,-5.07954140470569,330,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
17,-9.52651753614625,3.19314784818747,0.00307103965065225,-14.7787783556297,-4.2742567166628,329,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
18,-8.93593300954906,3.37606209729889,0.00853025508211039,-14.4890609951045,-3.38280502399359,328,"Full Sample","EXO_withTCN","FCI_EXO_withTCN","EXO (baseline)"
1,0.632230892281841,0.985222395309699,0.521499114968684,-0.988315737997134,2.25277752256082,345,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
2,0.695913520987755,1.04102971923102,0.504286689559853,-1.01642798845366,2.40825503042917,344,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
3,-0.245538929167265,1.16906503860236,0.833772957342255,-2.16847979805452,1.67740193971999,343,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
4,-2.48161857406135,1.22890643081268,0.0442542455463934,-4.50298977396758,-0.46024737415512,342,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
5,-3.01555763461931,1.39329863944425,0.0311558675171167,-5.30732995513573,-0.723785314102895,341,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
6,-3.23940612126516,1.71866693416456,0.0603331327016109,-6.0663616614473,-0.412450581083017,340,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
7,-4.19826897028935,1.75722414203241,0.0174521510622525,-7.08864547367805,-1.30789246690064,339,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
8,-5.74198219306852,1.85143693010761,0.00209398410607712,-8.78732494262792,-2.69663944350913,338,"Full Sample","FCI_exCredit (COMP equiv.)","FCI_exCredit_AVG","Unchanged (same 11 vars)"
