"horizon","credit_type","method","coef","se","p_value","ci_lower","ci_upper","first_stage_F","wu_hausman_p","AR_F","AR_p","AR_CI_lower","AR_CI_upper","n_obs"
1,"Cred_Real_Total","2SLS_DXY",-2.71859617642187,7.0020246376642,0.698092037642637,-14.2359017976874,8.79870944484366,12.5346301764384,0.705992390606327,0.242871138952126,0.622490083990386,-13,7,323
1,"Cred_Real_Total","OLS",-0.674262611608876,0.920257994213079,0.464303749631481,-2.18795231112135,0.839427087903594,NA,NA,NA,NA,NA,NA,323
2,"Cred_Real_Total","2SLS_DXY",-9.11684504044576,10.5049345778754,0.3861449608974,-26.395924781752,8.16223470086052,12.5581045693258,0.225653467845145,1.69046811399088,0.194511369519405,-25,2,322
2,"Cred_Real_Total","OLS",-0.759818574070023,1.0652336069039,0.476207523831537,-2.5119719359365,0.992334787796458,NA,NA,NA,NA,NA,NA,322
3,"Cred_Real_Total","2SLS_DXY",-18.2721296189532,14.3894407352026,0.20510718915029,-41.9406534020544,5.39639416414802,12.646603790454,0.0459217488347857,4.84929696229766,0.0284007144772981,-41,-5,321
3,"Cred_Real_Total","OLS",-1.962909350804,1.33884362481859,0.143638299222252,-4.16511114300771,0.239292441399704,NA,NA,NA,NA,NA,NA,321
4,"Cred_Real_Total","2SLS_DXY",-31.8585029859841,18.2563343566068,0.0819772798702543,-61.8875007672876,-1.82950520468052,12.6595973352706,0.00205756642975216,11.7915634132178,0.000677050032019737,-64,-16,320
4,"Cred_Real_Total","OLS",-3.62983273002832,1.37654006390818,0.0087932574634835,-5.8940396467917,-1.36562581326495,NA,NA,NA,NA,NA,NA,320
5,"Cred_Real_Total","2SLS_DXY",-50.2894359482853,23.7542188274224,0.0350628889029072,-89.3616489419699,-11.2172229546007,11.758804528263,1.22099366062269e-05,22.6730745079124,2.97239120229534e-06,-100,-29,319
5,"Cred_Real_Total","OLS",-4.2304294428957,1.59068642154638,0.00823914876621444,-6.84687577271872,-1.61398311307267,NA,NA,NA,NA,NA,NA,319
6,"Cred_Real_Total","2SLS_DXY",-64.6740520228603,27.5397022022759,0.019495042239734,-109.972831075437,-19.3752729702834,11.9704988052027,9.23011833357235e-08,32.8557794514323,2.39106363429258e-08,-127,-39,318
6,"Cred_Real_Total","OLS",-4.04499831453546,1.81840537504021,0.0268505481977576,-7.03600899093841,-1.05398763813252,NA,NA,NA,NA,NA,NA,318
