"horizon","credit_type","method","coef","se","p_value","ci_lower","ci_upper","first_stage_F","wu_hausman_p","AR_F","AR_p","AR_CI_lower","AR_CI_upper","n_obs"
1,"Cred_Real_Total","2SLS_GFC_PCA",108.581724420439,317.223093852123,0.732366707765096,-413.203832054992,630.367280895871,0.11100555989368,0.0570860096399443,3.60783468761144,0.0584389929323431,-600,200,323
1,"Cred_Real_Total","OLS",-0.674262611608876,0.920257994213079,0.464303749631481,-2.18795231112135,0.839427087903594,NA,NA,NA,NA,NA,NA,323
2,"Cred_Real_Total","2SLS_GFC_PCA",160.459816724372,473.737194343718,0.735058534424414,-618.768525613708,939.688159062451,0.11443517959644,0.0252391183720347,5.01789917883451,0.0257996042316841,-600,200,322
2,"Cred_Real_Total","OLS",-0.759818574070023,1.0652336069039,0.476207523831537,-2.5119719359365,0.992334787796458,NA,NA,NA,NA,NA,NA,322
3,"Cred_Real_Total","2SLS_GFC_PCA",213.622466282114,609.499032368114,0.726212400457409,-788.914227731991,1216.15916029622,0.127048814488171,0.00801977660107078,6.97744971712292,0.00867698336948462,-600,200,321
3,"Cred_Real_Total","OLS",-1.962909350804,1.33884362481859,0.143638299222252,-4.16511114300771,0.239292441399704,NA,NA,NA,NA,NA,NA,321
4,"Cred_Real_Total","2SLS_GFC_PCA",303.15783299554,863.903568228194,0.72589262039955,-1117.83708454092,1724.152750532,0.125177108991855,0.00085337604345334,10.9611180392509,0.00104175941765406,-600,200,320
4,"Cred_Real_Total","OLS",-3.62983273002832,1.37654006390818,0.0087932574634835,-5.8940396467917,-1.36562581326495,NA,NA,NA,NA,NA,NA,320
5,"Cred_Real_Total","2SLS_GFC_PCA",616.208834053298,2817.38418581191,0.827017056663686,-4017.97576249515,5250.39343060174,0.0468764995648606,0.000212587613329296,13.7061846146424,0.000253608952467317,-600,200,319
5,"Cred_Real_Total","OLS",-4.2304294428957,1.59068642154638,0.00823914876621444,-6.84687577271872,-1.61398311307267,NA,NA,NA,NA,NA,NA,319
6,"Cred_Real_Total","2SLS_GFC_PCA",612.91319055436,2506.11075224088,0.806956337351195,-3509.27216981113,4735.09855091985,0.0596369527779844,0.000149265451258462,14.4419835059574,0.000174607857910716,-600,200,318
6,"Cred_Real_Total","OLS",-4.04499831453546,1.81840537504021,0.0268505481977576,-7.03600899093841,-1.05398763813252,NA,NA,NA,NA,NA,NA,318
7,"Cred_Real_Total","2SLS_GFC_PCA",717.78245989471,3023.57542536289,0.812510603710143,-4255.55654487477,5691.12146466419,0.0556385840628224,6.74697300541083e-05,15.9609395662027,8.12395774509668e-05,-600,200,317
7,"Cred_Real_Total","OLS",-4.70340138392966,1.81556984862426,0.0100444258616576,-7.68974803442301,-1.71705473343631,NA,NA,NA,NA,NA,NA,317
8,"Cred_Real_Total","2SLS_GFC_PCA",774.704996936865,3184.52270409293,0.807959901411564,-4463.36872299969,6012.77871687342,0.0587144920472163,2.2681340356386e-05,18.0381734918277,2.88646200022438e-05,-600,200,316
8,"Cred_Real_Total","OLS",-5.40973735574849,1.92750938543447,0.00533225045272933,-8.58020815936338,-2.23926655213361,NA,NA,NA,NA,NA,NA,316
9,"Cred_Real_Total","2SLS_GFC_PCA",515.353552982789,1276.27695906564,0.686650598963948,-1583.93523213093,2614.64233809651,0.169634933791093,4.09770675465178e-06,21.3850537687803,5.58484886969348e-06,-600,200,315
9,"Cred_Real_Total","OLS",-4.94833776709987,1.92079401699498,0.0104661010180961,-8.10776277258076,-1.78891276161899,NA,NA,NA,NA,NA,NA,315
10,"Cred_Real_Total","2SLS_GFC_PCA",507.812014636196,1116.29791493359,0.64950498135093,-1328.33465950068,2343.95868877307,0.211476948138136,8.54054662863476e-07,24.3233789955564,1.35121149869009e-06,-600,200,314
10,"Cred_Real_Total","OLS",-5.96687264728811,2.11437154960606,0.00509034486923491,-9.44470435938064,-2.48904093519559,NA,NA,NA,NA,NA,NA,314
11,"Cred_Real_Total","2SLS_GFC_PCA",609.114936187408,1425.93057710099,0.669562866656866,-1736.33214533816,2954.56201771297,0.182454973743366,1.26590420723559e-07,28.163241742598,2.17604290426607e-07,-600,200,313
11,"Cred_Real_Total","OLS",-6.70043513860957,2.24314004350498,0.00304978760772209,-10.3900721749288,-3.01079810229033,NA,NA,NA,NA,NA,NA,313
12,"Cred_Real_Total","2SLS_GFC_PCA",518.754716497075,986.761505551067,0.599477641310701,-1104.32352484469,2141.83295783884,0.288738021884096,3.91580178701899e-08,30.5620909060205,7.06776491505171e-08,-600,200,312
12,"Cred_Real_Total","OLS",-6.36816907791279,2.40448837314971,0.00851696363697732,-10.3232004994507,-2.41313765637485,NA,NA,NA,NA,NA,NA,312
13,"Cred_Real_Total","2SLS_GFC_PCA",557.413128259574,1093.19352152866,0.610504218462235,-1240.7302005867,2355.55645710585,0.259470998092398,3.89592081802723e-08,30.5556751276028,7.10650882342312e-08,-600,200,311
13,"Cred_Real_Total","OLS",-6.73511401899459,2.49746741430882,0.00740116607882302,-10.8430823536136,-2.62714568437561,NA,NA,NA,NA,NA,NA,311
14,"Cred_Real_Total","2SLS_GFC_PCA",546.975193411321,1013.78861504828,0.589922862171645,-1120.55868701296,2214.5090738356,0.292523474380143,1.21648366287852e-08,32.8519783241133,2.44898087679192e-08,-600,200,310
14,"Cred_Real_Total","OLS",-7.06910007984089,2.60436006617302,0.0070305502314189,-11.3528911805732,-2.78530897910863,NA,NA,NA,NA,NA,NA,310
15,"Cred_Real_Total","2SLS_GFC_PCA",572.040763908881,1048.16066824943,0.585645598838903,-1152.03011288906,2296.11164070683,0.293049036862499,2.96627534590126e-09,35.8868119637164,6.07815450169194e-09,-600,200,309
15,"Cred_Real_Total","OLS",-6.94254471808393,2.72024134621244,0.0112091066831307,-11.4169435625848,-2.46814587358305,NA,NA,NA,NA,NA,NA,309
16,"Cred_Real_Total","2SLS_GFC_PCA",598.838282705623,1113.20741543366,0.591025769555302,-1232.2249721197,2429.90153753095,0.276680737257194,1.94493792321098e-09,37.0229500729099,3.6311579069126e-09,-600,200,308
16,"Cred_Real_Total","OLS",-6.3511702450674,2.68551100629552,0.0186805388162318,-10.7684427639907,-1.93389772614411,NA,NA,NA,NA,NA,NA,308
17,"Cred_Real_Total","2SLS_GFC_PCA",690.877298941395,1424.96557339033,0.628153611360095,-1652.98249273066,3034.73709061345,0.210371501891268,1.70257202598136e-09,37.4453705658409,3.00708865554839e-09,-600,200,307
17,"Cred_Real_Total","OLS",-6.33967978877233,2.40425074323303,0.00881398751491173,-10.29432034388,-2.3850392336647,NA,NA,NA,NA,NA,NA,307
18,"Cred_Real_Total","2SLS_GFC_PCA",690.864801186129,1391.50828681278,0.619924892864395,-1597.9626513109,2979.69225368316,0.217206670887244,6.09807081703033e-10,39.7618470402615,1.05814891752599e-09,-600,200,306
18,"Cred_Real_Total","OLS",-5.94486924531091,2.36418652984311,0.0124558391990056,-9.83361003371316,-2.05612845690867,NA,NA,NA,NA,NA,NA,306
19,"Cred_Real_Total","2SLS_GFC_PCA",831.379565867471,1923.52317057616,0.665903748194087,-2332.53449777992,3995.29362951486,0.153539245887893,3.9661481800451e-10,41.0338612517495,5.99915608466783e-10,-600,200,305
19,"Cred_Real_Total","OLS",-5.28562165542137,2.15710548563404,0.014861328094285,-8.83374443718343,-1.73749887365931,NA,NA,NA,NA,NA,NA,305
20,"Cred_Real_Total","2SLS_GFC_PCA",813.124581731773,1800.71769413141,0.651926501667765,-2148.79244857597,3775.04161203952,0.168466629102969,1.4894936393538e-10,43.2092923217669,2.28138197928492e-10,-600,200,304
20,"Cred_Real_Total","OLS",-5.16903126812444,2.2414735557494,0.0218110393171299,-8.85592717601465,-1.48213536023422,NA,NA,NA,NA,NA,NA,304
21,"Cred_Real_Total","2SLS_GFC_PCA",896.657827548526,2178.356165042,0.680922109732786,-2686.4192113129,4479.73486640995,0.134924238671937,2.76522719038885e-10,42.1757578824894,3.63248912755924e-10,-600,200,303
21,"Cred_Real_Total","OLS",-4.19617652934346,2.19360986260285,0.056747824927486,-7.80434366796227,-0.588009390724642,NA,NA,NA,NA,NA,NA,303
22,"Cred_Real_Total","2SLS_GFC_PCA",870.894789223805,2075.02340143009,0.675014908928987,-2542.21497862765,4284.00455707526,0.13776256536073,4.66155067279055e-10,41.196356871181,5.65266930318098e-10,-600,200,302
22,"Cred_Real_Total","OLS",-3.4187078796789,2.0701167331905,0.0997352853453605,-6.82374689648023,-0.0136688628775641,NA,NA,NA,NA,NA,NA,302
23,"Cred_Real_Total","2SLS_GFC_PCA",929.707103332516,2445.42187145823,0.704091000071527,-3092.65393136201,4952.06813802705,0.109373130515785,2.60752259440154e-09,37.4755211946363,3.03351981380171e-09,-600,200,301
23,"Cred_Real_Total","OLS",-3.26236115543278,1.94678397592173,0.0948723871365071,-6.46453583911864,-0.0601864717469143,NA,NA,NA,NA,NA,NA,301
24,"Cred_Real_Total","2SLS_GFC_PCA",714.199349243718,1546.16217381756,0.644491656259784,-1829.01111021527,3257.40980870271,0.173075757837892,9.18150306029327e-09,34.7201916663411,1.06853191247822e-08,-600,200,300
24,"Cred_Real_Total","OLS",-2.92295849620765,2.18246832469614,0.181539573674844,-6.51279943579079,0.666882443375494,NA,NA,NA,NA,NA,NA,300
1,"Cred_Real_MN","2SLS_GFC_PCA",710.768055106195,9684.66667415145,0.941542407519005,-15219.0910496879,16640.6271599003,0.0046256917837597,0.00329061816613804,8.66460438581437,0.00349039807872145,-600,200,323
1,"Cred_Real_MN","OLS",-1.71695766726268,0.788688383794024,0.0302388023515315,-3.01423461588077,-0.419680718644583,NA,NA,NA,NA,NA,NA,323
2,"Cred_Real_MN","2SLS_GFC_PCA",1015.47806349863,14099.7571620238,0.942631971111489,-22176.5586435913,24207.5147705885,0.00473487432635802,0.00121485013284983,10.5230535810451,0.0013084655979206,-600,200,322
2,"Cred_Real_MN","OLS",-2.34560690582023,0.92992960061509,0.0121611208326435,-3.87520498220149,-0.816008829438967,NA,NA,NA,NA,NA,NA,322
3,"Cred_Real_MN","2SLS_GFC_PCA",1097.50216820094,13053.5425419845,0.93305004135974,-20373.6646265476,22568.6689629495,0.00659468372773944,0.000743907144094973,11.2925447802332,0.000876496554859474,-600,200,321
3,"Cred_Real_MN","OLS",-4.02707652228186,1.23025792284523,0.00118406384949633,-6.05067072875962,-2.00348231580409,NA,NA,NA,NA,NA,NA,321
4,"Cred_Real_MN","2SLS_GFC_PCA",1582.35583987916,19973.7402365139,0.936907979799214,-31271.5232319373,34436.2349116956,0.00578255722832634,6.64586984348908e-05,15.7595156298973,8.96938944090018e-05,-600,200,320
4,"Cred_Real_MN","OLS",-5.48373781755631,1.48440316271488,0.00026118023101731,-7.92536374360613,-3.0421118915065,NA,NA,NA,NA,NA,NA,320
5,"Cred_Real_MN","2SLS_GFC_PCA",-2418.56979971049,40386.4040831369,0.952285854621949,-68848.2930353859,64011.1534359649,0.00323149400263596,5.37664376599356e-05,16.3548513104853,6.65868236764461e-05,-600,200,319
5,"Cred_Real_MN","OLS",-6.27533213691431,1.6779258929368,0.00021982539484746,-9.03527462766719,-3.51538964616142,NA,NA,NA,NA,NA,NA,319
6,"Cred_Real_MN","2SLS_GFC_PCA",-5674.53689808721,198942.218827934,0.977263306950192,-332905.367090988,321556.293294814,0.000743981697348038,3.25534142889339e-05,17.3963445959681,3.96278420145148e-05,-600,200,318
6,"Cred_Real_MN","OLS",-6.18746477091755,1.82939868502234,0.000813067236966447,-9.1965578331168,-3.17837170871831,NA,NA,NA,NA,NA,NA,318
7,"Cred_Real_MN","2SLS_GFC_PCA",-5617.03496310834,174547.800248746,0.974349296517435,-292722.61727866,281488.547352443,0.000943224796739971,1.57818921803799e-05,18.8252138478953,1.95401215743523e-05,-600,200,317
7,"Cred_Real_MN","OLS",-6.68821259172784,1.81879497027724,0.000278819277689898,-9.67986409526946,-3.69656108818623,NA,NA,NA,NA,NA,NA,317
8,"Cred_Real_MN","2SLS_GFC_PCA",-8854.26690735275,396229.577110746,0.982186469480013,-660593.923923411,642885.390108706,0.000461126710964096,7.13098556959184e-06,20.388629665042,9.0723841013814e-06,-600,200,316
8,"Cred_Real_MN","OLS",-7.12254674431851,1.82100183352253,0.000113419140795999,-10.1178282148733,-4.12726527376369,NA,NA,NA,NA,NA,NA,316
9,"Cred_Real_MN","2SLS_GFC_PCA",1343.64143964142,8271.48357945179,0.871066308888082,-12261.7383262894,14949.0212055722,0.0252644083467339,1.51802798923236e-06,23.2341989786409,2.27901838296678e-06,-600,200,315
9,"Cred_Real_MN","OLS",-7.27967321979985,1.82976584125072,8.69597969635515e-05,-10.289370200253,-4.2699762393467,NA,NA,NA,NA,NA,NA,315
10,"Cred_Real_MN","2SLS_GFC_PCA",1049.23457880941,4773.05224057946,0.826157217266086,-6801.73771073656,8900.20686835537,0.046005991564403,1.1414990958639e-06,23.6684624081972,1.85131268914997e-06,-600,200,314
10,"Cred_Real_MN","OLS",-7.80880941444728,1.96100520189413,8.57904392317285e-05,-11.0343759332536,-4.58324289564102,NA,NA,NA,NA,NA,NA,314
11,"Cred_Real_MN","2SLS_GFC_PCA",1294.9091676153,6719.58199671208,0.847319419787613,-9757.81965127437,12347.637986505,0.0354268360736189,7.37821095494365e-07,24.5860111077872,1.1931847292666e-06,-600,200,313
11,"Cred_Real_MN","OLS",-8.37148682349546,2.20253043269945,0.000174747511541687,-11.9943269941921,-4.74864665279878,NA,NA,NA,NA,NA,NA,313
12,"Cred_Real_MN","2SLS_GFC_PCA",811.007021169291,2729.5175737809,0.76657833066015,-3678.649859892,5300.66390223058,0.0902094137234599,1.92078724231481e-06,22.5108391836605,3.24665008480764e-06,-600,200,312
12,"Cred_Real_MN","OLS",-8.50599082537813,2.23350838835512,0.000169875300235783,-12.1797851987906,-4.83219645196569,NA,NA,NA,NA,NA,NA,312
13,"Cred_Real_MN","2SLS_GFC_PCA",895.857936093257,3253.41641465256,0.783231806756901,-4455.53585353146,6247.25172571798,0.0737336311384392,4.01257314167361e-06,21.1332498408385,6.34535144613604e-06,-600,200,311
13,"Cred_Real_MN","OLS",-8.55415732092627,2.32712051330627,0.000281233598444352,-12.3819299375913,-4.72638470426128,NA,NA,NA,NA,NA,NA,311
14,"Cred_Real_MN","2SLS_GFC_PCA",822.355168397101,2699.83351990781,0.760888845994466,-3618.47578898842,5263.18612578262,0.0926632464360091,2.90573703214515e-06,21.7729543014619,4.65522753858775e-06,-600,200,310
14,"Cred_Real_MN","OLS",-8.42384675888722,2.41075451675477,0.000548018389889917,-12.3891850694609,-4.4585084483135,NA,NA,NA,NA,NA,NA,310
15,"Cred_Real_MN","2SLS_GFC_PCA",858.273068161803,2786.209944824,0.758266837937597,-3724.63446503021,5441.18060135381,0.0934668172283657,1.21055868575998e-06,23.6007105757964,1.92752190173895e-06,-600,200,309
15,"Cred_Real_MN","OLS",-8.14160319018887,2.4382434676935,0.000948370710769113,-12.1521568014153,-4.13104957896248,NA,NA,NA,NA,NA,NA,309
16,"Cred_Real_MN","2SLS_GFC_PCA",911.610375010856,3061.36432684486,0.766082067152159,-4123.88584141976,5947.10659144147,0.0844292701907201,1.10101663744576e-06,23.865439510625,1.69988492716211e-06,-600,200,308
16,"Cred_Real_MN","OLS",-7.94284111635254,2.39499105000474,0.00102617701429286,-11.8822508314691,-4.00343140123594,NA,NA,NA,NA,NA,NA,308
17,"Cred_Real_MN","2SLS_GFC_PCA",1219.49486632033,5130.30160875545,0.812276564538279,-7219.10034219604,9658.09007483669,0.0494025560063955,6.77458616747781e-07,24.9845547621738,9.96100860044903e-07,-600,200,307
17,"Cred_Real_MN","OLS",-7.86182802798837,2.24638683120816,0.000538069261581868,-11.5568055548371,-4.1668505011396,NA,NA,NA,NA,NA,NA,307
18,"Cred_Real_MN","2SLS_GFC_PCA",1172.2789726936,4738.6631871338,0.804783355185125,-6622.12835756485,8966.68630295206,0.0530024491576918,5.23224161598325e-07,25.4891939115927,7.84331232711272e-07,-600,200,306
