"horizon","coef","se","p_value","ci_lower","ci_upper","n_obs","credit_type","purge_type","purge_r2"
1,0.81922814127345,0.803253979866306,0.308550178528286,-0.502007080872847,2.14046336341975,332,"Cred_Real_Total","globally_purged",0.555535340937158
2,0.632779181812674,1.20100363052031,0.598645204771811,-1.34269599583055,2.60825435945589,331,"Cred_Real_Total","globally_purged",0.555535340937158
3,-2.12885443963322,1.61279876284789,0.187789691922245,-4.78167233424642,0.52396345497997,330,"Cred_Real_Total","globally_purged",0.555535340937158
4,-3.35388099210872,1.85860819037862,0.0720970457069399,-6.4110194151347,-0.296742569082733,329,"Cred_Real_Total","globally_purged",0.555535340937158
5,-3.31597561807679,2.01891227503827,0.101486989672896,-6.63679079617034,0.00483956001674812,328,"Cred_Real_Total","globally_purged",0.555535340937158
6,-3.17212266880865,2.29514218954202,0.16791627224509,-6.94729562364618,0.603050286028886,327,"Cred_Real_Total","globally_purged",0.555535340937158
7,-3.56251341840426,2.28874229954124,0.120584412054759,-7.32715949096192,0.202132654153403,326,"Cred_Real_Total","globally_purged",0.555535340937158
8,-4.0543436446164,2.27567341886382,0.0757806201136966,-7.79749332139161,-0.311193967841187,325,"Cred_Real_Total","globally_purged",0.555535340937158
9,-3.31605218862423,2.2903033870438,0.148655453370565,-7.08326602162247,0.451161644374007,324,"Cred_Real_Total","globally_purged",0.555535340937158
10,-3.54910392970044,2.54193925162539,0.163641133625091,-7.73022192722678,0.632014067825902,323,"Cred_Real_Total","globally_purged",0.555535340937158
11,-2.98752616073008,2.8016589129122,0.287096239515732,-7.59584498511463,1.62079266365448,322,"Cred_Real_Total","globally_purged",0.555535340937158
12,-2.89453544365132,2.72699203145515,0.289316705362497,-7.38003817725808,1.59096728995545,321,"Cred_Real_Total","globally_purged",0.555535340937158
13,-2.3695611980183,2.78506611261257,0.395533897032726,-6.95058729464872,2.21146489861213,320,"Cred_Real_Total","globally_purged",0.555535340937158
14,-1.71271870006173,2.75298237550954,0.534315278281583,-6.24097174535208,2.81553434522861,319,"Cred_Real_Total","globally_purged",0.555535340937158
15,-0.244813297156449,2.64711578033958,0.926374591558022,-4.59893128940848,4.10930469509558,318,"Cred_Real_Total","globally_purged",0.555535340937158
16,1.75532496957915,2.54505852593273,0.490906033516251,-2.43092377760506,5.94157371676337,317,"Cred_Real_Total","globally_purged",0.555535340937158
17,1.47788627591332,2.28484640796157,0.518234366370057,-2.28035162524931,5.23612417707596,316,"Cred_Real_Total","globally_purged",0.555535340937158
18,1.92406463732047,2.13963597251358,0.369231990533773,-1.59532335242433,5.44345262706527,315,"Cred_Real_Total","globally_purged",0.555535340937158
19,2.01303932091302,1.89421777814752,0.288751318422687,-1.1026716617089,5.12875030353493,314,"Cred_Real_Total","globally_purged",0.555535340937158
20,2.06955182690832,2.11983559082863,0.329707390108842,-1.41726743320697,5.55637108702361,313,"Cred_Real_Total","globally_purged",0.555535340937158
21,2.61179962971523,2.02758478277346,0.198688885599403,-0.723280554181305,5.94687981361176,312,"Cred_Real_Total","globally_purged",0.555535340937158
22,3.03292732314571,2.07733370005586,0.145333795090493,-0.383982547779691,6.44983719407112,311,"Cred_Real_Total","globally_purged",0.555535340937158
23,2.71617631557954,2.07819685072005,0.19222138422295,-0.702153311846448,6.13450594300554,310,"Cred_Real_Total","globally_purged",0.555535340937158
24,2.61064455879137,2.02256600553649,0.197787873518121,-0.716180471164083,5.93746958874681,309,"Cred_Real_Total","globally_purged",0.555535340937158
1,0.0984718088942104,0.680184452394837,0.884981575540425,-1.02033205462344,1.21727567241186,332,"Cred_Real_MN","globally_purged",0.555535340937158
2,-0.00886268668388628,1.17172794837291,0.993969751312408,-1.93618365236547,1.91845827899769,331,"Cred_Real_MN","globally_purged",0.555535340937158
3,-2.13452824632495,1.58546638419787,0.179158632017769,-4.74238837878244,0.473331886132551,330,"Cred_Real_MN","globally_purged",0.555535340937158
4,-2.68504023413001,2.03300711087214,0.18754324702186,-6.02903935406618,0.65895888580615,329,"Cred_Real_MN","globally_purged",0.555535340937158
5,-3.3514485300306,2.31703266791721,0.14904187586498,-7.16262811761927,0.459731057558077,328,"Cred_Real_MN","globally_purged",0.555535340937158
6,-2.9584107112778,2.6880036527891,0.271909450563377,-7.37978326882676,1.46296184627117,327,"Cred_Real_MN","globally_purged",0.555535340937158
7,-3.32480376797414,2.89303966797577,0.251327905954814,-8.08343055875857,1.4338230228103,326,"Cred_Real_MN","globally_purged",0.555535340937158
8,-3.68251454177188,2.9336738566523,0.21031885589001,-8.50797862517912,1.14294954163537,325,"Cred_Real_MN","globally_purged",0.555535340937158
9,-3.22997623328677,3.03423952135209,0.287918549789774,-8.22085611502226,1.76090364844872,324,"Cred_Real_MN","globally_purged",0.555535340937158
10,-3.28434747893214,3.05552177504684,0.283254862541989,-8.31023355284714,1.74153859498286,323,"Cred_Real_MN","globally_purged",0.555535340937158
