"horizon","method","coef","se","p_value","ci_lower","ci_upper","first_stage_F","AR_CI_lower","AR_CI_upper","n_obs","scale"
6,"OLS-LP",-3.23940612126516,1.71866693416456,0.0603331327016109,-6.0663616614473,-0.412450581083017,NA,NA,NA,340,"LP"
6,"DXY_IV-LP",-64.6740520228603,27.5397022022759,0.019495042239734,-109.972831075437,-19.3752729702834,11.9704988052027,-127,-39,318,"LP"
6,"GFC-PCA_IV",612.91319055436,2506.11075224088,0.806956337351195,-3509.27216981113,4735.09855091985,0.0596369527779844,-600,200,318,"LP"
6,"Globally-purged",-3.17212266880865,2.29514218954202,0.16791627224509,-6.94729562364618,0.603050286028886,NA,NA,NA,327,"LP"
6,"Proxy-SVAR_DXY",0.0219509887035968,NA,NA,-16.1120974372419,18.5960701000901,NA,NA,NA,NA,"VAR"
6,"Block-SVAR_DXY",-0.237868222961028,NA,NA,-0.695077934011981,0.142081763555561,NA,NA,NA,NA,"VAR"
12,"OLS-LP",-7.65628048038672,2.74502470347948,0.00559825152330819,-12.1714443199763,-3.1411166407971,NA,NA,NA,334,"LP"
12,"DXY_IV-LP",-149.585672762961,44.4899047232405,0.00087407141496746,-222.765053909708,-76.406291616213,12.0527353998938,-250,-99,312,"LP"
12,"GFC-PCA_IV",518.754716497075,986.761505551067,0.599477641310701,-1104.32352484469,2141.83295783884,0.288738021884096,-600,200,312,"LP"
12,"Globally-purged",-2.89453544365132,2.72699203145515,0.289316705362497,-7.38003817725808,1.59096728995545,NA,NA,NA,321,"LP"
12,"Proxy-SVAR_DXY",-0.396893986794697,NA,NA,-14.8244523057679,14.4278873859283,NA,NA,NA,NA,"VAR"
12,"Block-SVAR_DXY",-0.748408318941871,NA,NA,-1.18496716362791,-0.151767190800891,NA,NA,NA,NA,"VAR"
18,"OLS-LP",-4.28019524327448,2.57334561856574,0.09724460672417,-8.51297211737201,-0.0474183691769525,NA,NA,NA,328,"LP"
18,"DXY_IV-LP",-153.736573590448,47.1228713592135,0.00123553930671159,-231.246799458018,-76.2263477228786,11.3218729478966,-250,-100,306,"LP"
18,"GFC-PCA_IV",690.864801186129,1391.50828681278,0.619924892864395,-1597.9626513109,2979.69225368316,0.217206670887244,-600,200,306,"LP"
18,"Globally-purged",1.92406463732047,2.13963597251358,0.369231990533773,-1.59532335242433,5.44345262706527,NA,NA,NA,315,"LP"
18,"Proxy-SVAR_DXY",-0.690520685780208,NA,NA,-9.94153441978566,10.7008770232497,NA,NA,NA,NA,"VAR"
18,"Block-SVAR_DXY",-1.0315451740234,NA,NA,-1.32984897687858,-0.218080214238648,NA,NA,NA,NA,"VAR"
24,"OLS-LP",-0.159731522181859,2.10312260553242,0.93950795264341,-3.61906036781549,3.29959732345177,NA,NA,NA,322,"LP"
24,"DXY_IV-LP",-136.568226100761,62.7581381154497,0.030365857704108,-239.79617720068,-33.3402750008422,10.7473895254922,-250,-87,300,"LP"
24,"GFC-PCA_IV",714.199349243718,1546.16217381756,0.644491656259784,-1829.01111021527,3257.40980870271,0.173075757837892,-600,200,300,"LP"
24,"Globally-purged",2.61064455879137,2.02256600553649,0.197787873518121,-0.716180471164083,5.93746958874681,NA,NA,NA,309,"LP"
24,"Proxy-SVAR_DXY",-0.857193478811751,NA,NA,-6.4873977640125,7.02520520882156,NA,NA,NA,NA,"VAR"
24,"Block-SVAR_DXY",-1.11150778250819,NA,NA,-1.27954163047571,-0.203455750452861,NA,NA,NA,NA,"VAR"
