"horizon","coef","ci_lower","ci_upper","ordering"
0,0.207016129259259,-0.078889358136498,0.479895105932039,"FCI first (baseline)"
1,0.0589244941105418,-0.284992080440993,0.387184494434335,"FCI first (baseline)"
2,-0.143114349405496,-0.537677478155794,0.178742271213591,"FCI first (baseline)"
3,-0.307280674627865,-0.73002056054537,0.0332168805222138,"FCI first (baseline)"
4,-0.452737886722211,-0.921924739531551,-0.0808168856862115,"FCI first (baseline)"
5,-0.583060569257,-1.08644361914089,-0.177252131477971,"FCI first (baseline)"
6,-0.699897257933633,-1.2286659733886,-0.239440478774408,"FCI first (baseline)"
7,-0.804378670854221,-1.34590851173871,-0.287112257502332,"FCI first (baseline)"
8,-0.897381396185138,-1.47208252506671,-0.338806523954925,"FCI first (baseline)"
9,-0.979656639855893,-1.59027429574281,-0.384034331036505,"FCI first (baseline)"
10,-1.05188035076732,-1.65679185784578,-0.415690670418909,"FCI first (baseline)"
11,-1.1146766815944,-1.78556477144217,-0.426640307124471,"FCI first (baseline)"
12,-1.16863099627499,-1.90135674545819,-0.432678573364029,"FCI first (baseline)"
13,-1.21429784858933,-1.98625940688571,-0.434549528354724,"FCI first (baseline)"
14,-1.25220613208802,-2.02009712022995,-0.432896508172641,"FCI first (baseline)"
15,-1.28286246061881,-2.0327618343386,-0.428277945646941,"FCI first (baseline)"
16,-1.30675338210185,-2.03291741779497,-0.421180134980031,"FCI first (baseline)"
17,-1.3243468092926,-2.01847221395243,-0.41202760126298,"FCI first (baseline)"
18,-1.33609292657988,-1.97000016366587,-0.401191589914134,"FCI first (baseline)"
19,-1.34242475211479,-1.96246543569756,-0.351157906126354,"FCI first (baseline)"
20,-1.34375848030114,-1.94728497325172,-0.301490983243576,"FCI first (baseline)"
21,-1.3404936916914,-1.9399025915604,-0.259916209137865,"FCI first (baseline)"
22,-1.33301349043109,-1.95207857831517,-0.239379633930521,"FCI first (baseline)"
23,-1.32168461027465,-1.93053991712602,-0.229855828682388,"FCI first (baseline)"
24,-1.30685751660819,-1.90867871784673,-0.21999211400063,"FCI first (baseline)"
0,0.211699965497546,-0.0781650422219158,0.585825546989635,"Output first"
1,0.0856030050875329,-0.258506500668642,0.458425288504702,"Output first"
2,-0.111844671154928,-0.470404222142382,0.245568612914895,"Output first"
3,-0.272727725387335,-0.664513388440902,0.0739491742994735,"Output first"
4,-0.416199010664303,-0.83809301219046,-0.0471640915659331,"Output first"
5,-0.545483840358523,-0.991171518938152,-0.164072916240055,"Output first"
6,-0.661958408541397,-1.14771416662628,-0.286865160826275,"Output first"
7,-0.766570885152043,-1.27601704897356,-0.350623487567961,"Output first"
8,-0.860066700129254,-1.40779447787793,-0.403849402020055,"Output first"
9,-0.943101089749416,-1.52299040677016,-0.411033560578863,"Output first"
10,-1.01627898661628,-1.62263519087157,-0.401798596014179,"Output first"
11,-1.08017148559234,-1.70733104702855,-0.409565617474603,"Output first"
12,-1.13532394119571,-1.77865651004313,-0.416352910445736,"Output first"
13,-1.18226044343978,-1.85219826768784,-0.420928450107387,"Output first"
14,-1.22148645038647,-1.90517945143578,-0.427446886533106,"Output first"
15,-1.25349035208865,-1.93968373695498,-0.445833797825485,"Output first"
16,-1.2787443695331,-1.96211519304068,-0.46166429725921,"Output first"
17,-1.29770503091528,-1.97382051550479,-0.475022880480396,"Output first"
18,-1.31081338314541,-1.97900153454769,-0.48706283882353,"Output first"
19,-1.31849504532281,-1.985433030933,-0.496907058428258,"Output first"
20,-1.32116017709461,-1.97886815425136,-0.482494405383169,"Output first"
21,-1.31920341149058,-1.97336241616841,-0.46401723056527,"Output first"
22,-1.31300378545384,-1.96783320310896,-0.447968659376574,"Output first"
23,-1.30292468973196,-1.95141332262689,-0.42295894229606,"Output first"
24,-1.28931385164071,-1.9294582992785,-0.397862369719939,"Output first"
0,0,0,0,"Credit first"
1,-0.133525094086853,-0.358894223416162,0.130378394084334,"Credit first"
2,-0.325680785038351,-0.590984890167007,-0.0569739303930949,"Credit first"
3,-0.481537442894633,-0.790768386576277,-0.212556856072468,"Credit first"
4,-0.618629393164688,-0.957627964783322,-0.315284511653632,"Credit first"
5,-0.740594790412606,-1.11088298290059,-0.403414491085678,"Credit first"
6,-0.849078214151069,-1.27470971427668,-0.49936637796916,"Credit first"
7,-0.945222438800695,-1.42980102144242,-0.541852805467296,"Credit first"
8,-1.02992630118325,-1.55132530274019,-0.596152942969483,"Credit first"
9,-1.10396733046338,-1.63564438216775,-0.641207782378289,"Credit first"
10,-1.16804915411817,-1.70425282575154,-0.658508070955521,"Credit first"
11,-1.22282330353577,-1.76951220215458,-0.672180528182234,"Credit first"
12,-1.26890118915969,-1.82422781872423,-0.663440009071148,"Credit first"
13,-1.30686144711179,-1.87142147512127,-0.677458868335083,"Credit first"
14,-1.33725472508527,-1.9060264304446,-0.675718570873515,"Credit first"
15,-1.36060688198803,-1.92824700620201,-0.668128126045228,"Credit first"
16,-1.37742114623269,-1.93397205982034,-0.657874219191338,"Credit first"
17,-1.38817957602023,-1.92579838302665,-0.644694925796531,"Credit first"
18,-1.39334405213548,-1.93112767947956,-0.629099745880008,"Credit first"
19,-1.39335696235477,-1.92742349948415,-0.61404338395982,"Credit first"
20,-1.38864168822631,-1.9186008407393,-0.612334885008411,"Credit first"
21,-1.37960297122969,-1.90227421459701,-0.593719377314951,"Credit first"
22,-1.36662721144797,-1.87977176778324,-0.555364096864329,"Credit first"
23,-1.35008273493215,-1.85171396031687,-0.524266351137979,"Credit first"
24,-1.33032005389755,-1.84423396205916,-0.499491261178187,"Credit first"
0,0,0,0,"FCI last"
1,-0.0777468125103877,-0.299625818536604,0.149245704181727,"FCI last"
2,-0.250760847072998,-0.470134731537598,0.0158491404855742,"FCI last"
3,-0.391492644198627,-0.633395391636348,-0.133945596978199,"FCI last"
4,-0.516404563479017,-0.808930543999505,-0.241572872647104,"FCI last"
5,-0.62851096298726,-0.958529923392867,-0.36423398827374,"FCI last"
6,-0.729084065161442,-1.06059382548405,-0.42554273283894,"FCI last"
7,-0.819036427034844,-1.16726176216477,-0.461930879605566,"FCI last"
8,-0.89908378311842,-1.25621507602396,-0.522320653007534,"FCI last"
9,-0.96984313441925,-1.35943919140967,-0.58130418133469,"FCI last"
10,-1.03187237687039,-1.45742049974336,-0.599231042473864,"FCI last"
11,-1.0856892053314,-1.5143208916823,-0.591897443801648,"FCI last"
12,-1.13178173092532,-1.58600492551147,-0.567344859514346,"FCI last"
13,-1.17061496676591,-1.6487876152657,-0.585555525409265,"FCI last"
14,-1.20263493346234,-1.70329559583295,-0.574384155134854,"FCI last"
15,-1.22827126066609,-1.75252184618994,-0.563152691387481,"FCI last"
16,-1.24793879710396,-1.7925274431598,-0.560884124247668,"FCI last"
17,-1.26203856028351,-1.81128460308125,-0.557455219126119,"FCI last"
18,-1.27095825075009,-1.83222838181428,-0.537256220481199,"FCI last"
19,-1.27507248664997,-1.83471188392064,-0.546315165588716,"FCI last"
20,-1.27474286695899,-1.82321366759805,-0.537726965561973,"FCI last"
21,-1.27031793846346,-1.85308709573145,-0.528061091256545,"FCI last"
22,-1.2621331180035,-1.85698754367468,-0.50767318476433,"FCI last"
23,-1.25051060474461,-1.84980232482673,-0.4769599145236,"FCI last"
24,-1.2357593053607,-1.83793233471963,-0.446583371602297,"FCI last"
