"item","horizon","statistic","value","n_obs","paper_value"
"PostIT_unconditional_FS",NA,"DXY_coef",-0.00319241197965419,176,"-0.003"
"PostIT_unconditional_FS",NA,"t_stat",-0.377063623846352,176,"-0.38"
"PostIT_unconditional_FS",NA,"p_value",0.706602185006246,176,"0.707"
"PostIT_unconditional_FS",NA,"partial_R2_pct",0.187663650759491,176,"0.19"
"PostIT_unconditional_FS",NA,"F_stat",0.142176976428143,176,"0.14"
"PostIT_conditional_FS",6,"cond_F",6.4668053477904,168,"6.47"
"PostIT_conditional_FS",6,"DXY_t",2.6362365159483,168,"2.64"
"PostIT_conditional_FS",6,"DXY_p",0.00924155611864469,168,"0.009"
"PostIT_conditional_FS",6,"partial_R2_pct",0.372137565549779,168,"0.4"
"PostIT_conditional_FS",12,"cond_F",6.73556909347159,162,"6.74"
"PostIT_conditional_FS",12,"DXY_t",2.77709286815597,162,"2.78"
"PostIT_conditional_FS",12,"DXY_p",0.00619470644284457,162,"0.006"
"PostIT_conditional_FS",12,"partial_R2_pct",0.421667096917155,162,"0.4"
"PostIT_conditional_FS",18,"cond_F",6.58487860189079,156,"6.58"
"PostIT_conditional_FS",18,"DXY_t",2.85983482078784,156,"2.86"
"PostIT_conditional_FS",18,"DXY_p",0.00487839281937366,156,"0.005"
"PostIT_conditional_FS",18,"partial_R2_pct",0.456566957466753,156,"0.5"
"Chow_test",NA,"Chow_F",82.1875849323737,336,"82.19"
"Chow_test",NA,"Chow_p",1.25408780343758e-29,336,"<0.001"
"Chow_test",NA,"HAC_Wald_F",29.3772267775228,336,"29.38"
"Chow_test",NA,"HAC_Wald_p",1.86008573390994e-12,336,"<0.001"
"Chow_test",NA,"DXY_x_IT_coef",-0.0636253044062772,336,"-0.064"
"Chow_test",NA,"DXY_x_IT_t",-6.4905541920541,336,"-6.49"
"Chow_test",NA,"DXY_x_IT_p",3.18274301980178e-10,336,"<0.001"
"SampleSensitivity_Jun2025",12,"credit_LP_coef",-8.04859082726082,328,"-8.05"
"SampleSensitivity_Jun2025",12,"credit_LP_p",0.00471593603563166,328,"0.005"
"SampleSensitivity_Jun2025",12,"postIT_LP_coef",-4.78058029304019,156,"-4.78"
"SampleSensitivity_Jun2025",12,"postIT_LP_p",0.00824241794544327,156,"0.008"
"SampleSensitivity_Jun2025",NA,"DXY_FS_F",35.5202819218488,330,"35.52"
"SampleSensitivity_Jun2025",NA,"DXY_FS_p",6.62320287312156e-09,330,"<0.001"
"SampleSensitivity_Jun2025",12,"AR_F",141.026473358879,306,"141.03"
"SampleSensitivity_Jun2025",12,"AR_p",8.39969859788079e-27,306,"<0.001"
"SampleSensitivity_Jun2025",12,"FCI_x_ToT_coef",-0.229253063404459,306,"-0.229"
"SampleSensitivity_Jun2025",12,"FCI_x_ToT_p",0.00270352469378403,306,"0.003"
