outcome,fci_type,horizon,coef_published,se_published,p_published,coef_fxadj,se_fxadj,p_fxadj,delta
Total,FCI_COMP,3,-0.245538929167275,1.16906503860229,0.833772957342238,-2.94509701119386,1.27487864965353,0.0214954541925179,-2.69955808202659
Total,FCI_COMP,6,-3.23940612126517,1.7186669341646,0.0603331327016157,-6.60839044054089,2.16154535546373,0.00241681771431616,-3.36898431927572
Total,FCI_COMP,12,-7.65628048038673,2.74502470347959,0.00559825152330996,-9.53504823981517,3.49570280367684,0.00672751548887751,-1.87876775942844
Total,FCI_COMP,18,-4.28019524327446,2.57334561856606,0.0972446067242132,-5.99170845543778,3.03053994543157,0.048895432962971,-1.71151321216331
Total,FCI_COMP,24,-0.159731522181874,2.10312260553303,0.939507952643422,-3.53517054679021,1.5985394784415,0.0277281393059195,-3.37543902460834
Total,FCI_ENDO,3,-0.84023168165746,1.37401619326338,0.541277105903934,-3.69705207967148,1.31323298307413,0.0051653109160583,-2.85682039801402
Total,FCI_ENDO,6,-4.41055175507,1.77783128414572,0.0136059649668557,-7.33586007715254,2.13110164882864,0.000651304588486783,-2.92530832208254
Total,FCI_ENDO,12,-7.94846064735573,2.7887095553069,0.00464955897097348,-9.65979023269827,3.53022832142238,0.00655696909293123,-1.71132958534254
Total,FCI_ENDO,18,-3.16025714176383,2.93079196472851,0.281722128009989,-5.94934163803795,3.49748854259272,0.0899175156810771,-2.78908449627412
Total,FCI_ENDO,24,-0.358637145918178,3.08879511029532,0.907641033099784,-5.10647234554489,2.86085571008268,0.0752446596154041,-4.74783519962671
Total,FCI_EXO,3,0.208538161058381,1.4111875900449,0.882610092238247,-1.05416496268589,1.56880479543442,0.502080180731188,-1.26270312374427
Total,FCI_EXO,6,0.287160858369685,1.9249292966686,0.881503041078064,-2.00144715432775,1.92020234153919,0.29803302256626,-2.28860801269743
Total,FCI_EXO,12,-2.68056223298433,2.08634520461295,0.199778448406338,-4.3707955275184,2.28113403438696,0.056239602715515,-1.69023329453406
Total,FCI_EXO,18,-2.70541203952758,1.90748159136475,0.157080792123952,-3.35128592856958,2.14511662425355,0.119218327656299,-0.645873889041998
Total,FCI_EXO,24,0.330726040220469,1.87159900921026,0.859852975992032,-0.321973590713733,2.15272702907014,0.88120441154056,-0.652699630934202
USD,FCI_COMP,3,4.11265233944027,3.01918862527922,0.174067247209246,-3.68039713076098,2.08838011227731,0.0789351485614599,-7.79304947020125
USD,FCI_COMP,6,0.912762749161843,3.33824005888463,0.784697074764922,-7.89431007440514,3.50833467461386,0.0250992089805151,-8.80707282356698
USD,FCI_COMP,12,-7.33488422012626,4.28000316823992,0.0875328210429685,-9.25758496914607,5.36389440583022,0.0853203911588958,-1.92270074901982
USD,FCI_COMP,18,-4.86244038911446,4.14663840305499,0.241827760118697,-5.58262878376208,4.14729194367433,0.179235266144109,-0.720188394647627
USD,FCI_COMP,24,2.66430159368289,3.40476147606439,0.434503127309985,-4.14285558787759,2.58033326695618,0.109387576911353,-6.80715718156047
USD,FCI_ENDO,3,4.0489578539733,3.23423755149488,0.211485782347833,-3.54446419217388,2.27621810208538,0.120382249257113,-7.59342204614718
USD,FCI_ENDO,6,-0.461851429086802,3.81157008148069,0.903629632159721,-6.70600727843848,3.8153529913009,0.0797391921415615,-6.24415584935168
USD,FCI_ENDO,12,-6.79588735224134,5.63089681811319,0.228356657034852,-7.06671498797752,5.96969820537008,0.237376859824061,-0.270827635736175
USD,FCI_ENDO,18,-1.82320011543992,4.31580346506549,0.672984848499706,-5.07452415712498,4.50181958532821,0.260503568287388,-3.25132404168507
USD,FCI_ENDO,24,3.68839288084357,4.0259048565524,0.360290242660858,-5.36580208943537,3.53866118032383,0.130449965447677,-9.05419497027894
USD,FCI_EXO,3,1.32549344682516,2.44385374923912,0.587921738221582,-2.50174488748011,1.96005159429081,0.202717984452412,-3.82723833430527
USD,FCI_EXO,6,2.12117238993669,3.28938411327333,0.5194712172815,-4.65389469650296,2.49180778437243,0.0626958841107592,-6.77506708643965
USD,FCI_EXO,12,-4.34737726775073,2.82623378558183,0.124973163784587,-7.22466031587074,2.53455533145739,0.00464620020108739,-2.87728304812001
USD,FCI_EXO,18,-5.04590875806033,2.36120408163153,0.0333625564696107,-3.69660084449968,2.57478346977641,0.152075467682987,1.34930791356066
USD,FCI_EXO,24,0.334261464008834,2.50515726479138,0.893940144242786,-0.915819140258374,2.78794096613055,0.742759991479924,-1.25008060426721
