horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,fci_type,credit_measure,adjusted
1,0.632230892281842,0.985222395309715,0.52149911496869,-0.98831573799716,2.25277752256084,345,FCI_COMP,Total,FALSE
2,0.695913520987763,1.04102971923103,0.504286689559855,-1.01642798845367,2.4082550304292,344,FCI_COMP,Total,FALSE
3,-0.245538929167275,1.16906503860229,0.833772957342238,-2.16847979805442,1.67740193971987,343,FCI_COMP,Total,FALSE
4,-2.48161857406136,1.22890643081264,0.0442542455463846,-4.50298977396751,-0.460247374155204,342,FCI_COMP,Total,FALSE
5,-3.01555763461932,1.39329863944433,0.0311558675171264,-5.30732995513587,-0.723785314102764,341,FCI_COMP,Total,FALSE
6,-3.23940612126517,1.7186669341646,0.0603331327016157,-6.06636166144737,-0.412450581082965,340,FCI_COMP,Total,FALSE
7,-4.19826897028935,1.75722414203241,0.0174521510622523,-7.08864547367806,-1.30789246690065,339,FCI_COMP,Total,FALSE
8,-5.74198219306852,1.85143693010761,0.00209398410607722,-8.78732494262792,-2.69663944350911,338,FCI_COMP,Total,FALSE
9,-5.71522151462664,1.94840978724344,0.00359164911842629,-8.92007041996176,-2.51037260929152,337,FCI_COMP,Total,FALSE
10,-6.25038292010198,2.22902769428882,0.005349398366339,-9.91680720762822,-2.58395863257574,336,FCI_COMP,Total,FALSE
11,-7.40519796608835,2.54796117756325,0.00390890188859284,-11.5962211503348,-3.21417478184189,335,FCI_COMP,Total,FALSE
12,-7.65628048038673,2.74502470347959,0.00559825152330996,-12.1714443199765,-3.14111664079693,334,FCI_COMP,Total,FALSE
13,-7.97473739828042,2.90221607837521,0.00633752809707907,-12.7484580409928,-3.20101675556808,333,FCI_COMP,Total,FALSE
14,-7.97170165165559,2.90925482288067,0.00648531712719857,-12.7569999987969,-3.18640330451426,332,FCI_COMP,Total,FALSE
15,-7.40133279660073,2.75508840436095,0.00759922505161143,-11.9330499510858,-2.86961564211568,331,FCI_COMP,Total,FALSE
16,-6.10013547399511,2.69181155025637,0.0241098495536466,-10.5277714655042,-1.67249948248606,330,FCI_COMP,Total,FALSE
17,-5.10677349376024,2.64292148595504,0.054217182555177,-9.45399248568136,-0.759554501839126,329,FCI_COMP,Total,FALSE
18,-4.28019524327446,2.57334561856606,0.0972446067242132,-8.51297211737252,-0.0474183691764036,328,FCI_COMP,Total,FALSE
19,-3.54790071812135,2.37833853707023,0.136760737946255,-7.45991948693978,0.364118050697078,327,FCI_COMP,Total,FALSE
20,-2.99921766486709,2.46562045505736,0.224737563730243,-7.05480241305393,1.05636708331975,326,FCI_COMP,Total,FALSE
21,-2.1243696669872,2.35218545393281,0.367140101021155,-5.99337044215107,1.74463110817668,325,FCI_COMP,Total,FALSE
22,-1.04228156277426,2.38685544040002,0.662647696970992,-4.96830939092508,2.88374626537656,324,FCI_COMP,Total,FALSE
23,-0.313002233132231,2.33790787341108,0.893582724018605,-4.15851847819084,3.53251401192638,323,FCI_COMP,Total,FALSE
24,-0.159731522181874,2.10312260553303,0.939507952643422,-3.61906036781651,3.29959732345276,322,FCI_COMP,Total,FALSE
1,4.023240135817,2.14176347048079,0.061187656786816,0.500352723324505,7.54612754830949,345,FCI_COMP,USD,FALSE
2,4.62657307745578,2.70587208013441,0.0882293973151644,0.175809572379981,9.07733658253159,344,FCI_COMP,USD,FALSE
3,4.11265233944027,3.01918862527922,0.174067247209246,-0.853471021300891,9.07877570018143,343,FCI_COMP,USD,FALSE
4,1.47824629693331,2.84403264008473,0.603570462398261,-3.19977110627842,6.15626370014505,342,FCI_COMP,USD,FALSE
5,0.973458510326784,2.9337697680172,0.740242245089517,-3.85216333323689,5.79908035389046,341,FCI_COMP,USD,FALSE
6,0.912762749161843,3.33824005888463,0.784697074764922,-4.57815351932923,6.40367901765292,340,FCI_COMP,USD,FALSE
7,-0.5596704374684,3.65786040884582,0.878488521391107,-6.57631539784064,5.45697452290384,339,FCI_COMP,USD,FALSE
8,-2.96122506967897,3.97567684816958,0.456906167604727,-9.5006315529777,3.57818141361977,338,FCI_COMP,USD,FALSE
9,-2.61436147701677,3.83593713522446,0.496010956894843,-8.92391658664856,3.69519363261501,337,FCI_COMP,USD,FALSE
10,-4.07481079728468,3.85129158834232,0.290824120621081,-10.4096217348172,2.26000014024787,336,FCI_COMP,USD,FALSE
11,-5.65284829142354,4.09910948062108,0.168832712569509,-12.3952833878943,1.08958680504721,335,FCI_COMP,USD,FALSE
12,-7.33488422012626,4.28000316823992,0.0875328210429685,-14.3748629547695,-0.294905485483026,334,FCI_COMP,USD,FALSE
13,-8.37992916458179,4.69530531042063,0.0752437828071649,-16.1030191340717,-0.656839195091912,333,FCI_COMP,USD,FALSE
14,-8.38046724664508,4.73281019168306,0.0775567652845034,-16.1652472561078,-0.595687237182313,332,FCI_COMP,USD,FALSE
15,-7.81961611948117,4.72286348663574,0.0987641077327838,-15.5880352550706,-0.0511969838916988,331,FCI_COMP,USD,FALSE
16,-6.8661013391519,4.62853288107938,0.13894769440502,-14.4793604360595,0.747157757755669,330,FCI_COMP,USD,FALSE
17,-5.81874698863147,4.40655680611358,0.187626133354734,-13.0668879335351,1.42939395627214,329,FCI_COMP,USD,FALSE
18,-4.86244038911446,4.14663840305499,0.241827760118697,-11.6830536060357,1.95817282780681,328,FCI_COMP,USD,FALSE
19,-3.29871744334522,3.9290600873128,0.401784745998082,-9.76144617847194,3.1640112917815,327,FCI_COMP,USD,FALSE
20,-2.34831615576553,4.2074476083377,0.577149907556065,-9.2689516145481,4.57231930301704,326,FCI_COMP,USD,FALSE
21,-1.83164452168278,4.00564459459713,0.647796169596157,-8.42034356138442,4.75705451801886,325,FCI_COMP,USD,FALSE
22,0.238197721822174,3.95822467785085,0.95205233684502,-6.27250249582962,6.74889793947396,324,FCI_COMP,USD,FALSE
23,1.38660366784055,3.70819731468698,0.708710885760076,-4.71283813467404,7.48604547035514,323,FCI_COMP,USD,FALSE
24,2.66430159368289,3.40476147606439,0.434503127309985,-2.93603266912628,8.26463585649205,322,FCI_COMP,USD,FALSE
1,-0.70213874696191,0.839864484262225,0.403744518334923,-2.08359289004836,0.679315396124537,345,FCI_COMP,Real_MN,FALSE
2,-0.758798009813801,0.894042570880389,0.396642946749413,-2.22936717517543,0.711771155547825,344,FCI_COMP,Real_MN,FALSE
3,-1.96615607261102,1.15767428711109,0.0903753855994914,-3.87036082259415,-0.0619513226278909,343,FCI_COMP,Real_MN,FALSE
4,-3.9472148788644,1.55219263438869,0.0114455077404169,-6.50034456326599,-1.39408519446281,342,FCI_COMP,Real_MN,FALSE
5,-4.30932557829292,1.63951613507896,0.00897949948089998,-7.00608963952301,-1.61256151706284,341,FCI_COMP,Real_MN,FALSE
6,-4.94096070032705,1.99251881036571,0.0136473884609583,-8.21836249232612,-1.66355890832799,340,FCI_COMP,Real_MN,FALSE
7,-5.81670360179112,2.1002686986379,0.00593372234579328,-9.27133818831832,-2.36206901526392,339,FCI_COMP,Real_MN,FALSE
8,-6.71066807007327,2.12316745332947,0.00172119517388214,-10.2029677563076,-3.21836838383898,338,FCI_COMP,Real_MN,FALSE
9,-7.00024603175626,2.38162454160935,0.00352463802991828,-10.917669797059,-3.08282226645347,337,FCI_COMP,Real_MN,FALSE
10,-7.44786881506593,2.63383127116352,0.00497809853170969,-11.7801357342175,-3.11560189591441,336,FCI_COMP,Real_MN,FALSE
11,-8.84868883832223,3.02459415056276,0.00368084027191633,-13.8237034969316,-3.87367417971287,335,FCI_COMP,Real_MN,FALSE
12,-9.06415382506872,3.3017335398782,0.00638454792739131,-14.4950222133647,-3.63328543677274,334,FCI_COMP,Real_MN,FALSE
13,-9.23068075672778,3.4330664858267,0.00754513230607219,-14.8775726175054,-3.58378889595019,333,FCI_COMP,Real_MN,FALSE
14,-9.27120343716587,3.31212800060954,0.00543342338938985,-14.719169191896,-3.82323768243575,332,FCI_COMP,Real_MN,FALSE
15,-8.86883698108033,3.05872244497761,0.00399570935037,-13.8999876885396,-3.83768627362103,331,FCI_COMP,Real_MN,FALSE
16,-7.78313128857946,2.74461561780382,0.00486336944283728,-12.2976222421117,-3.26864033504719,330,FCI_COMP,Real_MN,FALSE
17,-6.89959995093827,2.5381528580382,0.00692064523516018,-11.0744898852397,-2.72471001663689,329,FCI_COMP,Real_MN,FALSE
18,-6.35122394253033,2.52038656968505,0.0122284516761815,-10.4968909329966,-2.2055569520641,328,FCI_COMP,Real_MN,FALSE
19,-5.95534626431938,2.40847918204668,0.0139371669376045,-9.91694198234597,-1.99375054629278,327,FCI_COMP,Real_MN,FALSE
20,-5.5355186230246,2.30661541163483,0.0169823214963729,-9.3295633488343,-1.74147389721489,326,FCI_COMP,Real_MN,FALSE
21,-4.72036928237297,2.20186925014638,0.0328165866553261,-8.34212190454916,-1.09861666019677,325,FCI_COMP,Real_MN,FALSE
22,-4.11148421296902,2.00628702498666,0.0412660700060014,-7.41153270272401,-0.811435723214034,324,FCI_COMP,Real_MN,FALSE
23,-3.25693090962996,1.86939085868401,0.0824515258511931,-6.33180524372627,-0.182056575533638,323,FCI_COMP,Real_MN,FALSE
24,-3.00779516779057,1.81572760266906,0.0986243819354048,-5.99440130059667,-0.0211890349844635,322,FCI_COMP,Real_MN,FALSE
1,-1.12423150312525,0.948842456842322,0.236921011593275,-2.68493845966789,0.436475453417393,345,FCI_COMP,Total_FXadj,TRUE
2,-1.65427761878503,1.00514427672962,0.100746124694709,-3.30759282797325,-0.000962409596807934,344,FCI_COMP,Total_FXadj,TRUE
3,-2.94509701119386,1.27487864965353,0.0214954541925179,-5.04208578199946,-0.848108240388258,343,FCI_COMP,Total_FXadj,TRUE
4,-5.08340475733232,1.60553236080547,0.00168817508683087,-7.72427048419116,-2.44253903047347,342,FCI_COMP,Total_FXadj,TRUE
5,-5.7920431026194,1.81591255804969,0.00156134817287115,-8.77895345995415,-2.80513274528465,341,FCI_COMP,Total_FXadj,TRUE
6,-6.60839044054089,2.16154535546373,0.00241681771431616,-10.1638161582955,-3.05296472278626,340,FCI_COMP,Total_FXadj,TRUE
7,-7.05005095214946,2.23957954927488,0.00179526010982663,-10.7338314966206,-3.36627040767833,339,FCI_COMP,Total_FXadj,TRUE
8,-7.6581778088404,2.38510553161022,0.00145495374286149,-11.5813272931715,-3.73502832450931,338,FCI_COMP,Total_FXadj,TRUE
9,-8.04318305480816,2.68999638493982,0.00300171181902261,-12.4678333650628,-3.61853274455356,337,FCI_COMP,Total_FXadj,TRUE
10,-8.51140666050532,2.96126298824378,0.0043167229121906,-13.3822508270753,-3.64056249393538,336,FCI_COMP,Total_FXadj,TRUE
11,-9.60470122806486,3.27594396174284,0.00360880179786289,-14.9931495352274,-4.21625292090238,335,FCI_COMP,Total_FXadj,TRUE
12,-9.53504823981517,3.49570280367684,0.00672751548887751,-15.2849676751875,-3.78512880444289,334,FCI_COMP,Total_FXadj,TRUE
13,-9.37562624768093,3.63090263582767,0.0102592857804639,-15.3479296173297,-3.40332287803213,333,FCI_COMP,Total_FXadj,TRUE
14,-9.17544454390092,3.60591171827021,0.0114096577089059,-15.1066415121645,-3.24424757563735,332,FCI_COMP,Total_FXadj,TRUE
15,-8.49262626833231,3.35559703749714,0.0118563621849194,-14.0120922260471,-2.97316031061753,331,FCI_COMP,Total_FXadj,TRUE
16,-7.2890644905475,3.23116943632084,0.0247564620487291,-12.6038652571746,-1.97426372392042,330,FCI_COMP,Total_FXadj,TRUE
17,-6.31907467094043,3.15250616668877,0.0458682677277022,-11.5044858732053,-1.13366346867552,329,FCI_COMP,Total_FXadj,TRUE
18,-5.99170845543778,3.03053994543157,0.048895432962971,-10.9765030763022,-1.00691383457334,328,FCI_COMP,Total_FXadj,TRUE
19,-5.87498002792081,2.72663397722698,0.0319435142488531,-10.3598938147317,-1.3900662411099,327,FCI_COMP,Total_FXadj,TRUE
20,-5.68989366250254,2.5077736125712,0.0239504366413196,-9.81481418471347,-1.56497314029162,326,FCI_COMP,Total_FXadj,TRUE
21,-4.94179198561521,2.24422727483256,0.0283919621165144,-8.63321735832697,-1.25036661290345,325,FCI_COMP,Total_FXadj,TRUE
22,-3.97328350078251,1.98810495016467,0.046524091248547,-7.24342513882103,-0.703141862743985,324,FCI_COMP,Total_FXadj,TRUE
23,-3.24263259056433,1.74427696388798,0.0639667335477937,-6.11171288102337,-0.373552300105295,323,FCI_COMP,Total_FXadj,TRUE
24,-3.53517054679021,1.5985394784415,0.0277281393059195,-6.16453400572983,-0.905807087850589,322,FCI_COMP,Total_FXadj,TRUE
1,-1.49756074010636,1.36178883877023,0.272254353222314,-3.7375040506996,0.742382570486878,345,FCI_COMP,USD_clean,TRUE
2,-2.3498924679756,1.6506639548129,0.155497293045963,-5.06499306092766,0.365208124976448,344,FCI_COMP,USD_clean,TRUE
3,-3.68039713076098,2.08838011227731,0.0789351485614599,-7.11547673289364,-0.245317528628324,343,FCI_COMP,USD_clean,TRUE
4,-6.06497722290185,2.50175894487842,0.0158736983526126,-10.1800044971434,-1.94994994866029,342,FCI_COMP,USD_clean,TRUE
5,-7.07181826821703,3.09197363604109,0.0228194673958087,-12.1576623178975,-1.98597421853652,341,FCI_COMP,USD_clean,TRUE
6,-7.89431007440514,3.50833467461386,0.0250992089805151,-13.6650070885034,-2.12361306030692,340,FCI_COMP,USD_clean,TRUE
7,-7.515905362139,3.85424170134502,0.052023640466737,-13.855568803744,-1.17624192053404,339,FCI_COMP,USD_clean,TRUE
8,-7.73489978830994,4.3128387308868,0.0738234549661614,-14.8288882172659,-0.640911359354005,338,FCI_COMP,USD_clean,TRUE
9,-8.36244473926538,4.73547271339932,0.0783459846274764,-16.15160420723,-0.573285271300778,337,FCI_COMP,USD_clean,TRUE
10,-8.71336401048752,5.0480803487899,0.0852843529786415,-17.016717281337,-0.410010739638004,336,FCI_COMP,USD_clean,TRUE
11,-9.47497590876999,5.30097420378634,0.0748070061530262,-18.1943025542441,-0.755649263295842,335,FCI_COMP,USD_clean,TRUE
12,-9.25758496914607,5.36389440583022,0.0853203911588958,-18.0804061371606,-0.434763801131517,334,FCI_COMP,USD_clean,TRUE
13,-9.07290210644237,5.58072600230919,0.104979715474396,-18.252379512363,0.106575299478292,333,FCI_COMP,USD_clean,TRUE
14,-8.43682865185131,5.51849876793404,0.127292178767545,-17.5139513656148,0.640294061912215,332,FCI_COMP,USD_clean,TRUE
15,-7.42391025910366,5.25894258069287,0.159017697866353,-16.0741010368859,1.22628051867854,331,FCI_COMP,USD_clean,TRUE
16,-6.33246820875268,4.98742863607267,0.205121952322473,-14.5360582899584,1.87112187245308,330,FCI_COMP,USD_clean,TRUE
17,-5.34928232738486,4.63992287756373,0.249824792228771,-12.9812763013207,2.28271164655096,329,FCI_COMP,USD_clean,TRUE
18,-5.58262878376208,4.14729194367433,0.179235266144109,-12.4043169793414,1.23905941181726,328,FCI_COMP,USD_clean,TRUE
19,-6.10091096847887,3.79567058140291,0.108979770879449,-12.3442334910124,0.142411554054713,327,FCI_COMP,USD_clean,TRUE
20,-6.27834484389771,3.49700466505936,0.0735564862091082,-12.0304056506868,-0.526284037108611,326,FCI_COMP,USD_clean,TRUE
21,-5.65172109766094,3.13185835088744,0.0720968304574018,-10.8031696652164,-0.500272530105477,325,FCI_COMP,USD_clean,TRUE
22,-4.24808993079959,2.80167176286365,0.130460434524946,-8.85642989147338,0.360250029874204,324,FCI_COMP,USD_clean,TRUE
23,-3.6428389553644,2.53142477555109,0.151139687071956,-7.80666217878443,0.520984268055624,323,FCI_COMP,USD_clean,TRUE
24,-4.14285558787759,2.58033326695618,0.109387576911353,-8.387126120774,0.101414945018824,322,FCI_COMP,USD_clean,TRUE
1,0.237633325706807,1.0091956251922,0.813989782726267,-1.42234575869414,1.89761241010776,345,FCI_ENDO,Total,FALSE
2,0.406640257919877,1.1646676485526,0.727199598476593,-1.5090675479949,2.32234806383466,344,FCI_ENDO,Total,FALSE
3,-0.84023168165746,1.37401619326338,0.541277105903934,-3.10028720063678,1.41982383732186,343,FCI_ENDO,Total,FALSE
4,-3.152685434834,1.30658858290549,0.0163685820608239,-5.30183240435948,-1.00353846530852,342,FCI_ENDO,Total,FALSE
5,-4.00247754513899,1.47556588552008,0.00702778485744292,-6.42956744374255,-1.57538764653543,341,FCI_ENDO,Total,FALSE
6,-4.41055175507,1.77783128414572,0.0136059649668557,-7.33482399090488,-1.48627951923512,340,FCI_ENDO,Total,FALSE
7,-4.8107359031302,1.79950173437724,0.00788498565833641,-7.77065285762607,-1.85081894863433,339,FCI_ENDO,Total,FALSE
8,-5.94331823965064,1.95001263731542,0.00249283695354053,-9.15080359874011,-2.73583288056118,338,FCI_ENDO,Total,FALSE
9,-6.15751714886955,2.15468465536619,0.00454108968886343,-9.70165801918531,-2.61337627855379,337,FCI_ENDO,Total,FALSE
10,-7.4925833724874,2.35666627662204,0.00161833249018546,-11.3689544451034,-3.61621229987142,336,FCI_ENDO,Total,FALSE
11,-8.34936088187737,2.60759193657053,0.00150046260724075,-12.6384679363548,-4.06025382739992,335,FCI_ENDO,Total,FALSE
12,-7.94846064735573,2.7887095553069,0.00464955897097348,-12.5354796739165,-3.36144162079494,334,FCI_ENDO,Total,FALSE
13,-8.33178961642027,3.02101964685962,0.00614889248537203,-13.300924739649,-3.36265449319157,333,FCI_ENDO,Total,FALSE
14,-8.20918941637869,3.08487485398941,0.00817998589617478,-13.2833570086546,-3.13502182410282,332,FCI_ENDO,Total,FALSE
15,-7.03308010425341,2.94232146048805,0.0174118703122121,-11.8727682301943,-2.19339197831249,331,FCI_ENDO,Total,FALSE
16,-5.41778646657003,2.86293124950286,0.0593441024119799,-10.1268893160275,-0.708683617112545,330,FCI_ENDO,Total,FALSE
17,-4.44773583716056,2.81800621354142,0.115484653038062,-9.08294357827596,0.187471903954832,329,FCI_ENDO,Total,FALSE
18,-3.16025714176383,2.93079196472851,0.281722128009989,-7.98098093478775,1.66046665126009,328,FCI_ENDO,Total,FALSE
19,-2.40892986929355,2.94980450601641,0.414749105263321,-7.26092650981243,2.44306677122533,327,FCI_ENDO,Total,FALSE
20,-2.07555069260034,3.12985073028011,0.507721481156368,-7.2236970181183,3.07259563291762,326,FCI_ENDO,Total,FALSE
21,-1.0271730147889,3.22611234136335,0.750398176444422,-6.33365560043331,4.27930957085551,325,FCI_ENDO,Total,FALSE
22,0.024516304145999,3.32017988976126,0.994113154904043,-5.43669362965914,5.48572623795114,324,FCI_ENDO,Total,FALSE
23,-0.248014670655443,3.145662664855,0.937207743235042,-5.42216931410802,4.92613997279713,323,FCI_ENDO,Total,FALSE
24,-0.358637145918178,3.08879511029532,0.907641033099784,-5.4392529859974,4.72197869416104,322,FCI_ENDO,Total,FALSE
1,3.63209397581105,2.17697972154847,0.0961715582073661,0.0512809850222418,7.21290696659987,345,FCI_ENDO,USD,FALSE
2,4.77131985635803,2.85947930293498,0.0961370911257315,0.0678949537327567,9.4747447589833,344,FCI_ENDO,USD,FALSE
3,4.0489578539733,3.23423755149488,0.211485782347833,-1.2708895130257,9.36880522097231,343,FCI_ENDO,USD,FALSE
4,1.19696238772163,3.15043772237875,0.704237133331037,-3.98504652641779,6.37897130186105,342,FCI_ENDO,USD,FALSE
5,0.212649517786568,3.49571457625954,0.951530237178901,-5.53728928176107,5.9625883173342,341,FCI_ENDO,USD,FALSE
6,-0.461851429086802,3.81157008148069,0.903629632159721,-6.73132630199004,5.80762344381643,340,FCI_ENDO,USD,FALSE
7,-1.20982372310097,4.21248150810218,0.77414071445983,-8.13873921016885,5.7190917639669,339,FCI_ENDO,USD,FALSE
8,-2.9364917974807,4.63346079086101,0.526681954061988,-10.5578565846659,4.68487298970447,338,FCI_ENDO,USD,FALSE
9,-2.87280094097958,4.89047561880847,0.557323117744675,-10.9169175000944,5.17131561813528,337,FCI_ENDO,USD,FALSE
10,-5.51860601846528,5.12114685554332,0.282006425625235,-13.9421429979568,2.90493096102628,336,FCI_ENDO,USD,FALSE
11,-6.84082824029071,5.44326125491221,0.209748810421927,-15.7941962578775,2.11253977729605,335,FCI_ENDO,USD,FALSE
12,-6.79588735224134,5.63089681811319,0.228356657034852,-16.0578884065043,2.46611370202164,334,FCI_ENDO,USD,FALSE
13,-7.94584602081165,6.02294579318996,0.188018727579144,-17.8527102536723,1.96101821204896,333,FCI_ENDO,USD,FALSE
14,-8.45318075918924,5.84396479711617,0.149018220889585,-18.0656474515025,1.15928593312401,332,FCI_ENDO,USD,FALSE
15,-7.13944380027119,5.55445927169591,0.19959823793795,-16.2757162790744,1.99682867853206,331,FCI_ENDO,USD,FALSE
16,-5.54261791359389,5.16278483335367,0.283826260516299,-14.0346432719057,2.94940744471795,330,FCI_ENDO,USD,FALSE
17,-3.87075579237463,4.57430741982489,0.398080306997788,-11.3948219426646,3.65331035791538,329,FCI_ENDO,USD,FALSE
18,-1.82320011543992,4.31580346506549,0.672984848499706,-8.92206509816262,5.27566486728279,328,FCI_ENDO,USD,FALSE
19,-0.41515838800719,3.87444785502672,0.914735664096337,-6.78805799478224,5.95774121876786,327,FCI_ENDO,USD,FALSE
20,0.984517238706514,3.98741417558957,0.805141662137218,-5.5741954301697,7.54322990758273,326,FCI_ENDO,USD,FALSE
21,1.68693670947343,3.96657779975962,0.670918278253226,-4.83750317104637,8.21137658999322,325,FCI_ENDO,USD,FALSE
22,3.69262580551924,4.05109584205757,0.362726704111175,-2.97083388341717,10.3560854944557,324,FCI_ENDO,USD,FALSE
23,3.34204856648299,3.90941858781037,0.393278520906576,-3.08837277694841,9.77246990991438,323,FCI_ENDO,USD,FALSE
24,3.68839288084357,4.0259048565524,0.360290242660858,-2.93363132421819,10.3104170859053,322,FCI_ENDO,USD,FALSE
1,-0.915623507880125,0.867397413255189,0.29191458344624,-2.34236528908125,0.511118273320997,345,FCI_ENDO,Real_MN,FALSE
