h,dropped_sector,b,se_bank,p_bank,n
12,ACTIVIDADES INMOBILIARIAS,1.09802397519514,0.405402917047389,0.0149088154300195,24908
12,AGRICULTURA,1.91788734430586,0.974868961255019,0.065682923632003,23736
12,COMERCIO AL POR MAYOR,1.12979866557034,0.540200440938441,0.0518102579342098,23438
12,COMERCIO AL POR MENOR,1.19605441756119,0.479409228557877,0.0231908649405931,23842
12,CONSTRUCCION,0.683620782082441,0.442869033188691,0.141090876641019,24250
12,CONSUMO,1.29127229800462,0.511294576135715,0.0217794617975873,24204
12,GANADERIA,1.09042163969906,0.464953427829262,0.0314096374094171,23930
12,INDUSTRIA,1.04376239742454,0.479545044080903,0.0438987738827728,23516
12,SECTOR FINANCIERO,0.804597944235112,0.405130728712727,0.0633994210470268,24290
12,SERVICIOS,1.10406661006668,0.468743889053251,0.0307756695272711,23710
12,VIVIENDA,0.936522093501793,0.588918576627816,0.130203866596987,24996
18,ACTIVIDADES INMOBILIARIAS,0.977465776324972,0.53394097802047,0.0847382391539995,22996
18,AGRICULTURA,1.91871115631368,1.1020715802515,0.0997487841163546,21886
18,COMERCIO AL POR MAYOR,1.29102157512012,0.638019613719871,0.0590369102645613,21606
18,COMERCIO AL POR MENOR,1.26412072706069,0.60382372451257,0.0516020854416249,22004
18,CONSTRUCCION,0.67710633658165,0.595657908434031,0.271418533034034,22392
18,CONSUMO,1.38214875291645,0.68539717599261,0.0598213379063014,22334
18,GANADERIA,1.18937537439596,0.602242366383293,0.0647477756122413,22074
18,INDUSTRIA,1.14570933541209,0.598235301608958,0.0724528715167965,21684
18,SECTOR FINANCIERO,1.01474573641165,0.602784208540372,0.110563716945643,22400
18,SERVICIOS,1.22703490731216,0.605267217013634,0.0586122663595169,21862
18,VIVIENDA,1.39228909800782,0.698377842603059,0.0624935083087602,23102
