sector,fc,pyg,fx_share
AGRICULTURA,23951424.3811948,3020327.73442867,0.888018853151215
OTROS,1706535.59361329,360102.12173222,0.825754596919269
COMERCIO AL POR MAYOR,13321060.5207512,11833838.2071036,0.529561286048844
SECTOR FINANCIERO,3363387.45974548,3076503.54818701,0.52227397258782
INDUSTRIA,8588777.36104248,8250163.598107,0.510054485129348
SERVICIOS,11562902.1935183,12791151.8720652,0.474783465717057
ACTIVIDADES INMOBILIARIAS,2251726.69486277,2654248.41611242,0.458976379604009
GANADERIA,5885165.01556837,7070420.60707795,0.454256965835734
ADMINISTRACION PUBLICA,1657161.57194952,2965354.964056,0.35849770553369
COMERCIO AL POR MENOR,3523406.65846544,7337077.6176017,0.324424451884696
CONSTRUCCION,1547032.32104498,3610770.683138,0.299940172160576
CONSUMO,3000534.82426627,32528862.4945442,0.0844521734309769
VIVIENDA,839898.55949523,9488808.014445,0.0813169154804272
