sector,fc_2016,pyg_2016,fx_share_2016,fxsh_z_est,fxsh_z_sector,rank_2016,in_gradient_sample,rank_in_sample
AGRICULTURA,173372198.902165,26476539.8392413,0.867517103155199,2.02125801073095,1.9368050763497,1,TRUE,1
ADMINISTRACION PUBLICA,3395395.46319831,1777091.84638,0.656433792869977,1.01307761402883,0.976643973834789,2,FALSE,
ACTIVIDADES INMOBILIARIAS,5592169.15889806,4002374.49490514,0.582848894192208,0.661619925403446,0.641926097052273,3,TRUE,2
SECTOR FINANCIERO,10139423.0111187,8142559.97039268,0.55461286783675,0.526758442447397,0.513488021301694,4,TRUE,3
COMERCIO AL POR MAYOR,76734113.5751672,62431631.4072645,0.551386503804181,0.511348616981489,0.498812160654822,5,TRUE,4
INDUSTRIA,32866034.6968087,32361885.6430698,0.50386451883727,0.284373146532056,0.282647455743425,6,TRUE,5
OTROS,394536.16060912,540846.0336293,0.421791395046116,-0.107626175397003,-0.0906810699447321,7,FALSE,
GANADERIA,39711540.8828473,55829793.858638,0.415647750686113,-0.136969574454444,-0.118626852745796,8,TRUE,6
SERVICIOS,27472341.6798628,40516170.9763956,0.404073285420429,-0.192251770699158,-0.171275976523048,9,TRUE,7
CONSTRUCCION,6900101.52356926,14091684.400221,0.328704834768217,-0.552228096514299,-0.514106750662824,10,TRUE,8
COMERCIO AL POR MENOR,21519635.0229492,48304819.4899516,0.308196249767669,-0.650181617016291,-0.60739477783342,11,TRUE,9
VIVIENDA,2082637.93217183,25186757.0283346,0.0763727224306979,-1.7574218599311,-1.66189753930705,12,TRUE,10
CONSUMO,7575029.66716579,99116590.1094355,0.0709992938810653,-1.78308653858096,-1.68633981791984,13,TRUE,11
