h,dropped_sector,b,se_bank,p_bank,n
12,ACTIVIDADES INMOBILIARIAS,0.598898272189184,0.267169350642865,0.0386170373890999,24908
12,AGRICULTURA,1.22600702655279,0.563628623788289,0.0440163143691932,23736
12,COMERCIO AL POR MAYOR,0.756261490790303,0.347794440280873,0.0440813954054169,23438
12,COMERCIO AL POR MENOR,0.578592214548696,0.312348874423962,0.0814143095627287,23842
12,CONSTRUCCION,0.670921341116068,0.346681379832302,0.0697719386659296,24250
12,CONSUMO,0.579800017118094,0.423639077325719,0.188934296994391,24204
12,GANADERIA,0.651863806481627,0.334635920332368,0.0681242171009304,23930
12,INDUSTRIA,0.672262605586839,0.337088811249282,0.0624087491163246,23516
12,SECTOR FINANCIERO,0.485020588621886,0.368578092006398,0.205669587547228,24290
12,SERVICIOS,0.700490445619732,0.341001541525226,0.0556627468913882,23710
12,VIVIENDA,0.653948341706346,0.375330072125839,0.0995111702128483,24996
18,ACTIVIDADES INMOBILIARIAS,0.190553030398292,0.300470741776645,0.534403735572573,22996
18,AGRICULTURA,0.169600377793039,0.544942199526836,0.759412582785445,21886
18,COMERCIO AL POR MAYOR,0.243235832621176,0.310524541170062,0.44422372393903,21606
18,COMERCIO AL POR MENOR,0.158976915467445,0.274952396025058,0.570711271821776,22004
18,CONSTRUCCION,0.162930196974048,0.287255127095491,0.57799412360698,22392
18,CONSUMO,0.20554239251782,0.347114310508109,0.56154646647366,22334
18,GANADERIA,0.175798509449613,0.299603781803145,0.565069714741596,22074
18,INDUSTRIA,0.133862412362999,0.289053966593871,0.649162314039486,21684
18,SECTOR FINANCIERO,0.190560292440511,0.279398033707183,0.504401832947585,22400
18,SERVICIOS,0.198376777998423,0.297886388311737,0.514380291771196,21862
18,VIVIENDA,0.166019755989451,0.331958681763977,0.623401271901749,23102
