sample,index,horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,sd_x,coef_per_sd
full,FCI_OS_EXP,1,-5.5440646948059,1.9278401797429,0.00430749246099861,-8.71507960663879,-2.37304978297301,323,0.424635395069355,-2.35420610196897
full,FCI_OS_EXP,2,-2.7943319695794,2.06290032932048,0.176539535065221,-6.18750105830157,0.598837119142767,322,0.424635395069355,-1.18657225985728
full,FCI_OS_EXP,3,-4.78274225929244,2.69566428467106,0.0770057263179541,-9.21671543497717,-0.348769083607701,321,0.424635395069355,-2.03092164878954
full,FCI_OS_EXP,4,-7.47489405824922,2.70348916999996,0.00603612105201866,-11.9217380249477,-3.02805009155076,320,0.424635395069355,-3.17410459152623
full,FCI_OS_EXP,5,-8.45903392292399,3.28611900962502,0.0105151582939807,-13.8642186944999,-3.0538491513481,319,0.424635395069355,-3.59200521176591
full,FCI_OS_EXP,6,-8.862001901446,3.69828981062075,0.0171622948569194,-14.9451473099632,-2.77885649292879,318,0.424635395069355,-3.7631196785259
full,FCI_OS_EXP,7,-9.17178818252739,2.98130388899319,0.00228422306481182,-14.0755966973824,-4.26797966767242,317,0.424635395069355,-3.89466589837996
full,FCI_OS_EXP,8,-9.53039678115748,3.11249153277052,0.00239459541794343,-14.6499897676908,-4.41080379462415,316,0.424635395069355,-4.04694380233452
full,FCI_OS_EXP,9,-7.3760748994699,3.5620640460804,0.0392277671564516,-13.2351488650987,-1.51700093384111,315,0.424635395069355,-3.13214247899755
full,FCI_OS_EXP,10,-8.87068725194982,3.77790557332286,0.0195151419136909,-15.0847889365101,-2.65658556738953,314,0.424635395069355,-3.7668077857684
full,FCI_OS_EXP,11,-8.80253147773851,3.890709052262,0.024379973725276,-15.2021783737646,-2.40288458171243,313,0.424635395069355,-3.73786643165993
full,FCI_OS_EXP,12,-6.39860236261695,4.29896159823554,0.137690634889162,-13.4697649395998,0.672560214365867,312,0.424635395069355,-2.71707304214156
full,FCI_OS_EXP,13,-4.65099068845991,4.34341181546079,0.285113330948118,-11.7952673664645,2.49328598954464,311,0.424635395069355,-1.97497526845807
full,FCI_OS_EXP,14,-8.27013848960196,4.96884927925408,0.0970806455375105,-16.4431682483582,-0.0971087308456706,310,0.424635395069355,-3.51179352481041
full,FCI_OS_EXP,15,-8.98963462021446,5.28299176718317,0.0898699745376681,-17.6793827896205,-0.299886450808465,309,0.424635395069355,-3.81731704848392
full,FCI_OS_EXP,16,-7.92023388096263,4.80757032789087,0.10052302959449,-15.8279833716182,-0.0124843903070619,308,0.424635395069355,-3.36321164308426
full,FCI_OS_EXP,17,-7.17698871347116,4.01619573779322,0.074958765714434,-13.7830428393274,-0.570934587614937,307,0.424635395069355,-3.04760343775313
full,FCI_OS_EXP,18,-7.35925457918374,3.70339242124675,0.0478286525443206,-13.4507930352961,-1.26771612307143,306,0.424635395069355,-3.12499997564765
full,FCI_OS_ROLL,1,-2.11534562371231,0.767291440264982,0.00615591319786616,-3.37742773216098,-0.853263515263631,345,0.476743796183735,-1.00847790288925
full,FCI_OS_ROLL,2,-1.2936537084459,0.810619123838507,0.111463349525038,-2.62700351436789,0.0396960974760958,344,0.476743796183735,-0.616741379911663
full,FCI_OS_ROLL,3,-2.53799113574042,1.03403474318084,0.0146226760315271,-4.23882693345525,-0.83715533802559,343,0.476743796183735,-1.20997152873356
full,FCI_OS_ROLL,4,-4.58566727402724,1.05739169313128,1.92186364865755e-05,-6.32492183558259,-2.8464127124719,342,0.476743796183735,-2.18618842425527
