sample,index,horizon,n,b_fs,t_classical,F_classical,partialR2_classical,t_hac_nw,F_hac_nw
full,FCI_OS_EXP,6,318,0.00319,3.4,11.6,0.0367,3.15,9.9
full,FCI_OS_ROLL,6,318,0.00528,3.3,10.9,0.0346,3.41,11.6
full,FCI_OS_EXP,12,312,0.00333,3.46,12,0.0386,3.27,10.7
full,FCI_OS_ROLL,12,312,0.0054,3.34,11.1,0.036,3.25,10.5
full,FCI_OS_EXP,18,306,0.00333,3.41,11.6,0.0384,3.28,10.8
full,FCI_OS_ROLL,18,306,0.0053,3.26,10.6,0.0351,2.96,8.8
postIT,FCI_OS_EXP,6,168,0.00214,2.23,5,0.0314,1.8,3.2
postIT,FCI_OS_ROLL,6,168,0.00352,1.01,1,0.0066,0.97,0.9
postIT,FCI_OS_EXP,12,162,0.00218,2.16,4.6,0.0304,1.88,3.5
postIT,FCI_OS_ROLL,12,162,0.00409,1.12,1.2,0.0083,1.11,1.2
postIT,FCI_OS_EXP,18,156,0.0022,2.14,4.6,0.0313,1.86,3.5
postIT,FCI_OS_ROLL,18,156,0.00407,1.09,1.2,0.0083,1.12,1.3
