instrument,horizon,gamma,coef,se,p_value,ci_lower,ci_upper,first_stage_F,eff_F,partial_R2,ar_lo,ar_hi,n_obs
DXY (baseline),6,0,-64.6740520228603,27.5397022022759,0.019495042239734,-109.972831075437,-19.3752729702834,11.9704988052027,14.2460700544804,0.0378848621958932,-127,-39,318
DXY (baseline),12,0,-149.585672762961,44.4899047232405,0.00087407141496746,-222.765053909708,-76.4062916162131,12.0527353998938,13.3966441741876,0.0388731787331231,-287,-99,312
DXY (baseline),18,0,-153.736573590448,47.1228713592135,0.00123553930671159,-231.246799458018,-76.2263477228786,11.3218729478966,11.3128152079795,0.0373262661141532,-300,-100,306
Broad dollar,6,0,-219.916054422663,173.946931879322,0.207101255083451,-506.033296221446,66.2011873761204,1.63050001692909,1.74942086802361,0.00533487337434835,-300,-94,318
Broad dollar,12,0,-440.776971232964,337.841596585191,0.193006667861021,-996.47694671119,114.923004245263,1.348986975713,1.50590746668829,0.00450640234109911,-300,-182,312
Broad dollar,18,0,-374.622980474557,321.332438181813,0.244629556245369,-903.167806875071,153.921845925957,1.2329508083228,1.25988252210939,0.00420468028891041,-300,-149,306
DXY innovation (raw),6,0,21.4662375688447,15.3049054977597,0.16176477738937,-3.70809174929485,46.6405668869842,11.4847728789839,12.4323875848167,0.0364035727435545,2,57,318
DXY innovation (raw),12,0,-2.32286415563457,16.3383805270157,0.887040029921373,-29.1971086240096,24.5513803127404,13.4048919046655,14.08909552767,0.0430465039347209,-28,25,312
DXY innovation (raw),18,0,-26.3723245645007,15.3576563112474,0.0870010730669715,-51.6334212495302,-1.1112278794712,13.4978780198579,12.8204797500595,0.0441832136686087,-61,-2,306
Purged DXY v1,6,0,18.6166178041481,19.3409565960474,0.336538921338448,-13.1964248015715,50.4296604098677,9.36420878540631,10.1620436105564,0.0298828281050405,-3,59,318
Purged DXY v1,12,0,3.92313194438157,19.479998928747,0.840528825466414,-28.1186149465788,35.9648788353419,11.1991648326393,11.787181207415,0.0362199064758183,-23,38,312
Purged DXY v1,18,0,-23.5256009642436,20.8517939855907,0.260149303126848,-57.8237499298874,10.7725480014002,11.1279658536201,10.6863278164509,0.0367104560025775,-62,4,306
Purged DXY v2,6,0,17.8685470467064,18.5757273410577,0.336849325335216,-12.685805443494,48.4228995369068,10.0285559797152,10.7970070577515,0.0319351721006004,-3,55,318
Purged DXY v2,12,0,2.73385352508781,18.7729223949395,0.884313920572538,-28.144855964707,33.6125630148826,11.9126927605824,12.4171569221327,0.0384388669417466,-24,35,312
Purged DXY v2,18,0,-24.2323535573433,20.6238662619078,0.24096532044107,-58.1555947800045,9.69088766531786,11.8360025397553,11.2036961286881,0.0389552338788642,-62,2,306
