variant,group,h,b,se_bank,p_bank,n
split_baseline,hedged,1,0.196753637466257,0.349919242045674,0.580858791120653,6066
split_baseline,hedged,2,0.410093071319035,0.421220043532942,0.343166135869101,6008
split_baseline,hedged,3,0.684366497624061,0.532652372547916,0.215141016967672,5948
split_baseline,hedged,4,0.768752396793935,0.550224509037358,0.179351931229491,5888
split_baseline,hedged,5,0.697361112669337,0.60319997425925,0.262753990966948,5812
split_baseline,hedged,6,0.973699112822023,0.628438033312139,0.138689731426952,5736
split_baseline,hedged,7,1.18187457825386,0.625779059078191,0.0751632380621449,5662
split_baseline,hedged,8,1.25659884219232,0.728777419784733,0.101792458599675,5586
split_baseline,hedged,9,1.39430206659293,0.800286256410279,0.0995245203426725,5508
split_baseline,hedged,10,1.88139686394517,0.965780425997682,0.0681140330127291,5436
split_baseline,hedged,11,1.90585858433937,0.90220107150528,0.049744788887263,5368
split_baseline,hedged,12,2.0609312166795,0.936546932884071,0.0427995834310718,5298
split_baseline,hedged,13,1.93232639179827,0.786504820362956,0.0258161349145991,5232
split_baseline,hedged,14,1.77963501377176,0.946548421660667,0.0784236643593728,5166
split_baseline,hedged,15,1.85056882201311,0.950208455995278,0.0692382935564938,5100
split_baseline,hedged,16,1.43322865652511,0.93693063092051,0.145618592370464,5036
split_baseline,hedged,17,1.42196054170391,0.969564036009392,0.161864422430534,4972
split_baseline,hedged,18,1.64586685968203,0.877006633648657,0.078920922753091,4908
split_baseline,unhedged,1,0.446513492082511,0.260950690533312,0.10333949265331,14402
split_baseline,unhedged,2,0.7711647230023,0.39728662854337,0.0672305680789813,14224
split_baseline,unhedged,3,0.693289345595671,0.491524866928811,0.174558558305979,14046
split_baseline,unhedged,4,0.338027420918094,0.620701627992594,0.592371049241347,13874
split_baseline,unhedged,5,0.291137252832315,0.59421771515394,0.629778412872209,13666
split_baseline,unhedged,6,0.0344793762039547,0.730775462171098,0.962860662478941,13454
split_baseline,unhedged,7,0.518834032660653,0.937570839683495,0.586455941977117,13262
split_baseline,unhedged,8,0.514013277562544,0.998781643260207,0.612739273697651,13066
split_baseline,unhedged,9,0.200830847486234,0.949274957385133,0.834825409450533,12864
split_baseline,unhedged,10,0.610918994458178,0.948754965335299,0.527749879471676,12680
split_baseline,unhedged,11,0.77759824082226,0.979208960522888,0.437476973036711,12498
split_baseline,unhedged,12,0.428229940716489,0.985784187086703,0.66945762788663,12318
split_baseline,unhedged,13,0.256548091196449,1.01018881964038,0.802572206787394,12138
split_baseline,unhedged,14,-0.161291660607642,0.98842147582987,0.872300030873348,11964
split_baseline,unhedged,15,-0.169072390695537,1.03291024541953,0.871909009546529,11796
split_baseline,unhedged,16,-0.158611465761847,0.978322925693048,0.873118125988882,11632
split_baseline,unhedged,17,-0.16810000584958,1.03176479820899,0.872498747759231,11470
split_baseline,unhedged,18,0.3722995112907,1.11666137082903,0.742906138105117,11306
split_exCOVID,hedged,1,0.142642759705159,0.372033893034837,0.705904108589147,5134
split_exCOVID,hedged,2,0.31709385425168,0.461393680025602,0.50068359694069,5076
split_exCOVID,hedged,3,0.543470970340993,0.593396855733933,0.371845741790453,5018
split_exCOVID,hedged,4,0.59292759753839,0.64547690707238,0.370456827546282,4960
split_exCOVID,hedged,5,0.494341007376296,0.728792003809873,0.506207637258352,4884
split_exCOVID,hedged,6,0.79314633978458,0.741152204454426,0.298691260811665,4808
split_exCOVID,hedged,7,0.787726088864224,0.68697851344731,0.266539567659089,4734
split_exCOVID,hedged,8,0.835722855073266,0.74428514244485,0.276254198491324,4658
split_exCOVID,hedged,9,0.921505203381108,0.728249663350451,0.222808048407708,4580
split_exCOVID,hedged,10,1.33235908626746,0.899265459358518,0.156742696286975,4508
split_exCOVID,hedged,11,1.31754634288525,0.900507259713092,0.161679422697999,4440
split_exCOVID,hedged,12,1.34999843066106,0.993416340310113,0.193013267749459,4370
split_exCOVID,hedged,13,1.198429340563,0.899148502617945,0.201251294551477,4308
split_exCOVID,hedged,14,0.986298150517985,1.09994924180918,0.38318528906548,4246
split_exCOVID,hedged,15,0.924699022491863,1.14308704731037,0.430410133523561,4184
split_exCOVID,hedged,16,0.757022252884409,1.13417375057028,0.513987195486628,4122
split_exCOVID,hedged,17,0.975308302439384,1.09176644215131,0.384920238364834,4060
split_exCOVID,hedged,18,1.24007745342098,1.00237474611487,0.2338856335866,4000
split_exCOVID,unhedged,1,0.443655788457385,0.253374883667516,0.0960773837964295,12158
split_exCOVID,unhedged,2,0.702281802373274,0.41175940417981,0.104384557507884,11984
split_exCOVID,unhedged,3,0.67617258409595,0.579858347639951,0.258003723332806,11810
split_exCOVID,unhedged,4,0.23882051506725,0.712251981298023,0.741070063632686,11642
split_exCOVID,unhedged,5,0.117475223490307,0.714046207188439,0.871059082989608,11436
split_exCOVID,unhedged,6,-0.153760030651045,0.864375336201711,0.860695561037503,11226
split_exCOVID,unhedged,7,0.228598999255014,1.07536994004421,0.83392088803128,11036
split_exCOVID,unhedged,8,0.0920703855577346,1.08789267542586,0.933439464769359,10844
split_exCOVID,unhedged,9,-0.124302743136845,0.941446651833189,0.896422276222539,10648
split_exCOVID,unhedged,10,0.185163597788222,0.966391016748643,0.85019785347327,10470
split_exCOVID,unhedged,11,0.0161444332764712,0.888786488958755,0.985707393508398,10294
split_exCOVID,unhedged,12,-0.352831188891849,0.875331138971148,0.691911233474445,10118
split_exCOVID,unhedged,13,-0.982727292906616,0.764159584875858,0.215675724715769,9946
split_exCOVID,unhedged,14,-1.19993198813624,0.761913641758236,0.13370685165803,9780
split_exCOVID,unhedged,15,-0.946099099464053,0.765047349829056,0.233028354244484,9616
split_exCOVID,unhedged,16,-1.1334642779321,0.708427364600101,0.128023083713074,9456
split_exCOVID,unhedged,17,-1.30840355041999,0.717771751943796,0.0859593826874631,9294
split_exCOVID,unhedged,18,-0.665442825656741,0.78928079378383,0.410878476154675,9136
split_tightening,hedged,1,0.974662100495002,0.641628611786136,0.146121035828885,6066
split_tightening,hedged,2,0.947050814280993,0.656539023174821,0.166339884134033,6008
split_tightening,hedged,3,1.42523586022225,0.632640937485259,0.0369839088573986,5948
split_tightening,hedged,4,2.16609744861856,0.700786844766704,0.00630282596113682,5888
split_tightening,hedged,5,1.86729028622911,0.932059876989318,0.0604248249641257,5812
split_tightening,hedged,6,2.5443955286814,0.866320881617135,0.00881110608853616,5736
split_tightening,hedged,7,2.96783236122295,0.823937418447381,0.0020380574027818,5662
split_tightening,hedged,8,2.52698452420882,0.868027946350956,0.00931760336504279,5586
split_tightening,hedged,9,3.03808334659473,0.962811809352287,0.00577526952659755,5508
split_tightening,hedged,10,4.08283839841278,1.11133740307719,0.00188187842644532,5436
split_tightening,hedged,11,4.36442923985599,0.981654678641423,0.000354447665098696,5368
split_tightening,hedged,12,4.63561598430939,0.972100841605979,0.000209292308145379,5298
split_tightening,hedged,13,4.78939715442325,0.913457063740288,8.0415836729393e-05,5232
split_tightening,hedged,14,4.36585743763884,1.16884535506693,0.00180327567678507,5166
split_tightening,hedged,15,5.14930412053575,1.19663935147015,0.000547071722356508,5100
split_tightening,hedged,16,4.35853212662086,1.26284651679567,0.00328415996015944,5036
