variant,horizon,corr_with_FCI,coef,se,p_value,z_vs_baseline,p_equal,n_obs
FCI_RATES_AVG,6,0.451,-2.42245961093675,1.69945219438818,0.154979358367324,1.2,0.229,340
FCI_exCredit_AVG,6,0.975,-3.23940612126519,1.71866693416473,0.0603331327016335,0.9,0.366,340
zs_exCredit,6,0.933,-5.74319749102496,2.17430469401341,0.00865072047784287,0,1,340
zs_exCredit_QtyLag1,6,0.93,-6.77501055516004,2.65743078376741,0.0112422888270618,-0.3,0.764,340
zs_exCredit_exLiquidez,6,0.921,-6.85251489687136,2.20071648073863,0.00200938451501598,-0.36,0.72,340
zs_exCredit_exNPL,6,0.847,-6.05806724779842,2.20423391406704,0.00631953998424942,-0.1,0.919,340
zs_exCredit_exROE,6,0.897,-4.30429881239519,2.04196336602582,0.0357938036515457,0.48,0.63,340
zs_exCredit_exRatioCD,6,0.903,-3.8231110265994,1.98079252975977,0.0544548502026695,0.65,0.514,340
zs_exCredit_exTCN,6,0.917,-5.40862615275813,2.19822510743838,0.0143896317123782,0.11,0.914,340
FCI_RATES_AVG,12,0.451,-5.43944476708963,2.31657066563663,0.0194743461879155,1.17,0.243,334
FCI_exCredit_AVG,12,0.975,-7.65628048038673,2.74502470347937,0.00559825152330609,0.59,0.556,334
zs_exCredit,12,0.933,-10.2202288660727,3.38156164606402,0.00270888352988955,0,1,334
zs_exCredit_QtyLag1,12,0.93,-12.140791366752,4.07741785908497,0.00312515700435946,-0.36,0.717,334
zs_exCredit_exLiquidez,12,0.921,-10.0460317315402,3.23451094345988,0.0020652327883876,0.04,0.97,334
zs_exCredit_exNPL,12,0.847,-10.7108232577062,3.28440154692878,0.00122820519697491,-0.1,0.917,334
zs_exCredit_exROE,12,0.897,-11.7317839671018,3.59162622798528,0.00120613920585352,-0.31,0.759,334
zs_exCredit_exRatioCD,12,0.903,-9.16213774918637,3.20380217296284,0.00451534472687805,0.23,0.82,334
zs_exCredit_exTCN,12,0.917,-7.21733860718106,3.06964718687342,0.019313806443464,0.66,0.511,334
FCI_RATES_AVG,18,0.451,-7.16532574812613,3.01501277450335,0.0180689685843812,-0.27,0.786,328
FCI_exCredit_AVG,18,0.975,-4.28019524327447,2.57334561856582,0.0972446067241827,0.44,0.662,328
zs_exCredit,18,0.933,-6.00929198310502,3.00550167736707,0.0464149754708263,0,1,328
zs_exCredit_QtyLag1,18,0.93,-6.72400771722577,3.79156647211764,0.0771205996673609,-0.15,0.883,328
zs_exCredit_exLiquidez,18,0.921,-6.18982168832737,3.1080412083755,0.0472781895462312,-0.04,0.967,328
zs_exCredit_exNPL,18,0.847,-7.23128192352626,2.87903374377472,0.0125116959104723,-0.29,0.769,328
zs_exCredit_exROE,18,0.897,-8.29772767010218,3.28999859908393,0.0121549028061888,-0.51,0.608,328
zs_exCredit_exRatioCD,18,0.903,-6.08060422975506,3.03312722310859,0.0458418608078249,-0.02,0.987,328
zs_exCredit_exTCN,18,0.917,-2.98932384658042,2.52720087372417,0.237751172284302,0.77,0.442,328
